year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type
2000,We might have no other choice. We'll have to see if that happens.,Appeal to Emotion,CHENEY,5 10 2000,T601,40047 40076,We might have no other choice,26_2000,Claim
2000,"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",Appeal to Emotion,LIEBERMAN,5 10 2000,T125,63292 63320,We can't tolerate it anymore,26_2000,Claim
2000,It's the end of a reign of terror.,Appeal to Emotion,LIEBERMAN,5 10 2000,T441,23914 23947,It's the end of a reign of terror,26_2000,Claim
2000,"That is a legitimate concern, this is a very important area.",Appeal to Emotion,CHENEY,5 10 2000,T491,29244 29303,"That is a legitimate concern, this is a very important area",26_2000,Premise
2000,"It's not the government's money, it's your money. You're entitled to it, and we would like to see to it that we provide tax relief for everybody who pays taxes.",Appeal to Authority,CHENEY,5 10 2000,T252,79955 79986,It's not the government's money,26_2000,Premise
2000,"If you look back over the last eight years, the most significant accomplishments of this administration in which Al Gore was centrally involved were the result, most of them, of bipartisan agreements.",Appeal to Authority,LIEBERMAN,5 10 2000,T89,59611 59766,"the most significant accomplishments of this administration in which Al Gore was centrally involved were the result, most of them, of bipartisan agreements",26_2000,Claim
2000,"Secretary Bill Cohen, a good republican, and Gen. Shelton the chairman of the Joint Chiefs of Staff, will both tell you the American military is ready to meet any threat we may face in the world today.",Appeal to Authority,LIEBERMAN,5 10 2000,T503,30103 30303,"Secretary Bill Cohen, a good republican, and Gen. Shelton the chairman of the Joint Chiefs of Staff, will both tell you the American military is ready to meet any threat we may face in the world today",26_2000,Premise
2000,The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,Appeal to Emotion,CHENEY,5 10 2000,T396,19035 19171,The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for,26_2000,Claim
2000,We've graduated 15 million kids from high school in the last few years who can't read at a significant level. They are permanently sentenced to a lifetime of failure.,Appeal to Emotion,CHENEY,5 10 2000,T27,5916 6024,We've graduated 15 million kids from high school in the last few years who can't read at a significant level,26_2000,Claim
2000,It is such an assault on the basic promise that America makes that the law will treat individuals as individuals regardless of their status.,Appeal to Emotion,LIEBERMAN,5 10 2000,T131,62787 62926,It is such an assault on the basic promise that America makes that the law will treat individuals as individuals regardless of their status,26_2000,Claim
