year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type
1960,"Mr. Nixon misstates my figures constantly, which uh - is of course his right, but the fact of the matter is: here is where I stand and I just want to have it on the public record.",Ad Hominem,KENNEDY,13 10 1960,T478,38051 38092,Mr. Nixon misstates my figures constantly,3_1960,Claim
1960,"Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when he's never really protested the Communists seizing Cuba, ninety miles off the coast of the United States.",Ad Hominem,KENNEDY,13 10 1960,T309,19346 19552,"Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when he's never really protested the Communists seizing Cuba, ninety miles off the coast of the United States",3_1960,Premise
1960,Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,Appeal to Emotion,NIXON,13 10 1960,T203,6855 6892,They don't want just Quemoy and Matsu,3_1960,Claim
1960,"We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again.",Appeal to Emotion,NIXON,13 10 1960,T276,16434 16496,We went through this tragic experience leading to World War II,3_1960,Premise
1960,"Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the - America has ever had foisted upon it in an election year or any other time.",Appeal to Authority,NIXON,13 10 1960,T471,39186 39277,all the experts who have studied the program indicate that it is the most fantastic program,3_1960,Premise
1960,"But as Admiral Yarnell has said, and he's been supported by most military authority, these islands that we're now talking about are not worth the bones of a single American soldier; and I know how difficult it is to sustain troops close to the shore under artillery bombardment.",Appeal to Authority,KENNEDY,13 10 1960,T359,27134 27229,these islands that we're now talking about are not worth the bones of a single American soldier,3_1960,Premise
1960,"Now as far as President Eisenhower is concerned, I have often heard him discuss this question. As I uh - related a moment ago, the President has always indicated that we must not make the mistake in dealing with the dictator of indicating that we are going to make a concession at the point of a gun.",Appeal to Authority,NIXON,13 10 1960,T273,15813 15985,the President has always indicated that we must not make the mistake in dealing with the dictator of indicating that we are going to make a concession at the point of a gun,3_1960,Premise
1960,"Uh - He sent a mission - the President - in 1955 of Mr. uh - Robertson and Admiral Radford. General Twining said they were still doing it in 1959. General Ridgway said - who was Chief of Staff: ""To go to war for Quemoy and Matsu to me would seem an unwarranted and tragic course to take. To me that concept is completely repugnant."" So I stand with them. I stand with the Secretary of State, Mr. Herter, who said these islands were indefensible.",Appeal to Authority,KENNEDY,13 10 1960,T298,18968 19057,"I stand with the Secretary of State, Mr. Herter, who said these islands were indefensible",3_1960,Premise
1960,I resent that comment.,Appeal to Emotion,NIXON,13 10 1960,T11,3569 3590,I resent that comment,3_1960,Claim
1960,It is actuarially sound.,Appeal to Emotion,KENNEDY,13 10 1960,T476,37708 37731,It is actuarially sound,3_1960,Claim
1960,and I know how difficult it is to sustain troops close to the shore under artillery bombardment.,Appeal to Emotion,KENNEDY,13 10 1960,T360,27235 27326,I know how difficult it is to sustain troops close to the shore under artillery bombardment,3_1960,Premise
1960,Communism is the enemy of all religions; and we who do believe in God must join together.,Appeal to Emotion,NIXON,13 10 1960,T396,29678 29717,Communism is the enemy of all religions,3_1960,Claim
1960,"I obviously repudiate the Klan; I repudiate anybody who uses the religious issue; I will not tolerate it, I have ordered all of my people to have nothing to do with it and I say - say to this great audience, whoever may be listening, remember, if you believe in America, if you want America to set the right example to the world, that we cannot have religious or racial prejudice.",Appeal to Emotion,NIXON,13 10 1960,T387,29918 29948,I obviously repudiate the Klan,3_1960,Claim
1960,"Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom.",Appeal to Emotion,NIXON,13 10 1960,T123,50119 50283,we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom,3_1960,Premise
1960,The United States cannot continue to carry the major share of this burden by itself.,Appeal to Emotion,NIXON,13 10 1960,T128,51053 51136,The United States cannot continue to carry the major share of this burden by itself,3_1960,Claim
1960,We also have to see that all of the people of the United States - the tremendous talents that our people have - are used adequately.,Appeal to Emotion,NIXON,13 10 1960,T44,42220 42351,We also have to see that all of the people of the United States - the tremendous talents that our people have - are used adequately,3_1960,Premise
