year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type
2020,this man doesn’t know what he’s talking about.,Ad Hominem,,29 9 2020,,17141 17203,And the fact is this man doesn't know what he's talking about.,44_2020,unknown
2020,You should get out of your bunker and get out of the sand trap in your golf course,Ad Hominem,BIDEN,29 9 2020,T97,21416 21449,You should get out of your bunker,44_2020,Claim
2020,You graduated either the lowest or almost the lowest in your class.,Ad Hominem,TRUMP,29 9 2020,,29808 29875,You graduated either the lowest or almost the lowest in your class.,44_2020,unknown
2020,There’s nothing smart about you,Ad Hominem,TRUMP,29 9 2020,,29976 30036,"Because you know what? There's nothing smart about you, Joe.",44_2020,unknown
2020,You can’t even say the word law enforcement.,Ad Hominem,TRUMP,29 9 2020,,60624 60668,You can't even say the word law enforcement.,44_2020,unknown
2020,He wouldn’t know a suburb unless you took a wrong turn.,Ad Hominem,BIDEN,29 9 2020,T338,68810 68865,He wouldn't know a suburb unless you took a wrong turn.,44_2020,Claim
2020,He has no idea what he’s talking about,Ad Hominem,BIDEN,29 9 2020,,108457 108496,He has no idea what he's talking about.,44_2020,unknown
2020,"you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military",Ad Hominem,TRUMP,29 9 2020,T26,8044 8084,"you've had 308,000 military people dying",44_2020,Claim
2020,racist,Ad Hominem,TRUMP,22 10 2020,T280,58591 58703,"This is a president who has used everything as a dog whistle, to try to generate racist hatred, racist division.",44_2020,Claim
2020,Democrat,Ad Hominem,TRUMP,22 10 2020,T22,7431 7468,"Right now, I am the Democratic Party.",44_2020,Claim
2020,liar,Ad Hominem,,29 9 2020,T55,14090 14118,Everybody knows he's a liar.,44_2020,Claim
2020,liar,Ad Hominem,TRUMP,29 9 2020,T55,14090 14118,Everybody knows he's a liar.,44_2020,Claim
2020,irresponsible,Ad Hominem,BIDEN,29 9 2020,T169,36591 36736,"He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to.",44_2020,Claim
2020,clown,Ad Hominem,BIDEN,29 9 2020,,54202 54253,"Well, it's hard to get any word in with this clown.",44_2020,unknown
2020,Putin’s puppy,Ad Hominem,BIDEN,29 9 2020,T390,79899 79918,He's Putin's puppy.,44_2020,Claim
2020,old slugs,Ad Hominem,TRUMP,29 9 2020,,86599 86657,"We have the old slugs out there that are 10, 12 years old.",44_2020,unknown
2020,The Bishop of that very church said that it was a disgrace.,Appeal to Authority,BIDEN,29 9 2020,,58428 58487,The Bishop of that very church said that it was a disgrace.,44_2020,unknown
2020,"auci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.”",Appeal to Authority,TRUMP,29 9 2020,,22648 22810,"Fauci said, ""President Trump saved thousands of lives."" Many of your Democrat Governors said, ""President Trump did a phenomenal job."" We worked with the Governor.",44_2020,unknown
2020,"we just got the support of 200–250 military leaders and generals, total support.",Appeal to Authority,TRUMP,29 9 2020,,60194 60351,"As far as the church is concerned, and as far as the generals are concerned, we just got the support of 200-250 military leaders and generals, total support.",44_2020,unknown
2020,"I was with the head of a major country, it’s a forest city",Appeal to Authority,TRUMP,29 9 2020,,85452 85537,"They manage their forest. I was with the head of a major country, it's a forest city.",44_2020,unknown
2020,How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID?,Appeal to Emotion,BIDEN,29 9 2020,,24255 24537,"How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",44_2020,unknown
2020,"How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",Appeal to Emotion,,29 9 2020,,24255 24537,"How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",44_2020,unknown
2020,"A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker",Appeal to Emotion,,29 9 2020,,29537 29634,"A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",44_2020,unknown
2020,He will destroy this country,Appeal to Emotion,,29 9 2020,,38264 38293,He will destroy this country.,44_2020,unknown
2020,There’s fraud. They found ’em in creeks.,Appeal to Emotion,TRUMP,29 9 2020,,99310 99435,If you have an unsolicited-they're sending millions of ballots all over the country. There's fraud. They found 'em in creeks.,44_2020,unknown
2020,This is going to be a fraud like you’ve never seen.,Appeal to Emotion,TRUMP,29 9 2020,,99662 99740,Everybody got two ballots. This is going to be a fraud like you've never seen.,44_2020,unknown
2020,It’s a rigged election.,Appeal to Emotion,,29 9 2020,,100774 100797,It's a rigged election.,44_2020,unknown
2020,This is not going to end well,Appeal to Emotion,,29 9 2020,T496,102795 102825,This is not going to end well.,44_2020,Claim
