year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type
2016,he has a long record of engaging in racist behavior.,Ad Hominem,CLINTON,26 9 2016,T632,59674 59725,he has a long record of engaging in racist behavior,41_2016,Claim
2016,she's got no business ability,Ad Hominem,TRUMP,26 9 2016,T953,87762 87791,she’s got no business ability,41_2016,Claim
2016,she doesn't have that,Ad Hominem,TRUMP,26 9 2016,T955,87885 87906,she doesn’t have that,41_2016,Claim
2016,"Donald, I know you live in your own reality, but that is not the facts.",Ad Hominem,CLINTON,26 9 2016,T190,18460 18481,that is not the facts,41_2016,Claim
2016,She doesn't have the look.,Ad Hominem,TRUMP,26 9 2016,T966,88390 88415,She doesn’t have the look,41_2016,Claim
2016,She doesn't have the stamina.,Ad Hominem,TRUMP,26 9 2016,T965,88417 88445,She doesn’t have the stamina,41_2016,Claim
2016,she doesn't have the stamina.,Ad Hominem,TRUMP,26 9 2016,T968,88447 88482,I said she doesn’t have the stamina,41_2016,Claim
2016,I don't believe she does have the stamina.,Ad Hominem,TRUMP,26 9 2016,T967,88488 88529,I don’t believe she does have the stamina,41_2016,Claim
2016,"it was actually covered very accurately in the New York Times, which is unusual for the New York Times",Ad Hominem,TRUMP,26 9 2016,T784,73431 73492,it was actually covered very accurately in the New York Times,41_2016,Premise
2016,I also have a much better temperament than she has,Ad Hominem,TRUMP,26 9 2016,T828,77613 77663,I also have a much better temperament than she has,41_2016,Claim
2016,you were totally out of control,Ad Hominem,TRUMP,26 9 2016,T832,78056 78199,"The AFL-CIO the other day, behind the blue screen, I don’t know who you were talking to, Secretary Clinton, but you were totally out of control",41_2016,Premise
2016,It's lies.,Ad Hominem,TRUMP,26 9 2016,T856,80530 80539,It’s lies,41_2016,Claim
2016,"beautiful.But we have no leadership. And honestly, that starts with Secretary Clinton.",Ad Hominem,TRUMP,26 9 2016,T266,25428 25449,we have no leadership,41_2016,Claim
2016,"Typical politician. All talk, no action.",Ad Hominem,TRUMP,26 9 2016,T289,27851 27870,"All talk, no action",41_2016,Premise
2016,"First, maybe he's not as rich as he says he is.",Ad Hominem,CLINTON,26 9 2016,T325,32264 32303,maybe he’s not as rich as he says he is,41_2016,Claim
2016,"Second, maybe he's not as charitable as he claims to be.Third",Ad Hominem,CLINTON,26 9 2016,T326,32313 32360,maybe he’s not as charitable as he claims to be,41_2016,Claim
2016,"You know, Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there. I don't buy that.",Ad Hominem,CLINTON,26 9 2016,T75,7790 7806,I don’t buy that,41_2016,Claim
2016,"Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.I don't buy that.",Ad Hominem,CLINTON,26 9 2016,T75,7790 7806,I don’t buy that,41_2016,Claim
2016,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement. They should have been doing this for years.",Ad Hominem,TRUMP,26 9 2016,T105,10226 10372,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement",41_2016,Claim
2016,"He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.I",Ad Hominem,CLINTON,26 9 2016,T80,7662 7788,"he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there",41_2016,Premise
2016,"storm.In fact, Donald was one of the people who rooted for the housing crisis.",Ad Hominem,CLINTON,26 9 2016,T123,11971 12033,Donald was one of the people who rooted for the housing crisis,41_2016,Claim
2016,the whole racist birther lie,Ad Hominem,CLINTON,26 9 2016,T627,58756 58940,"as Donald just admitted, he knew he was going to stand on this debate stage, and Lester Holt was going to be asking us questions, so he tried to put the whole racist birther lie to bed",41_2016,Premise
2016,this racist lie,Ad Hominem,CLINTON,26 9 2016,T629,58981 59109,He has really started his political activity based on this racist lie that our first black president was not an American citizen,41_2016,Premise
2016,the birther lie,Ad Hominem,CLINTON,26 9 2016,T634,59731 59769,the birther lie was a very hurtful one,41_2016,Claim
2016,trumped-up trickle-down,Ad Hominem,CLINTON,26 9 2016,T72,7169 7202,I call it trumped-up trickle-down,41_2016,Premise
2016,"I said, there's a person with a temperament that's got a problem.",Ad Hominem,TRUMP,26 9 2016,T833,78201 78265,"I said, there’s a person with a temperament that’s got a problem",41_2016,Premise
2016,his cavalier attitude,Ad Hominem,CLINTON,26 9 2016,T857,80564 80630,his cavalier attitude about nuclear weapons is so deeply troubling,41_2016,Claim
2016,the King of Debt,Ad Hominem,CLINTON,26 9 2016,T395,38664 38698,You call yourself the King of Debt,41_2016,Premise
2016,strongly.I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth.,Ad Hominem,TRUMP,26 9 2016,T560,51867 51984,I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth,41_2016,Premise
2016,needs.Our country's in deep trouble.,Appeal to Emotion,TRUMP,26 9 2016,T91,8972 9001,Our country’s in deep trouble,41_2016,Premise
2016,That's why we're losing—we're losing—we lose on everything.,Appeal to Emotion,TRUMP,26 9 2016,T868,81739 81760,we lose on everything,41_2016,Claim
2016,I don't think General Douglas MacArthur would like that too much.,Appeal to Authority,CLINTON,26 9 2016,T225,22666 22730,I don’t think General Douglas MacArthur would like that too much,41_2016,Claim
2016,I don't think General Douglas MacArthur would like that too much.,Appeal to Authority,TRUMP,26 9 2016,T225,22666 22730,I don’t think General Douglas MacArthur would like that too much,41_2016,Claim
2016,"country.I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just—just came in.",Appeal to Authority,TRUMP,26 9 2016,T673,43796 43901,"I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just—just came in",41_2016,Premise
2016,"We have endorsements from, I think, almost every police group, very—I mean, a large percentage of them in the United States.We",Appeal to Authority,TRUMP,26 9 2016,T674,43903 44026,"We have endorsements from, I think, almost every police group, very—I mean, a large percentage of them in the United States",41_2016,Premise
2016,"I have the endorsement of the NRA, which I'm very proud of.",Appeal to Authority,TRUMP,26 9 2016,T564,51419 51532,"When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I’m very proud of",41_2016,Premise
2016,"When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world.",Appeal to Authority,TRUMP,26 9 2016,T41,5009 5129,"When you look at what’s happening in Mexico, a friend of mine who builds plants said it’s the eighth wonder of the world",41_2016,Premise
2016,have said that Donald is unfit to be the commander- in-chief.,Appeal to Authority,CLINTON,26 9 2016,T879,64262 64348;64397 64458,50 national security officials who served in Republican information—in administrations have said that Donald is unfit to be the commander- in-chief,41_2016,Premise
2016,"I do want to say that I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country.",Appeal to Authority,TRUMP,26 9 2016,T880,64681 64833,"I was just endorsed—and more are coming next week—it will be over 200 admirals, many of them here—admirals and generals endorsed me to lead this country",41_2016,Claim
2016,"it.In addition, I was just endorsed by ICE.",Appeal to Authority,TRUMP,26 9 2016,T700,64920 64946,I was just endorsed by ICE,41_2016,Premise
2016,I was just endorsed by ICE.,Appeal to Authority,TRUMP,26 9 2016,T700,64920 64946,I was just endorsed by ICE,41_2016,Premise
2016,I've heard from so many of you about the difficult choices you face and the stresses that you're under.,Appeal to Emotion,CLINTON,26 9 2016,T26,3547 3649,I’ve heard from so many of you about the difficult choices you face and the stresses that you’re under,41_2016,Premise
2016,"Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do.We",Appeal to Emotion,CLINTON,26 9 2016,T383,37481 37675,"I’ve met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do",41_2016,Premise
2016,"do.We have an architect in the audience who designed one of your clubhouses at one of your golf courses. It's a beautiful facility. It immediately was put to use. And you wouldn't pay what the man needed to be paid, what he was charging you to do…",Appeal to Emotion,CLINTON,26 9 2016,T379,37841 37920,"you wouldn’t pay what the man needed to be paid, what he was charging you to do",41_2016,Claim
2016,I want us to invest in you. I want us to invest in your future.,Appeal to Emotion,CLINTON,26 9 2016,T17,2892 2918,I want us to invest in you,41_2016,Claim
2016,I've heard from so many of you about the difficult choices you face and the stresses that you're under,Appeal to Emotion,CLINTON,26 9 2016,T26,3547 3649,I’ve heard from so many of you about the difficult choices you face and the stresses that you’re under,41_2016,Premise
2016,incomes.I want us to invest in you.,Appeal to Emotion,CLINTON,26 9 2016,T17,2892 2918,I want us to invest in you,41_2016,Claim
2016,I want us to invest in your future.,Appeal to Emotion,CLINTON,26 9 2016,T18,2920 2954,I want us to invest in your future,41_2016,Claim
2016,the plague of gun violence,Appeal to Emotion,CLINTON,26 9 2016,T460,43133 43177,we have to tackle the plague of gun violence,41_2016,Claim
2016,a beautiful thing,Appeal to Emotion,Unknown,26 9 2016,T57,6291 6334,It’s going to be a beautiful thing to watch,41_2016,Claim
2016,a tremendous impact,Appeal to Emotion,TRUMP,26 9 2016,T567,52820 52889,stop-and-frisk had a tremendous impact on the safety of New York City,41_2016,Claim
2016,Tremendous beyond belief.,Appeal to Emotion,TRUMP,26 9 2016,T570,52891 52915,Tremendous beyond belief,41_2016,Claim
2016,a tremendously successful club,Appeal to Emotion,TRUMP,26 9 2016,T652,61915 61950,it’s a tremendously successful club,41_2016,Claim
2016,a beautiful thing to watch,Appeal to Emotion,TRUMP,26 9 2016,T57,6291 6334,It’s going to be a beautiful thing to watch,41_2016,Claim
2016,trumped-up trickle-down,Appeal to Emotion,CLINTON,26 9 2016,T72,7169 7202,I call it trumped-up trickle-down,41_2016,Premise
2016,a beautiful thing,Appeal to Emotion,TRUMP,26 9 2016,T57,6291 6334,It’s going to be a beautiful thing to watch,41_2016,Claim
2016,"a very, very sad thing.So",Appeal to Emotion,TRUMP,26 9 2016,T234,20410 20430,I’m very proud of it,41_2016,Claim
2016,stolen,Appeal to Emotion,TRUMP,26 9 2016,T50,5720 5770,we have to stop our jobs from being stolen from us,41_2016,Claim
2016,tremendously,Appeal to Emotion,TRUMP,26 9 2016,T56,6093 6214,"Under my plan, I’ll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses",41_2016,Claim
2016,a beautiful thing to watch.Companies,Appeal to Emotion,TRUMP,26 9 2016,T57,6291 6334,It’s going to be a beautiful thing to watch,41_2016,Claim
2016,stealing,Appeal to Emotion,TRUMP,26 9 2016,T63,6510 6582,we have to stop these countries from stealing our companies and our jobs,41_2016,Claim
2016,disaster,Appeal to Emotion,TRUMP,26 9 2016,T12,20253 20284,Your regulations are a disaster,41_2016,Claim
2016,tremendous,Appeal to Emotion,TRUMP,26 9 2016,T56,6093 6214,"Under my plan, I’ll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses",41_2016,Claim
2016,"bad, bad experience",Appeal to Emotion,TRUMP,26 9 2016,T983,89724 89748,"it’s bad, bad experience",41_2016,Claim
2016,"pigs, slobs and dogs",Appeal to Emotion,CLINTON,26 9 2016,T992,90311 90366,"this is a man who has called women pigs, slobs and dogs",41_2016,Premise
2016,mess,Appeal to Emotion,TRUMP,26 9 2016,T253,27106 27158,"It got us into the mess we were in, in 2008 and 2009",41_2016,Premise
