year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type,speech_turn
1984,"I am not going to exploit, for political purposes, my opponent's youth and inexperience.",Ad Hominem,REAGAN,21 10 1984,T284,30798 30885,"I am not going to exploit, for political purposes, my opponent's youth and inexperience",12_1984,Claim,"Not at all, Mr. Trewhitt, and I want you to know that also I will not make age an issue of this campaign. I am not going to exploit, for political purposes, my opponent's youth and inexperience. [Laughter and applause] If I still have time, I might add, Mr. Trewhitt, I might add that it was Seneca or it was Cicero, I don't know which, that said, ""If it was not for the elders correcting the mistakes of the young, there would be no state.'' Strategic Missiles Mr. Trewhitt. Mr. President, I'd like to head for the fence and try to catch that one before it goes over, but I'll go on to another question. You and Mr. Mondale have already disagreed about what you had to say about recalling submarine-launched missiles. There's another, a similar issue out there that relates to your -- it is said, at least, that you were unaware that the Soviet retaliatory power was based on land-based missiles. First, is that correct? Secondly, if it is correct, have you informed yourself in the meantime? And third, is it even necessary for the President to be so intimately involved in strategic details?"
2020,dictators,Ad Hominem,HARRIS,7 10 2020,T595,66492 66584,What explains this administration cozying up to the Argentine dictators after they took over,12_1984,Premise,"Perhaps in no area do we disagree more than this administration's policies on human rights. I went to the Philippines as Vice President, pressed for human rights, called for the release of Aquino, and made progress that had been stalled on both the Subic and the Clark airfield bases. What explains this administration cozying up to the Argentine dictators after they took over? Fortunately, a democracy took over, but this nation was embarrassed by this current administration's adoption of their policies. What happens in South Africa, where, for example, the Nobel Prize winner, 2 days ago, said this administration is seen as working with the oppressive government of South Africa. That hurts this nation. We need to stand for human rights. We need to make it clear we're for human liberty. National security and human rights must go together. But this administration time and time again has lost its way in this field."
2020,criminals,Ad Hominem,HARRIS,7 10 2020,T8,2965 3173,"I think the lesson in Central America, this recent embarrassment in Nicaragua where we are giving instructions for hired assassins, hiring criminals, and the rest -- all of this has strengthened our opponents",12_1984,Claim,"I believe that the question oversimplifies the difficulties of what we must do in Central America. Our objectives ought to be to strengthen the democracies, to stop Communist and other extremist influences, and stabilize the community in that area. To do that we need a three-pronged attack: one is military assistance to our friends who are being pressured; secondly, a strong and sophisticated economic aid program and human rights program that offers a better life and a sharper alternative to the alternative offered by the totalitarians who oppose us; and finally, a strong diplomatic effort that pursues the possibilities of peace in the area. That's one of the big disagreements that we have with the President -- that they have not pursued the diplomatic opportunities either within El Salvador or as between the countries and have lost time during which we might have been able to achieve a peace This brings up the whole question of what Presidential leadership is all about. I think the lesson in Central America, this recent embarrassment in Nicaragua where we are giving instructions for hired assassins, hiring criminals, and the rest -- all of this has strengthened our opponents. A President must not only assure that we're tough, but we must also be wise and smart in the exercise of that power. We saw the same thing in Lebanon, where we spent a good deal of America's assets. But because the leadership of this government did not pursue wise policies, we have been humiliated, and our opponents are stronger. The bottom line of national strength is that the President must be in command, he must lead. And when a President doesn't know that submarine missiles are recallable, says that 70 percent of our strategic forces are conventional, discovers 3 years into his administration that our arms control efforts have failed because he didn't know that most Soviet missiles were on land -- these are things a President must know to command. A President is called the Commander in Chief. And he's called that because he's supposed to be in charge of the facts and run our government and strengthen our nation."
1992,And I'm interested in what we can trust him to do and what you can trust me to do and what you can trust Mr. Perot to do for the next 4 years. So I think you're right and I hope the rest of the night belongs to you.,Appeal to Authority,CLINTON,15 10 1992,T512,42335 42355,I think you're right,12_1984,Claim,"I think you're right that the polls show that the majority of Hispanics want that bill, so I'm not doing it for political reasons. I'm doing it because all my life I've fought for a system of justice in this country, a system in which every American has a chance to achieve the fullness in life without discrimination. This bill imposes upon employers the responsibility of determining whether somebody who applies for a job is an American or not. And just inevitably, they're going to be reluctant to hire Hispanics or people with a different accent. If I were dealing with politics here, the polls show the American people want this. I am for reform in this area, for tough enforcement at the border, and for many other aspects of the Simpson-Mazzoli bill, but all my life I've fought for a fair nation. And despite the politics of it, I stand where I stand, and I think I'm right, and before this fight is over we're going to come up with a better bill, a more effective bill that does not undermine the liberties of our people."
1984,"Groucho Marx said, ""Who do you believe? -- me, or your own eyes?''",Appeal to Authority,MONDALE,21 10 1984,T276,28018 28084,"Groucho Marx said, ""Who do you believe? -- me, or your own eyes?''",12_1984,Premise,"Groucho Marx said, ""Who do you believe? -- me, or your own eyes?'' And what we have in Lebanon is something that the American people have seen. The Joint Chiefs urged the President not to put our troops in that barracks because they were indefensible. They went to him 5 days before they were killed and said, ""Please, take them out of there.'' The Secretary of State admitted that this morning. He did not do so. The report following the explosion of the barracks disclosed that we had not taken any of the steps that we should have taken. That was the second time. Then the Embassy was blown up a few weeks ago, and once again none of the steps that should have been taken were taken. And we were warned 5 days before that explosives were on their way, and they weren't taken. The terrorists have won each time. The President told the terrorists he was going to retaliate. He didn't. They called their bluff. And the bottom line is that the United States left in humiliation, and our enemies are stronger."
1984,"I want to quote somebody a little closer to home, Harry Truman. He said, ""The buck stops here.''",Appeal to Authority,MONDALE,21 10 1984,,33372 33581,"I want to quote somebody a little closer to home, Harry Truman. He said, ""The buck stops here.'' We just heard the President's answer for the problems at the barracks in Lebanon, where 241 marines were killed.",12_1984,unknown,"No. And I have not made it an issue, nor should it be. What's at issue here is the President's application of his authority to understand what a President must know to lead this nation, secure our defense, and make the decisions and the judgments that are necessary. A minute ago the President quoted Cicero, I believe. I want to quote somebody a little closer to home, Harry Truman. He said, ""The buck stops here.'' We just heard the President's answer for the problems at the barracks in Lebanon, where 241 marines were killed. What happened? First, the Joint Chiefs of Staff went to the President, said, ""Don't put those troops there.'' They did it. And then 5 days before the troops were killed, they went back to the President, through the Secretary of Defense, and said, ""Please, Mr. President, take those troops out of there because we can't defend them.'' They didn't do it. And we know what happened. After that, once again, our Embassy was exploded. This is the fourth time this has happened -- an identical attack, in the same region, despite warnings -- even public warnings -- from the terrorists. Who's in charge? Who's handling this matter? That's my main point. Now, on arms control, we're completing 4 years. This is the first administration since the bomb went off that made no progress. We have an arms race underway instead. A President has to lead his government or it won't be done. Different people with different views fight with each other. For 3\1/2\ years, this administration avoided arms control, resisted tabling arms control proposals that had any hope of agreeing, rebuked their negotiator in 1981 when he came close to an agreement, at least in principle, on medium-range weapons. And we have this arms race underway. And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control. That's why they call the President the Commander in Chief. Good intentions, I grant. But it takes more than that. You must be tough and smart. The President's Leadership Mr. Trewhitt. This question of leadership keeps arising in different forms in this discussion already. And the President, Mr. Mondale, has called you whining and vacillating, among the more charitable phrases -- weak, I believe. It is a question of leadership. And he has made the point that you have not repudiated some of the semidiplomatic activity of the Reverend Jackson, particularly in Central America. Did you approve of his diplomatic activity? And are you prepared to repudiate him now?"
1984,"What happens in South Africa, where, for example, the Nobel Prize winner, 2 days ago, said this administration is seen as working with the oppressive government of South Africa.",Appeal to Authority,REAGAN,21 10 1984,T556,66715 66891,"What happens in South Africa, where, for example, the Nobel Prize winner, 2 days ago, said this administration is seen as working with the oppressive government of South Africa",12_1984,Premise,"Perhaps in no area do we disagree more than this administration's policies on human rights. I went to the Philippines as Vice President, pressed for human rights, called for the release of Aquino, and made progress that had been stalled on both the Subic and the Clark airfield bases. What explains this administration cozying up to the Argentine dictators after they took over? Fortunately, a democracy took over, but this nation was embarrassed by this current administration's adoption of their policies. What happens in South Africa, where, for example, the Nobel Prize winner, 2 days ago, said this administration is seen as working with the oppressive government of South Africa. That hurts this nation. We need to stand for human rights. We need to make it clear we're for human liberty. National security and human rights must go together. But this administration time and time again has lost its way in this field."
1984,"I said, and the Joint Chiefs of Staff agreed with me, that it was time for us to turn our research ability to seeing if we could not find this kind of defensive weapon. And suddenly somebody says, ""Oh, it's got to be up there, and it's Star Wars,'' and so forth.",Appeal to Authority,REAGAN,21 10 1984,T477,57529 57696,"I said, and the Joint Chiefs of Staff agreed with me, that it was time for us to turn our research ability to seeing if we could not find this kind of defensive weapon",12_1984,Premise,"Yes, my rebuttal, once again, is that this invention that has just been created here of how I would go about rolling over for the Soviet Union -- no, Mr. Mondale, my idea would be with that defensive weapon that we would sit down with them and then say, ""Now, are you willing to join us? Here's what we'' -- give them a demonstration and then say -- ""Here's what we can do. Now, if you're willing to join us in getting rid of all the nuclear weapons in the world, then we'll give you this one, so that we would both know that no one can cheat; that we're both got something that if anyone tries to cheat . . . .'' But when you keep star-warring it -- I never suggested where the weapons should be or what kind; I'm not a scientist. I said, and the Joint Chiefs of Staff agreed with me, that it was time for us to turn our research ability to seeing if we could not find this kind of defensive weapon. And suddenly somebody says, ""Oh, it's got to be up there, and it's Star Wars,'' and so forth. I don't know what it would be, but if we can come up with one, I think the world will be better off."
1984,"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",Appeal to Authority,MONDALE,21 10 1984,T298,34803 35098,"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control",12_1984,Premise,"No. And I have not made it an issue, nor should it be. What's at issue here is the President's application of his authority to understand what a President must know to lead this nation, secure our defense, and make the decisions and the judgments that are necessary. A minute ago the President quoted Cicero, I believe. I want to quote somebody a little closer to home, Harry Truman. He said, ""The buck stops here.'' We just heard the President's answer for the problems at the barracks in Lebanon, where 241 marines were killed. What happened? First, the Joint Chiefs of Staff went to the President, said, ""Don't put those troops there.'' They did it. And then 5 days before the troops were killed, they went back to the President, through the Secretary of Defense, and said, ""Please, Mr. President, take those troops out of there because we can't defend them.'' They didn't do it. And we know what happened. After that, once again, our Embassy was exploded. This is the fourth time this has happened -- an identical attack, in the same region, despite warnings -- even public warnings -- from the terrorists. Who's in charge? Who's handling this matter? That's my main point. Now, on arms control, we're completing 4 years. This is the first administration since the bomb went off that made no progress. We have an arms race underway instead. A President has to lead his government or it won't be done. Different people with different views fight with each other. For 3\1/2\ years, this administration avoided arms control, resisted tabling arms control proposals that had any hope of agreeing, rebuked their negotiator in 1981 when he came close to an agreement, at least in principle, on medium-range weapons. And we have this arms race underway. And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control. That's why they call the President the Commander in Chief. Good intentions, I grant. But it takes more than that. You must be tough and smart. The President's Leadership Mr. Trewhitt. This question of leadership keeps arising in different forms in this discussion already. And the President, Mr. Mondale, has called you whining and vacillating, among the more charitable phrases -- weak, I believe. It is a question of leadership. And he has made the point that you have not repudiated some of the semidiplomatic activity of the Reverend Jackson, particularly in Central America. Did you approve of his diplomatic activity? And are you prepared to repudiate him now?"
1984,"There are two distinguished authors on arms control in this country -- there are many others, but two that I want to cite tonight. One is Strobe Talbott in his classic book, ""Deadly Gambits.'' The other is John Neuhaus, who's one of the most distinguished arms control specialists in our country. Both said that this administration turned down the ""walk in the woods'' agreement first, and that would have been a perfect agreement from the standpoint of the United States in Europe and our security.",Appeal to Authority,REAGAN,21 10 1984,T311,37630 37697,There are two distinguished authors on arms control in this country,12_1984,Claim,"There are two distinguished authors on arms control in this country -- there are many others, but two that I want to cite tonight. One is Strobe Talbott in his classic book, ""Deadly Gambits.'' The other is John Neuhaus, who's one of the most distinguished arms control specialists in our country. Both said that this administration turned down the ""walk in the woods'' agreement first, and that would have been a perfect agreement from the standpoint of the United States in Europe and our security. When Mr. Nitze, a good negotiator, returned, he was rebuked, and his boss was fired. This is the kind of leadership that we've had in this administration on the most deadly issue of our times. Now we have a runaway arms race. All they've got to show for 4 years in U.S.-Soviet relations is one meeting in the last weeks of an administration, and nothing before. They're tough negotiators, but all previous Presidents have made progress. This one has not."
