year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type
2000,"You know, this man has no credibility on the issue.",Ad Hominem,BUSH,3 10 2000,T204,83120 83160,this man has no credibility on the issue,25_2000,Claim
2000,It's a scaring -- he's trying to scare people in the voting booth.,Ad Hominem,BUSH,3 10 2000,T347,15823 15870,he's trying to scare people in the voting booth,25_2000,Claim
2000,"For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear.",Ad Hominem,BUSH,3 10 2000,T154,74359 74459,"For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear",25_2000,Premise
2000,The big drug companies support Governor Bush's prescription drug proposal.,Ad Hominem,GORE,3 10 2000,T870,63406 63479,The big drug companies support Governor Bush's prescription drug proposal,25_2000,Premise
2000,They oppose mine because they don't want to get Medicare involved because they're afraid that Medicare will negotiate lower prices for seniors who currently pay the highest prices of all.,Ad Hominem,GORE,3 10 2000,T871,63481 63497,They oppose mine,25_2000,Claim
2000,"I remember the vice president saying, ""Just give us a chance to get up there, we're going to make sure you get tax cuts."" It didn't happen.",Ad Hominem,BUSH,3 10 2000,T935,69298 69419,"I remember the vice president saying, ""Just give us a chance to get up there, we're going to make sure you get tax cuts.""",25_2000,Premise
2000,I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage.,Appeal to Authority,GORE,3 10 2000,T878,63195 63371,I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage,25_2000,Claim
2000,The other day I was honored to be flanked by Colin Powell and General Norman Schwartzkopf recently stood by me side and agreed with me.,Appeal to Authority,BUSH,3 10 2000,T635,41276 41410,The other day I was honored to be flanked by Colin Powell and General Norman Schwartzkopf recently stood by me side and agreed with me,25_2000,Premise
2000,"Tonight in the audience there's one elected state senator who is a Democrat, a former state-wide officer who is a Democrat, a lot of Democrats who are here in the debate to -- because they want to show their support that shows I know how to lead.",Appeal to Authority,BUSH,3 10 2000,T669,44270 44439,"Tonight in the audience there's one elected state senator who is a Democrat, a former state-wide officer who is a Democrat, a lot of Democrats who are here in the debate",25_2000,Premise
2000,My uncle was a victim of poisonous gas there.,Appeal to Emotion,GORE,3 10 2000,T645,43004 43048,My uncle was a victim of poisonous gas there,25_2000,Premise
2000,"He has a 15-year-old daughter named Caley, who is in Sarasota High School. Her science class was supposed to be for 24 students. She's the 36th student in that classroom. They sent me a picture of her in the classroom. They can't squeeze another desk in for her, so she has to stand during class.",Appeal to Emotion,GORE,3 10 2000,T807,56334 56407,"He has a 15-year-old daughter named Caley, who is in Sarasota High School",25_2000,Premise
2000,It broke my heart to go to the flood scene in Del Rio where a fellow and his family got completely uprooted.,Appeal to Emotion,BUSH,3 10 2000,T892,64402 64509,It broke my heart to go to the flood scene in Del Rio where a fellow and his family got completely uprooted,25_2000,Premise
2000,"She gets a small pension, but in order to pay for her prescription drug benefits, she has to go out seven days a week several hours a day picking up cans",Appeal to Emotion,GORE,3 10 2000,T257,89701 89854,"She gets a small pension, but in order to pay for her prescription drug benefits, she has to go out seven days a week several hours a day picking up cans",25_2000,Premise
