argument_id,role,text,original_label,T_id,start_char,end_char,speaker,date,embedding
ARG-37_2012-T570,Claim,it's expensive,Claim,T570,57776,57790,ROMNEY,2012-10-03,"[0.041158, 0.052764, 0.035849, 0.031004, 0.074648, 0.066561, 0.001364, 0.069954, 0.01644, 0.05242, -0.036685, 0.027592, 0.071475, -0.114832, -0.050299, -0.02591, 0.041936, -0.092273, -0.088127, 0.124558, -0.013092, 0.027645, 0.01213, -0.00284, 0.024078, -0.014158, 0.007031, -0.0393, -0.021165, 0.051499, 0.087973, -0.020953, 0.001831, 0.033059, 0.014635, 0.004128, -0.032089, 0.050923, -0.050981, 0.01009, 0.020147, 0.04792, -0.056547, -0.008184, -0.038876, 0.02985, 0.007326, 0.055409, 0.03919, 0.051492, -0.042101, 0.002026, 0.002159, -0.039716, 0.05055, -0.016638, -0.048302, -0.022048, -0.058991, 0.112905, 0.013403, -0.009572, -0.009989, 0.039654, -0.002062, -0.010288, 0.044135, -0.020387, -0.035706, -0.036466, -0.046803, 0.040379, -0.015433, 0.047471, 0.059829, -0.02177, 0.080351, 0.054105, 0.045843, 0.005651, 0.049928, -0.033001, 0.021656, 0.038082, 0.015705, 0.016779, -0.063147, -0.080098, 0.006871, -0.072582, -0.000322, -0.087018, 0.040033, -0.013406, 0.053777, 0.033079, -0.003367, -0.000476, -0.063605, -0.001044, -0.010091, -0.084937, 0.072287, -0.008735, -0.070383, -0.047225, -0.015682, 0.03247, -0.031245, 0.062746, 0.033516, -0.060332, 0.036141, -0.009467, -0.077916, -0.014389, 0.048272, -0.11721, 0.025658, 0.057115, 0.006363, -0.037163, -0.051402, 0.001191, -0.027701, -0.04482, -0.024887, 0.0, 0.050507, 0.030862, 0.027421, -0.077725, -0.087162, -0.028957, -0.022226, -0.036595, -0.001206, 0.006087, 0.007527, -0.012297, 0.051087, 0.002475, 0.009111, -0.034296, -0.068681, 0.040181, -0.062813, 0.082643, -0.09533, 0.042322, 0.067413, -0.056125, -0.02736, -0.004938, 0.051433, -0.078723, 0.062445, -0.005356, -0.013141, 0.047981, 0.027224, -0.026318, -0.01505, -0.033005, -0.018157, 0.03785, -0.071386, -0.06247, -0.078365, -0.02031, -0.004515, 0.093131, 0.069458, -0.038376, 0.030642, -0.024212, -0.137155, -0.137243, -0.057204, 0.070179, -0.004992, 0.029289, -0.011464, -0.030224, 0.019923, -0.005034, 0.008172, 0.010539, -0.020762, -0.056191, 0.043878, 0.010257, -0.036818, 0.033691, -0.056857, 0.040487, -0.007389, 0.032468, 0.072151, -0.015476, -0.026714, 0.012682, 0.064362, 0.076608, 0.016354, -0.044345, 0.05403, 0.008655, -0.092362, 0.01092, 0.044739, 0.03141, 0.034003, 0.060722, 0.002663, 0.072181, -0.046938, -0.028285, -0.006719, 0.038816, -0.019022, -0.007212, 0.083401, -0.0, -0.075944, 0.091787, 0.089636, -0.030542, -0.00211, -0.061142, -0.014501, -0.026743, 0.091747, 0.003105, -0.077412, 0.077991, 0.026718, 0.021311, 0.018301, -0.048892, -0.019437, -0.078898, 0.069299, -0.071198, -0.001861, 0.080156, -0.018654, 0.064771, -0.071393, -0.031231, -0.076758, 0.01865, 0.088913, -0.065388, -0.141033, 0.030927, 0.021595, 0.029551, -0.034391, 0.073182, -0.038494, 0.015643, -0.083991, -0.067744, 0.075336, -0.067608, -0.037884, -0.040816, 0.061352, -0.04267, -0.034139, -0.002585, 0.031951, 0.053617, -0.015459, -0.016153, -0.00917, 0.091898, -0.048706, -0.038621, 0.041879, -0.005023, -0.069395, 0.007941, -0.047043, 0.035109, -0.037895, -0.008008, -0.016607, -0.021937, 0.001842, -0.096807, 0.038057, -0.04485, -0.08, -0.089135, -0.03887, -0.065687, 0.042207, 0.042935, -0.013261, 0.005523, -0.021602, 0.084956, 0.062686, -0.119338, 0.011999, -0.08953, -0.067483, -0.025447, -0.017638, -0.042245, -0.115959, 0.16476, -0.092125, 0.027368, -0.016442, 0.007293, -0.076288, -0.0, 0.13206, 0.047469, 0.093257, -0.073554, 0.024887, -0.1005, 0.007587, 0.093968, 0.013299, 0.016765, -0.004442, 0.136339, 0.085696, -0.022349, -0.046339, 0.015307, -0.046061, 0.039977, -0.000746, 0.022026, -0.007073, 0.008208, -0.008867, 0.025016, -0.026122, 0.071714, -0.010225, 0.024686, -0.044499, -0.013685, -0.038118, 0.010976, 0.038905, 0.018198, -0.084155, -0.079552, -0.019684, 0.045244, 0.039681, -0.10501, 0.074133, 0.028677, 0.0169, 0.044868, -0.025074, -0.03084, -0.026133, 0.03002, 0.033305, 0.007317, -0.011038, 0.028657, 0.030408, -0.03669, -0.005186, -0.029822, 0.003843, -0.047312, -0.030885, 0.042995, -0.032823, -0.049635, 0.052145, 0.063297]"
ARG-37_2012-T570,Premise,"in part, it comes, again, from my experience",Premise,T558,56885,56929,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,I was in New Hampshire,Premise,T559,56941,56963,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,"A woman came to me and she said, look, I can't afford insurance for myself or my son",Premise,T560,56965,57049,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,"I met a couple in Appleton, Wisconsin, and they said, we're thinking of dropping our insurance, we can't afford it",Premise,T561,57051,57165,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,"And the number of small businesses I've gone to that are saying they're dropping insurance because they can't afford it, the cost of health care is just prohibitive",Premise,T562,57167,57331,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,we've got to deal with cost,Premise,T565,57344,57371,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,"when you look at Obamacare, the Congressional Budget Office has said it will cost $2,500 a year more than traditional insurance",Premise,T566,57409,57536,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,it's adding to cost,Premise,T567,57541,57560,ROMNEY,2012-10-03,
ARG-37_2012-T570,Premise,"as a matter of fact, when the president ran for office, he said that, by this year, he would have brought down the cost of insurance for each family by $2,500 a family",Premise,T568,57566,57733,ROMNEY,2012-10-03,
