argument_id,role,text,original_label,T_id,start_char,end_char,speaker,date,embedding
ARG-7_1976-T376,Claim,I think the matter is closed once and for all,Claim,T376,14966,15011,FORD,1976-10-22,"[-0.03958, 0.005549, 0.045359, -0.012112, 0.08767, -0.045365, 0.005556, 0.021039, 0.018624, -0.003176, -0.038434, 0.03011, -0.062138, -0.048241, -0.027268, 0.036824, -0.047172, -0.065828, -0.099282, 0.138532, 0.060348, 0.014899, -0.014851, 0.028979, -0.096477, 0.08941, -0.031219, -0.096464, -0.023514, -0.029384, 0.04453, -0.032333, 0.017719, -0.000656, 0.062175, -0.046565, 0.066388, 0.020933, 0.061127, 0.008369, 0.023707, -0.054478, -0.023972, 0.008423, -0.029123, -0.001776, 0.029492, 0.04881, -0.010417, 0.005049, -0.036811, 0.026167, -0.020583, 0.029018, -0.024227, -0.001644, 0.039229, -0.031218, 0.010246, 0.004828, -0.049238, -0.009762, 0.001411, 0.048899, -0.015421, 0.035266, 0.042228, -0.111722, 0.098407, -0.049621, 0.027715, -0.022474, 0.03784, 0.011307, 0.005797, 0.008281, 0.059494, 0.090684, 0.119644, -0.104476, 0.00546, -0.001158, -0.010916, 0.014415, -0.005828, -0.026767, -0.029013, -0.00261, 0.00313, 0.034341, 0.035711, -0.094706, -0.015319, -0.034489, 0.078217, 0.005835, -0.005016, 0.043822, 0.042515, 0.041428, -0.049325, 0.003511, -0.12212, -0.147504, -0.044794, 0.040266, 0.007066, -0.007519, 0.023974, 0.005582, 0.027594, -0.019504, 0.069411, 0.059351, 0.050495, 0.024516, 0.059425, 0.027498, 0.01152, 0.033776, 0.077587, 0.010099, 0.019635, -0.002766, -0.015047, 0.009398, 0.027482, 0.0, 0.043296, -0.043904, -0.021333, -0.007503, -0.006405, 0.062622, -0.040698, -0.009315, 0.018377, 0.030489, 0.027203, -0.026549, -0.009038, -0.044561, -0.096835, 0.024549, -0.019522, -0.00215, -0.045838, -0.005275, 0.067166, 0.011479, 0.061111, 0.042635, -0.012023, -0.027792, 0.016067, -0.010209, -0.007537, -0.003852, -0.012493, -0.045914, 0.115184, 0.089659, 0.001716, 0.046256, 0.012398, -0.012408, -0.007108, -0.04127, 0.036014, 0.041947, 0.003005, -0.003103, 0.001212, -0.088757, -0.071302, 0.049563, -0.074902, -0.027515, -0.034108, 0.010839, 0.028602, -0.009315, -0.079554, -0.009299, -0.078012, -0.025156, -0.002971, 0.03065, 0.059538, 0.110099, -0.127445, 0.058985, -0.120736, -0.024922, -0.046352, -0.031263, -0.036399, -0.040048, 0.022189, -0.115968, -0.013879, -0.012534, -0.048498, -0.028847, 0.05904, 0.005009, 0.021417, -0.015807, -0.00911, 0.00283, 0.068695, 0.026375, -0.062672, -0.043939, -0.063062, 0.029036, 0.011024, -0.009063, -0.150252, 0.00574, 0.073569, 0.001571, -0.039674, -0.0, -0.088925, -0.048681, 0.041453, 0.051609, -0.000533, 0.05615, -0.033601, -0.067765, -0.030413, -0.032012, 0.054649, 0.069329, 0.008527, 0.006028, 0.004184, 0.01644, 0.066949, 0.015365, 0.017335, 0.019632, 0.067834, 0.121006, 0.02517, 0.033684, -0.012407, -0.020354, 0.084405, -0.038538, 0.054678, 0.017946, -0.016768, 0.014819, -0.047721, 0.048051, 0.040886, -0.00318, 0.095064, -0.069667, -0.099093, -0.039902, 0.080855, 0.017438, -0.062592, -0.032344, 0.001721, -0.030538, -0.065775, 0.070028, -0.036481, -0.048254, -0.062487, -0.054544, 0.016576, 0.023734, -0.042932, 0.038768, 0.059915, 0.002124, 0.014008, -0.014575, -0.058701, 0.021009, -0.06891, -0.052412, 0.047526, 0.016806, 0.071923, -0.044496, 0.038415, -0.025937, -0.086298, -0.109365, -0.009328, 0.02534, 0.067522, 0.077943, -0.106429, -0.093788, -0.100369, -0.002627, 0.060004, -0.087181, -0.01982, -0.011903, 0.044959, 0.039178, 0.017506, -0.019104, 0.019289, 0.161298, -0.08078, -0.054596, 0.001998, -0.016319, 0.018733, -0.0, 0.136886, 0.02002, 0.048303, 0.061115, -0.026831, -0.13185, -0.054584, -0.064132, -0.064633, -0.04041, 0.115262, 0.02527, -0.00512, -0.066547, 0.024581, -0.038507, -0.018172, -0.026198, -0.008032, -0.017599, -0.010391, -0.053261, -0.063769, 0.061268, 0.067963, -0.028238, -0.00455, 0.003121, -0.112427, 0.000741, -0.03314, 0.023817, 0.002086, 0.055536, -0.053317, -0.007754, -0.065586, -0.02364, 0.025817, -0.0159, 0.002559, 0.039344, 0.064353, 0.033086, 0.057881, -0.063704, -0.048355, -0.004541, 0.076049, -0.038709, -0.028792, -0.00609, 0.015516, 0.049464, 0.056688, 0.036313, 0.011624, -0.045271, -0.034727, -0.105477, 0.102687, 0.009657, -0.07166, -0.08588]"
ARG-7_1976-T376,Premise,"I testified before two committees, House and Senate, on precisely the questions that you have asked",Premise,T381,13775,13874,FORD,1976-10-22,
ARG-7_1976-T376,Premise,"the testimony under oath was to the effect that I did not talk to Mr. Nixon, to Mr. Haldeman, to Mr. Ehrlichman, or to any of the people at the White House",Premise,T382,13880,14035,FORD,1976-10-22,
ARG-7_1976-T376,Premise,I said I had no recollection whatsoever of talking with any of the White House legislative liaison people,Premise,T383,14037,14142,FORD,1976-10-22,
ARG-7_1976-T376,Premise,I indicated under oath that the initiative that I took was at the request of the ranking members of the House Banking and Currency Committee on the Republican side,Premise,T384,14144,14307,FORD,1976-10-22,
ARG-7_1976-T376,Premise,which was a legitimate request and a proper response by me,Premise,T385,14309,14367,FORD,1976-10-22,
ARG-7_1976-T376,Premise,"following that investigation, both committees overwhelmingly approved me",Premise,T387,14429,14501,FORD,1976-10-22,
ARG-7_1976-T376,Premise,the House and the Senate did likewise,Premise,T388,14507,14544,FORD,1976-10-22,
ARG-7_1976-T376,Premise,"in the meantime, the special prosecutor, within the last few days, after an investigation himself, said there was no reason for him to get involved because he found nothing that would justify it",Premise,T389,14551,14745,FORD,1976-10-22,
ARG-7_1976-T376,Premise,"just a day or two ago, the attorney general of the United States made a further investigation and came to precisely the same conclusion",Premise,T390,14756,14891,FORD,1976-10-22,
