relation_type,source_argument_id,target_argument_id
Attack,ARG-43_2016-T100,ARG-43_2016-T99
Attack,ARG-43_2016-T107,ARG-43_2016-T106
Attack,ARG-43_2016-T109,ARG-43_2016-T106
Attack,ARG-43_2016-T112,ARG-43_2016-T110
Attack,ARG-43_2016-T117,ARG-43_2016-T110
Attack,ARG-43_2016-T12,ARG-43_2016-T4
Attack,ARG-43_2016-T125,ARG-43_2016-T124
Attack,ARG-43_2016-T140,ARG-43_2016-T143
Attack,ARG-43_2016-T147,ARG-43_2016-T131
Attack,ARG-43_2016-T172,ARG-43_2016-T169
Attack,ARG-43_2016-T173,ARG-43_2016-T161
Attack,ARG-43_2016-T184,ARG-43_2016-T185
Attack,ARG-43_2016-T188,ARG-43_2016-T185
Attack,ARG-43_2016-T208,ARG-43_2016-T207
Attack,ARG-43_2016-T213,ARG-43_2016-T211
Attack,ARG-43_2016-T238,ARG-43_2016-T237
Attack,ARG-43_2016-T239,ARG-43_2016-T237
Attack,ARG-43_2016-T241,ARG-43_2016-T237
Attack,ARG-43_2016-T246,ARG-43_2016-T244
Attack,ARG-43_2016-T247,ARG-43_2016-T250
Attack,ARG-43_2016-T247,ARG-43_2016-T251
Attack,ARG-43_2016-T250,ARG-43_2016-T238
Attack,ARG-43_2016-T256,ARG-43_2016-T252
Attack,ARG-43_2016-T265,ARG-43_2016-T269
Attack,ARG-43_2016-T291,ARG-43_2016-T280
Attack,ARG-43_2016-T291,ARG-43_2016-T290
Attack,ARG-43_2016-T310,ARG-43_2016-T309
Attack,ARG-43_2016-T325,ARG-43_2016-T344
Attack,ARG-43_2016-T357,ARG-43_2016-T355
Attack,ARG-43_2016-T358,ARG-43_2016-T357
Attack,ARG-43_2016-T361,ARG-43_2016-T363
Attack,ARG-43_2016-T37,ARG-43_2016-T29
Attack,ARG-43_2016-T43,ARG-43_2016-T38
Attack,ARG-43_2016-T432,ARG-43_2016-T430
Attack,ARG-43_2016-T433,ARG-43_2016-T432
Attack,ARG-43_2016-T444,ARG-43_2016-T442
Attack,ARG-43_2016-T455,ARG-43_2016-T452
Attack,ARG-43_2016-T456,ARG-43_2016-T455
Attack,ARG-43_2016-T52,ARG-43_2016-T15
Support,ARG-43_2016-T105,ARG-43_2016-T103
