relation_type,source_argument_id,target_argument_id
Attack,ARG-21_1992-T100,ARG-21_1992-T78
Attack,ARG-21_1992-T305,ARG-21_1992-T300
Attack,ARG-21_1992-T308,ARG-21_1992-T255
Attack,ARG-21_1992-T864,ARG-21_1992-T890
Attack,ARG-21_1992-T884,ARG-21_1992-T878
Equivalent,ARG-21_1992-T105,ARG-21_1992-T104
Equivalent,ARG-21_1992-T168,ARG-21_1992-T159
Equivalent,ARG-21_1992-T195,ARG-21_1992-T211
Equivalent,ARG-21_1992-T210,ARG-21_1992-T214
Equivalent,ARG-21_1992-T247,ARG-21_1992-T319
Equivalent,ARG-21_1992-T402,ARG-21_1992-T403
Equivalent,ARG-21_1992-T80,ARG-21_1992-T96
Support,ARG-21_1992-T106,ARG-21_1992-T104
Support,ARG-21_1992-T113,ARG-21_1992-T112
Support,ARG-21_1992-T115,ARG-21_1992-T110
Support,ARG-21_1992-T125,ARG-21_1992-T122
Support,ARG-21_1992-T127,ARG-21_1992-T193
Support,ARG-21_1992-T144,ARG-21_1992-T143
Support,ARG-21_1992-T145,ARG-21_1992-T143
Support,ARG-21_1992-T151,ARG-21_1992-T146
Support,ARG-21_1992-T156,ARG-21_1992-T165
Support,ARG-21_1992-T158,ARG-21_1992-T159
Support,ARG-21_1992-T163,ARG-21_1992-T165
Support,ARG-21_1992-T165,ARG-21_1992-T166
Support,ARG-21_1992-T166,ARG-21_1992-T159
Support,ARG-21_1992-T167,ARG-21_1992-T166
Support,ARG-21_1992-T174,ARG-21_1992-T169
Support,ARG-21_1992-T177,ARG-21_1992-T179
Support,ARG-21_1992-T193,ARG-21_1992-T122
Support,ARG-21_1992-T195,ARG-21_1992-T209
Support,ARG-21_1992-T196,ARG-21_1992-T195
Support,ARG-21_1992-T196,ARG-21_1992-T197
Support,ARG-21_1992-T209,ARG-21_1992-T210
Support,ARG-21_1992-T215,ARG-21_1992-T216
Support,ARG-21_1992-T238,ARG-21_1992-T236
Support,ARG-21_1992-T238,ARG-21_1992-T237
Support,ARG-21_1992-T251,ARG-21_1992-T236
Support,ARG-21_1992-T282,ARG-21_1992-T281
Support,ARG-21_1992-T287,ARG-21_1992-T286
Support,ARG-21_1992-T288,ARG-21_1992-T286
Support,ARG-21_1992-T293,ARG-21_1992-T294
Support,ARG-21_1992-T294,ARG-21_1992-T288
Support,ARG-21_1992-T301,ARG-21_1992-T295
Support,ARG-21_1992-T310,ARG-21_1992-T308
Support,ARG-21_1992-T314,ARG-21_1992-T203
Support,ARG-21_1992-T325,ARG-21_1992-T326
Support,ARG-21_1992-T337,ARG-21_1992-T336
Support,ARG-21_1992-T384,ARG-21_1992-T383
Support,ARG-21_1992-T401,ARG-21_1992-T402
Support,ARG-21_1992-T413,ARG-21_1992-T383
Support,ARG-21_1992-T60,ARG-21_1992-T59
Support,ARG-21_1992-T61,ARG-21_1992-T60
Support,ARG-21_1992-T82,ARG-21_1992-T83
Support,ARG-21_1992-T87,ARG-21_1992-T89
Support,ARG-21_1992-T88,ARG-21_1992-T89
Support,ARG-21_1992-T882,ARG-21_1992-T883
Support,ARG-21_1992-T888,ARG-21_1992-T883
Support,ARG-21_1992-T95,ARG-21_1992-T96
Support,ARG-21_1992-T96,ARG-21_1992-T97
