relation_type,source_argument_id,target_argument_id
Attack,ARG-25_2000-T100,ARG-25_2000-T96
Attack,ARG-25_2000-T116,ARG-25_2000-T99
Attack,ARG-25_2000-T117,ARG-25_2000-T118
Attack,ARG-25_2000-T134,ARG-25_2000-T130
Attack,ARG-25_2000-T145,ARG-25_2000-T139
Attack,ARG-25_2000-T163,ARG-25_2000-T157
Attack,ARG-25_2000-T167,ARG-25_2000-T157
Attack,ARG-25_2000-T175,ARG-25_2000-T170
Attack,ARG-25_2000-T207,ARG-25_2000-T204
Attack,ARG-25_2000-T208,ARG-25_2000-T204
Attack,ARG-25_2000-T218,ARG-25_2000-T209
Attack,ARG-25_2000-T228,ARG-25_2000-T225
Attack,ARG-25_2000-T230,ARG-25_2000-T169
Attack,ARG-25_2000-T230,ARG-25_2000-T170
Attack,ARG-25_2000-T26,ARG-25_2000-T73
Attack,ARG-25_2000-T281,ARG-25_2000-T276
Attack,ARG-25_2000-T293,ARG-25_2000-T285
Attack,ARG-25_2000-T301,ARG-25_2000-T285
Attack,ARG-25_2000-T302,ARG-25_2000-T301
Attack,ARG-25_2000-T304,ARG-25_2000-T301
Attack,ARG-25_2000-T311,ARG-25_2000-T310
Attack,ARG-25_2000-T314,ARG-25_2000-T309
Attack,ARG-25_2000-T323,ARG-25_2000-T321
Attack,ARG-25_2000-T333,ARG-25_2000-T334
Attack,ARG-25_2000-T341,ARG-25_2000-T334
Attack,ARG-25_2000-T347,ARG-25_2000-T344
Attack,ARG-25_2000-T35,ARG-25_2000-T33
Attack,ARG-25_2000-T356,ARG-25_2000-T357
Attack,ARG-25_2000-T357,ARG-25_2000-T334
Attack,ARG-25_2000-T360,ARG-25_2000-T341
Attack,ARG-25_2000-T363,ARG-25_2000-T362
Attack,ARG-25_2000-T364,ARG-25_2000-T362
Attack,ARG-25_2000-T395,ARG-25_2000-T400
Attack,ARG-25_2000-T413,ARG-25_2000-T395
Attack,ARG-25_2000-T418,ARG-25_2000-T395
Attack,ARG-25_2000-T430,ARG-25_2000-T431
Attack,ARG-25_2000-T45,ARG-25_2000-T44
Attack,ARG-25_2000-T453,ARG-25_2000-T452
Attack,ARG-25_2000-T457,ARG-25_2000-T456
Attack,ARG-25_2000-T458,ARG-25_2000-T456
