relation_type,source_argument_id,target_argument_id
Attack,ARG-31_2004-T1004,ARG-31_2004-T1003
Attack,ARG-31_2004-T101,ARG-31_2004-T105
Attack,ARG-31_2004-T101,ARG-31_2004-T95
Attack,ARG-31_2004-T1016,ARG-31_2004-T1015
Attack,ARG-31_2004-T1035,ARG-31_2004-T1033
Attack,ARG-31_2004-T1036,ARG-31_2004-T1035
Attack,ARG-31_2004-T1059,ARG-31_2004-T1054
Attack,ARG-31_2004-T1064,ARG-31_2004-T1054
Attack,ARG-31_2004-T1081,ARG-31_2004-T1064
Attack,ARG-31_2004-T1081,ARG-31_2004-T1080
Attack,ARG-31_2004-T1087,ARG-31_2004-T1062
Attack,ARG-31_2004-T109,ARG-31_2004-T108
Attack,ARG-31_2004-T1099,ARG-31_2004-T1097
Attack,ARG-31_2004-T1101,ARG-31_2004-T1087
Attack,ARG-31_2004-T111,ARG-31_2004-T74
Attack,ARG-31_2004-T112,ARG-31_2004-T113
Attack,ARG-31_2004-T118,ARG-31_2004-T113
Attack,ARG-31_2004-T121,ARG-31_2004-T122
Attack,ARG-31_2004-T126,ARG-31_2004-T122
Attack,ARG-31_2004-T130,ARG-31_2004-T128
Attack,ARG-31_2004-T141,ARG-31_2004-T183
Attack,ARG-31_2004-T144,ARG-31_2004-T149
Attack,ARG-31_2004-T159,ARG-31_2004-T160
Attack,ARG-31_2004-T160,ARG-31_2004-T164
Attack,ARG-31_2004-T170,ARG-31_2004-T160
Attack,ARG-31_2004-T188,ARG-31_2004-T219
Attack,ARG-31_2004-T203,ARG-31_2004-T197
Attack,ARG-31_2004-T205,ARG-31_2004-T197
Attack,ARG-31_2004-T210,ARG-31_2004-T217
Attack,ARG-31_2004-T280,ARG-31_2004-T274
Attack,ARG-31_2004-T291,ARG-31_2004-T290
Attack,ARG-31_2004-T296,ARG-31_2004-T303
Attack,ARG-31_2004-T33,ARG-31_2004-T32
Attack,ARG-31_2004-T337,ARG-31_2004-T336
Attack,ARG-31_2004-T347,ARG-31_2004-T335
Attack,ARG-31_2004-T351,ARG-31_2004-T356
Attack,ARG-31_2004-T373,ARG-31_2004-T353
Attack,ARG-31_2004-T384,ARG-31_2004-T385
Attack,ARG-31_2004-T386,ARG-31_2004-T385
Attack,ARG-31_2004-T390,ARG-31_2004-T386
Attack,ARG-31_2004-T392,ARG-31_2004-T353
Attack,ARG-31_2004-T395,ARG-31_2004-T396
Attack,ARG-31_2004-T397,ARG-31_2004-T396
Attack,ARG-31_2004-T417,ARG-31_2004-T416
Attack,ARG-31_2004-T436,ARG-31_2004-T435
Attack,ARG-31_2004-T478,ARG-31_2004-T502
Attack,ARG-31_2004-T483,ARG-31_2004-T485
Attack,ARG-31_2004-T484,ARG-31_2004-T485
Attack,ARG-31_2004-T485,ARG-31_2004-T489
Attack,ARG-31_2004-T486,ARG-31_2004-T485
Attack,ARG-31_2004-T486,ARG-31_2004-T489
Attack,ARG-31_2004-T487,ARG-31_2004-T485
Attack,ARG-31_2004-T509,ARG-31_2004-T507
Attack,ARG-31_2004-T512,ARG-31_2004-T508
Attack,ARG-31_2004-T581,ARG-31_2004-T578
Attack,ARG-31_2004-T583,ARG-31_2004-T574
Attack,ARG-31_2004-T591,ARG-31_2004-T523
