relation_type,source_argument_id,target_argument_id
Attack,ARG-40_2012-T100,ARG-40_2012-T95
Attack,ARG-40_2012-T101,ARG-40_2012-T95
Attack,ARG-40_2012-T105,ARG-40_2012-T103
Attack,ARG-40_2012-T105,ARG-40_2012-T106
Attack,ARG-40_2012-T115,ARG-40_2012-T113
Attack,ARG-40_2012-T121,ARG-40_2012-T122
Attack,ARG-40_2012-T123,ARG-40_2012-T125
Attack,ARG-40_2012-T130,ARG-40_2012-T136
Attack,ARG-40_2012-T148,ARG-40_2012-T149
Attack,ARG-40_2012-T166,ARG-40_2012-T156
Attack,ARG-40_2012-T184,ARG-40_2012-T187
Attack,ARG-40_2012-T188,ARG-40_2012-T190
Attack,ARG-40_2012-T192,ARG-40_2012-T190
Attack,ARG-40_2012-T224,ARG-40_2012-T223
Attack,ARG-40_2012-T240,ARG-40_2012-T228
Attack,ARG-40_2012-T241,ARG-40_2012-T231
Attack,ARG-40_2012-T250,ARG-40_2012-T251
Attack,ARG-40_2012-T281,ARG-40_2012-T288
Attack,ARG-40_2012-T295,ARG-40_2012-T281
Attack,ARG-40_2012-T297,ARG-40_2012-T310
Attack,ARG-40_2012-T307,ARG-40_2012-T299
Attack,ARG-40_2012-T318,ARG-40_2012-T315
Attack,ARG-40_2012-T320,ARG-40_2012-T322
Attack,ARG-40_2012-T330,ARG-40_2012-T327
Attack,ARG-40_2012-T345,ARG-40_2012-T339
Attack,ARG-40_2012-T353,ARG-40_2012-T381
Attack,ARG-40_2012-T364,ARG-40_2012-T381
Attack,ARG-40_2012-T373,ARG-40_2012-T372
Attack,ARG-40_2012-T377,ARG-40_2012-T375
Attack,ARG-40_2012-T378,ARG-40_2012-T379
Attack,ARG-40_2012-T379,ARG-40_2012-T377
Attack,ARG-40_2012-T415,ARG-40_2012-T417
Attack,ARG-40_2012-T416,ARG-40_2012-T418
Attack,ARG-40_2012-T436,ARG-40_2012-T442
Attack,ARG-40_2012-T437,ARG-40_2012-T442
Attack,ARG-40_2012-T438,ARG-40_2012-T442
Attack,ARG-40_2012-T44,ARG-40_2012-T43
Attack,ARG-40_2012-T456,ARG-40_2012-T429
Attack,ARG-40_2012-T530,ARG-40_2012-T533
Attack,ARG-40_2012-T550,ARG-40_2012-T548
Attack,ARG-40_2012-T561,ARG-40_2012-T543
Attack,ARG-40_2012-T579,ARG-40_2012-T577
Attack,ARG-40_2012-T58,ARG-40_2012-T62
Attack,ARG-40_2012-T582,ARG-40_2012-T583
Attack,ARG-40_2012-T607,ARG-40_2012-T612
Attack,ARG-40_2012-T612,ARG-40_2012-T603
Attack,ARG-40_2012-T618,ARG-40_2012-T612
Attack,ARG-40_2012-T634,ARG-40_2012-T635
Attack,ARG-40_2012-T650,ARG-40_2012-T648
Attack,ARG-40_2012-T668,ARG-40_2012-T667
Attack,ARG-40_2012-T69,ARG-40_2012-T68
Attack,ARG-40_2012-T692,ARG-40_2012-T693
Attack,ARG-40_2012-T705,ARG-40_2012-T685
Attack,ARG-40_2012-T718,ARG-40_2012-T716
Attack,ARG-40_2012-T724,ARG-40_2012-T723
Attack,ARG-40_2012-T725,ARG-40_2012-T724
Attack,ARG-40_2012-T74,ARG-40_2012-T81
Attack,ARG-40_2012-T756,ARG-40_2012-T761
Attack,ARG-40_2012-T763,ARG-40_2012-T761
Attack,ARG-40_2012-T785,ARG-40_2012-T787
Attack,ARG-40_2012-T797,ARG-40_2012-T799
