relation_type,source_argument_id,target_argument_id
Attack,ARG-38_2012-T144,ARG-38_2012-T185
Attack,ARG-38_2012-T228,ARG-38_2012-T229
Attack,ARG-38_2012-T235,ARG-38_2012-T228
Attack,ARG-38_2012-T394,ARG-38_2012-T390
Attack,ARG-38_2012-T404,ARG-38_2012-T405
Attack,ARG-38_2012-T426,ARG-38_2012-T451
Attack,ARG-38_2012-T440,ARG-38_2012-T439
Attack,ARG-38_2012-T521,ARG-38_2012-T520
Attack,ARG-38_2012-T522,ARG-38_2012-T521
Attack,ARG-38_2012-T524,ARG-38_2012-T523
Attack,ARG-38_2012-T526,ARG-38_2012-T524
Attack,ARG-38_2012-T553,ARG-38_2012-T554
Attack,ARG-38_2012-T554,ARG-38_2012-T588
Attack,ARG-38_2012-T564,ARG-38_2012-T557
Attack,ARG-38_2012-T593,ARG-38_2012-T592
Attack,ARG-38_2012-T648,ARG-38_2012-T704
Attack,ARG-38_2012-T690,ARG-38_2012-T675
Attack,ARG-38_2012-T700,ARG-38_2012-T690
Attack,ARG-38_2012-T797,ARG-38_2012-T788
Attack,ARG-38_2012-T814,ARG-38_2012-T797
Attack,ARG-38_2012-T824,ARG-38_2012-T747
Support,ARG-38_2012-T101,ARG-38_2012-T102
Support,ARG-38_2012-T12,ARG-38_2012-T11
Support,ARG-38_2012-T140,ARG-38_2012-T195
Support,ARG-38_2012-T141,ARG-38_2012-T195
Support,ARG-38_2012-T162,ARG-38_2012-T161
Support,ARG-38_2012-T165,ARG-38_2012-T168
Support,ARG-38_2012-T169,ARG-38_2012-T168
Support,ARG-38_2012-T185,ARG-38_2012-T149
Support,ARG-38_2012-T226,ARG-38_2012-T228
Support,ARG-38_2012-T238,ARG-38_2012-T235
Support,ARG-38_2012-T246,ARG-38_2012-T247
Support,ARG-38_2012-T248,ARG-38_2012-T246
Support,ARG-38_2012-T249,ARG-38_2012-T246
Support,ARG-38_2012-T250,ARG-38_2012-T246
Support,ARG-38_2012-T252,ARG-38_2012-T246
Support,ARG-38_2012-T253,ARG-38_2012-T246
Support,ARG-38_2012-T255,ARG-38_2012-T254
Support,ARG-38_2012-T26,ARG-38_2012-T24
