relation_type,source_argument_id,target_argument_id
Attack,ARG-24_1996-T1016,ARG-24_1996-T1007
Attack,ARG-24_1996-T1036,ARG-24_1996-T1024
Attack,ARG-24_1996-T181,ARG-24_1996-T165
Attack,ARG-24_1996-T198,ARG-24_1996-T181
Attack,ARG-24_1996-T244,ARG-24_1996-T212
Attack,ARG-24_1996-T319,ARG-24_1996-T299
Attack,ARG-24_1996-T370,ARG-24_1996-T368
Attack,ARG-24_1996-T536,ARG-24_1996-T522
Attack,ARG-24_1996-T555,ARG-24_1996-T547
Attack,ARG-24_1996-T642,ARG-24_1996-T629
Attack,ARG-24_1996-T693,ARG-24_1996-T686
Attack,ARG-24_1996-T77,ARG-24_1996-T61
Attack,ARG-24_1996-T84,ARG-24_1996-T70
Attack,ARG-24_1996-T885,ARG-24_1996-T880
Attack,ARG-24_1996-T93,ARG-24_1996-T72
Attack,ARG-24_1996-T937,ARG-24_1996-T935
Attack,ARG-24_1996-T938,ARG-24_1996-T935
Attack,ARG-24_1996-T939,ARG-24_1996-T935
Attack,ARG-24_1996-T969,ARG-24_1996-T965
Support,ARG-24_1996-T1,ARG-24_1996-T16
Support,ARG-24_1996-T10,ARG-24_1996-T20
Support,ARG-24_1996-T1000,ARG-24_1996-T999
Support,ARG-24_1996-T1001,ARG-24_1996-T1000
Support,ARG-24_1996-T1002,ARG-24_1996-T1004
Support,ARG-24_1996-T1004,ARG-24_1996-T1005
Support,ARG-24_1996-T1006,ARG-24_1996-T1005
Support,ARG-24_1996-T1007,ARG-24_1996-T1005
Support,ARG-24_1996-T1012,ARG-24_1996-T1013
Support,ARG-24_1996-T1016,ARG-24_1996-T1017
Support,ARG-24_1996-T1020,ARG-24_1996-T1017
Support,ARG-24_1996-T1023,ARG-24_1996-T1024
Support,ARG-24_1996-T1025,ARG-24_1996-T1024
Support,ARG-24_1996-T1026,ARG-24_1996-T1024
Support,ARG-24_1996-T103,ARG-24_1996-T108
Support,ARG-24_1996-T1030,ARG-24_1996-T1024
Support,ARG-24_1996-T1031,ARG-24_1996-T1024
Support,ARG-24_1996-T1032,ARG-24_1996-T1024
Support,ARG-24_1996-T104,ARG-24_1996-T99
Support,ARG-24_1996-T109,ARG-24_1996-T108
Support,ARG-24_1996-T115,ARG-24_1996-T116
Support,ARG-24_1996-T118,ARG-24_1996-T128
Support,ARG-24_1996-T120,ARG-24_1996-T119
Support,ARG-24_1996-T121,ARG-24_1996-T119
Support,ARG-24_1996-T124,ARG-24_1996-T126
Support,ARG-24_1996-T125,ARG-24_1996-T126
Support,ARG-24_1996-T129,ARG-24_1996-T128
Support,ARG-24_1996-T130,ARG-24_1996-T128
Support,ARG-24_1996-T131,ARG-24_1996-T128
Support,ARG-24_1996-T135,ARG-24_1996-T147
Support,ARG-24_1996-T136,ARG-24_1996-T135
Support,ARG-24_1996-T138,ARG-24_1996-T146
Support,ARG-24_1996-T146,ARG-24_1996-T148
Support,ARG-24_1996-T147,ARG-24_1996-T148
