relation_type,source_argument_id,target_argument_id
Attack,ARG-14_1988-T145,ARG-14_1988-T140
Attack,ARG-14_1988-T16,ARG-14_1988-T39
Attack,ARG-14_1988-T220,ARG-14_1988-T218
Attack,ARG-14_1988-T315,ARG-14_1988-T314
Attack,ARG-14_1988-T335,ARG-14_1988-T313
Attack,ARG-14_1988-T336,ARG-14_1988-T307
Attack,ARG-14_1988-T385,ARG-14_1988-T376
Attack,ARG-14_1988-T392,ARG-14_1988-T389
Attack,ARG-14_1988-T403,ARG-14_1988-T389
Attack,ARG-14_1988-T44,ARG-14_1988-T26
Attack,ARG-14_1988-T473,ARG-14_1988-T448
Attack,ARG-14_1988-T503,ARG-14_1988-T486
Attack,ARG-14_1988-T529,ARG-14_1988-T523
Attack,ARG-14_1988-T548,ARG-14_1988-T545
Attack,ARG-14_1988-T555,ARG-14_1988-T538
Attack,ARG-14_1988-T569,ARG-14_1988-T568
Attack,ARG-14_1988-T571,ARG-14_1988-T570
Attack,ARG-14_1988-T83,ARG-14_1988-T82
Equivalent,ARG-14_1988-T127,ARG-14_1988-T129
Equivalent,ARG-14_1988-T131,ARG-14_1988-T129
Equivalent,ARG-14_1988-T135,ARG-14_1988-T136
Equivalent,ARG-14_1988-T141,ARG-14_1988-T136
Equivalent,ARG-14_1988-T253,ARG-14_1988-T255
Equivalent,ARG-14_1988-T376,ARG-14_1988-T369
Equivalent,ARG-14_1988-T447,ARG-14_1988-T437
Equivalent,ARG-14_1988-T95,ARG-14_1988-T96
Equivalent,ARG-14_1988-T96,ARG-14_1988-T120
Support,ARG-14_1988-T103,ARG-14_1988-T101
Support,ARG-14_1988-T104,ARG-14_1988-T103
Support,ARG-14_1988-T105,ARG-14_1988-T109
Support,ARG-14_1988-T106,ARG-14_1988-T105
Support,ARG-14_1988-T116,ARG-14_1988-T117
Support,ARG-14_1988-T117,ARG-14_1988-T119
Support,ARG-14_1988-T128,ARG-14_1988-T127
Support,ARG-14_1988-T130,ARG-14_1988-T129
Support,ARG-14_1988-T131,ARG-14_1988-T136
Support,ARG-14_1988-T132,ARG-14_1988-T131
Support,ARG-14_1988-T133,ARG-14_1988-T131
Support,ARG-14_1988-T134,ARG-14_1988-T136
Support,ARG-14_1988-T137,ARG-14_1988-T136
Support,ARG-14_1988-T138,ARG-14_1988-T136
Support,ARG-14_1988-T139,ARG-14_1988-T136
Support,ARG-14_1988-T140,ARG-14_1988-T136
Support,ARG-14_1988-T147,ARG-14_1988-T145
Support,ARG-14_1988-T15,ARG-14_1988-T16
Support,ARG-14_1988-T151,ARG-14_1988-T150
Support,ARG-14_1988-T153,ARG-14_1988-T157
Support,ARG-14_1988-T160,ARG-14_1988-T161
Support,ARG-14_1988-T17,ARG-14_1988-T16
Support,ARG-14_1988-T184,ARG-14_1988-T185
Support,ARG-14_1988-T185,ARG-14_1988-T186
Support,ARG-14_1988-T186,ARG-14_1988-T177
Support,ARG-14_1988-T197,ARG-14_1988-T195
Support,ARG-14_1988-T198,ARG-14_1988-T195
Support,ARG-14_1988-T199,ARG-14_1988-T198
Support,ARG-14_1988-T20,ARG-14_1988-T19
