argument_id,role,text,original_label,T_id,start_char,end_char,speaker,date,embedding
ARG-11_1984-T489,Claim,One country is devoid of human rights,Claim,T489,51136,51173,WHITE,1984-10-11,"[0.027184, 0.002589, -0.031291, 0.024628, 0.02122, -0.031598, 0.010928, -0.010005, -0.02708, 0.049698, 0.113983, 0.034923, 0.039445, -0.060881, 0.057472, 0.029783, -0.071648, -0.077533, 0.008602, 0.094906, 0.077259, -0.022361, -0.023386, 0.078607, -0.026419, -0.015767, 0.027988, -0.055488, 0.03617, -0.049429, -0.021591, -0.016621, 0.034895, -0.054274, 0.08038, -0.029651, 0.066605, -0.085233, -0.036626, -0.115233, 0.035916, -0.021833, 0.024154, -0.021646, -0.009696, -0.05433, 0.05641, 0.005289, 0.01335, -0.1053, 0.045921, 0.002996, 0.020328, -0.026467, -0.054327, -0.014393, -0.046855, -0.027103, 0.056666, 0.002613, -0.009222, 0.031489, -0.050035, -0.002866, -0.005575, 0.010939, 0.001602, 0.005476, -0.021789, 0.085544, 0.055136, 0.003752, 0.066802, 0.039116, -0.005359, -0.060789, 0.036413, 0.080407, -0.044026, 0.050965, 0.036812, 0.048833, -0.009684, 0.029953, 0.031643, 0.062966, -0.021899, -0.018663, 0.020634, -0.115588, -0.021772, 0.13442, -0.001184, 0.063285, 0.070557, -0.074257, 0.085006, 0.093414, -0.00058, 0.05433, 0.024174, 0.037894, -0.075217, -0.092823, 0.032664, 0.030636, 0.009046, 0.002979, -0.070267, 0.093186, -0.094734, -0.054901, -6.9e-05, 0.062624, 0.009638, -0.078833, 0.007068, 0.027989, -0.082891, 0.042789, -0.01957, -0.061824, -0.048723, 0.06933, 0.133513, -0.103222, -0.07109, 0.0, 0.014353, -0.027851, -0.04433, 0.045494, -0.011048, 0.080814, -0.019071, -0.057416, -0.038558, 0.083984, -0.019206, -0.014017, 0.014685, 0.072014, 0.029775, 0.046359, -0.010843, -0.000251, 0.006743, -0.007376, -0.024444, 0.09419, -0.015042, 0.018123, -0.042994, 0.061351, -0.046235, -0.064587, -0.029015, -0.021776, 0.012034, 0.033162, 0.054893, -0.051109, 0.035567, 0.015204, 0.007394, 0.035612, -0.055728, 0.076146, -0.029309, 0.049675, -0.030776, -0.07265, 0.04493, -0.023901, 0.007914, 0.04138, -0.01415, 0.008662, -0.009145, 0.08263, -0.055888, -0.017816, -0.031522, -0.040155, -0.113981, 0.099275, -0.04664, -0.07656, 0.034752, -0.000627, -0.009269, -0.000131, -0.033384, 0.010274, -0.070042, -0.034202, 0.085171, -0.052399, 0.003221, -0.073679, -0.083901, 0.076963, -0.033846, -0.023019, 0.005469, -0.022672, -0.033652, 0.072196, 0.014832, -0.033815, 0.064774, -0.100113, 0.04712, 0.023827, 0.039949, -0.005188, 0.024157, -0.020354, -0.03409, 0.051005, -0.028574, -0.0391, -0.033788, -0.0, -0.087897, -0.047862, -0.005223, 0.024244, 0.027952, 0.046584, -0.080401, -0.038219, -0.000616, -0.038247, 0.00377, -0.09119, 0.033513, 0.013944, -0.009678, 0.071933, 0.003444, -0.0847, -0.006188, 0.091177, -0.046764, 0.107286, -0.041772, 0.070211, -0.023339, -0.037885, -0.00904, -0.004852, 0.026128, -0.097467, -0.056977, -0.026273, -0.024437, 0.016494, -0.02208, -0.03725, -0.098683, 0.018302, 0.071668, 0.03105, -0.024881, -0.018858, -0.01997, -0.104331, -0.090062, 0.025321, 0.039253, -0.062785, 0.014248, -0.067989, -0.007402, 0.043407, -0.014497, 0.085166, 0.061044, -0.064619, -0.048369, 0.034547, 0.037979, -0.018744, -0.044983, 0.03087, -0.082234, 0.023881, 0.06467, 0.075663, -0.004068, -0.076071, 0.093785, 0.013412, 0.070051, -0.003821, -0.103183, -0.040116, 0.046158, 0.027983, -0.090346, 0.050865, -0.024646, -0.095872, 0.019042, -0.098312, -0.039358, -0.053459, 0.023414, 0.106499, 0.060709, -0.09627, 0.045316, 0.05031, 0.035058, -0.015035, -0.014117, 0.016548, -0.000467, -0.0, 0.032858, 0.005676, -0.028257, 0.063717, -0.028411, 0.03551, -0.036201, -0.031545, -0.032011, 0.089076, -0.033091, -0.080553, -0.041523, -0.054651, 0.029765, 0.077, 0.015458, 0.060724, 0.000156, -0.056433, -0.022643, -0.015373, 0.017445, 0.02556, 0.035483, 0.005849, -0.03145, 0.00967, 0.000116, -0.028476, -0.053703, -0.067613, -0.048773, -0.095955, 0.015399, 0.079243, -0.010939, -0.025838, -0.003925, -0.05917, 0.038394, 0.104228, 0.069964, -0.002953, -0.021559, -0.09179, 0.017745, -0.020428, 0.019844, -0.005044, -0.01922, -0.01026, 0.026567, -0.023404, 0.103243, 0.023612, 0.067187, 0.06202, -0.025853, 0.062355, -0.06306, 0.000196, -0.023434, -0.071301]"
ARG-11_1984-T489,Premise,"El Salvador went to the polls, Mr. Duarte was elected by 70 percent of the people in 70 percent voting in a certifiably free election",Premise,T480,50363,50496,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,"In Nicaragua, you have something very different",Premise,T481,50498,50545,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,"You have a Marxist-Leninist group, the Sandinistas, that came into power talking democracy",Premise,T482,50547,50637,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,They have aborted their democracy,Premise,T483,50639,50672,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,They have humiliated the Holy Father,Premise,T484,50674,50710,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,"They have cracked down on the only press organ there, La Prensa, censoring the press something that should concern every American",Premise,T485,50712,50841,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,They have not had any human rights at all,Premise,T486,50843,50884,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,They will not permit free elections,Premise,T487,50886,50921,WHITE,1984-10-11,
ARG-11_1984-T489,Premise,"Mr. Cruz, who was to be the only viable challenger to Nicaragua, the Sandinistas, to the junta, to Mr. Ortega, went down there and found that the ground rules were so unfair that he couldn't even wage a campaign",Premise,T488,50923,51134,WHITE,1984-10-11,
