subj,subj_type,subj_span,obj,obj_type,obj_span,relation
They're hurting,Claim,"(3071, 3086)",they're angry,Claim,"(3056, 3069)",Support
we've been living beyond our means,Premise,"(13642, 13676)",we're going to have to make some adjustments,Claim,"(13681, 13725)",Support
"Senator Obama, your campaign has used words like ""erratic,"" ""out of touch,"" ""lie,"" ""angry,"" ""losing his bearings"" to describe Senator McCain",Premise,"(24486, 24626)",Both of you pledged to take the high road in this campaign yet it has turned very nasty,Claim,"(24386, 24473)",Support
It's not just that he has some of the best foreign policy credentials of anybody,Premise,"(39401, 39481)","Joe Biden, I think, is one of the finest public servants that has served in this country",Claim,"(39311, 39399)",Support
That's not appropriate to do,Claim,"(64422, 64450)",I would never and have never in all the years I've been there imposed a litmus test on any nominee to the court,Claim,"(64309, 64420)",Support
they were graphically demonstrated again today,Premise,"(84337, 84383)",these are very difficult times and challenges for America,Premise,"(84274, 84331)",Support
"They're innocent victims of greed and excess on Wall Street and as well as Washington, D.C.",Premise,"(3107, 3198)",They're hurting,Claim,"(3071, 3086)",Support
what I've done throughout this campaign is to propose a net spending cut,Premise,"(13732, 13804)",we're going to have to make some adjustments,Claim,"(13681, 13725)",Support
"Senator McCain, your commercials have included words like ""disrespectful,"" ""dangerous,"" ""dishonorable,"" ""he lied.""",Premise,"(24628, 24742)",Both of you pledged to take the high road in this campaign yet it has turned very nasty,Claim,"(24386, 24473)",Support
"Democrats and Republicans alike, I think, acknowledge his expertise there",Premise,"(39487, 39560)","Joe Biden, I think, is one of the finest public servants that has served in this country",Claim,"(39311, 39399)",Support
I'm a federalist,Premise,"(64669, 64685)",I think that decisions should rest in the hands of the states,Claim,"(64606, 64667)",Support
these are very difficult times and challenges for America,Premise,"(84274, 84331)",America needs a new direction,Claim,"(84385, 84414)",Support
Americans are hurting right now,Claim,"(3019, 3050)",they're angry,Claim,"(3056, 3069)",Support
"Every dollar that I've proposed, I've proposed an additional cut so that it matches",Claim,"(14052, 14135)",I have been a strong proponent of pay-as- you-go,Claim,"(14002, 14050)",Support
"Your running mate said he ""palled around with terrorists.""",Premise,"(24743, 24801)",Both of you pledged to take the high road in this campaign yet it has turned very nasty,Claim,"(24386, 24473)",Support
"his entire life he has never forgotten where he came from, coming from Scranton, fighting on behalf of working families, remembering what it's like to see his father lose his job and go through a downward spiral economically",Premise,"(39581, 39805)","Joe Biden, I think, is one of the finest public servants that has served in this country",Claim,"(39311, 39399)",Support
I think there were a lot of decisions that were bad,Claim,"(64553, 64604)",I think that decisions should rest in the hands of the states,Claim,"(64606, 64667)",Support
