subj,subj_type,subj_span,obj,obj_type,obj_span,relation
"we have a process in Washington where after you've served for a while you cash in, become a foreign lobbyist, make $30,000 a month, then take a leave, work on presidential campaigns, make sure you've got good contacts and then go back out",Premise,"(1846, 2084)",we have a strange situation,Claim,"(1810, 1837)",Support
trying to be one thing to one person here that's opposing the NAFTA agreement and then for it -- what we call waffling,Premise,"(17194, 17312)",the big argument I have with the governor on this is this taking different positions on different issues,Claim,"(17086, 17190)",Support
Everybody's running against the incumbent,Premise,"(24496, 24537)",Everyone knows that,Premise,"(24559, 24578)",Support
I know the American people want to talk about issues and not tabloid journalism,Premise,"(21604, 21683)",I'll take the pledge,Claim,"(21575, 21595)",Support
That happened when I was president,Premise,"(24051, 24085)","I'm very proud of the way that came about and I think it's a very, very good beginning",Claim,"(24094, 24180)",Support
"Once you automate your records, then you don't have to have a waiting period, but at least you can check",Premise,"(32683, 32787)","I support the Brady bill which would impose a national waiting period unless and until a state did what only Virginia has done now, which is to automate its records",Claim,"(32517, 32681)",Support
I believe it would return the government closer to the people,Claim,"(38483, 38544)",I strongly support term limits for members of the US Congress,Claim,"(38420, 38481)",Support
"we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",Claim,"(43148, 43301)","we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody",Claim,"(43306, 43455)",Support
We've shipped millions of jobs overseas,Claim,"(1766, 1805)",we have a strange situation,Claim,"(1810, 1837)",Support
"I've submitted, what, 4 different budgets to the US Congress in great detail",Premise,"(15130, 15206)",trying to be one thing to one person here that's opposing the NAFTA agreement and then for it -- what we call waffling,Premise,"(17194, 17312)",Attack
Everybody's running against the incumbent,Premise,"(24496, 24537)",They can do better,Premise,"(24539, 24557)",Support
I'll take the pledge,Claim,"(21575, 21595)",I'll take the pledge and will stay on the issues,Claim,"(21688, 21736)",Equivalent
$150 billion for improving the infrastructure,Premise,"(24004, 24049)","I'm very proud of the way that came about and I think it's a very, very good beginning",Claim,"(24094, 24180)",Support
I think it should be made the law,Claim,"(33321, 33354)",we need more police on the street,Claim,"(33084, 33117)",Support
the way that Ross Perot is talking about,Premise,"(38546, 38586)",I believe it would return the government closer to the people,Claim,"(38483, 38544)",Support
if you analyze where we're out of line with other countries,Premise,"(43031, 43090)","we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",Claim,"(43148, 43301)",Support
we have a strange situation,Claim,"(1810, 1837)",We have got to stop sending jobs overseas,Claim,"(2550, 2591)",Support
everything in there says what I am for,Premise,"(15257, 15295)","I've submitted, what, 4 different budgets to the US Congress in great detail",Premise,"(15130, 15206)",Attack
"I've been president for 4 years, so I feel I've been talking issues",Premise,"(15489, 15556)",My record on world affairs is pretty well known,Claim,"(15433, 15480)",Support
I've worked on these things for 12 years,Premise,"(22136, 22176)",The ideas I express are mine,Claim,"(22106, 22134)",Support
We passed this year the most furthest looking transportation bill in the history of this country since Eisenhower started the interstate highways,Claim,"(23855, 24000)","I'm very proud of the way that came about and I think it's a very, very good beginning",Claim,"(24094, 24180)",Support
"I believe we have to have some way of checking hand guns before they're sold, to check the criminal history, the mental health history, and the age of people who are buying them",Claim,"(32328, 32505)",I support the right to keep and bear arms,Claim,"(32193, 32234)",Attack
"The president's terms are limited to 2, a total of 8 years",Premise,"(38588, 38646)",What's wrong with limiting the terms of members of Congress to 12,Claim,"(38648, 38713)",Support
A hundred thousand Americans a month have lost their health insurance just in the last 4 years,Premise,"(42932, 43026)","we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",Claim,"(43148, 43301)",Support
"Have no environmental controls, no pollution controls and no retirement",Premise,"(3018, 3089)",you don't care about anything but making money,Claim,"(3095, 3141)",Support
I never thought I'd ever be involved in anything like this,Premise,"(22578, 22636)",everything in there says what I am for,Premise,"(15257, 15295)",Support
nobody likes who shot John,Claim,"(15568, 15594)",I think the first negative campaign run in this election was by Governor Clinton,Claim,"(15600, 15680)",Attack
I'm the only person up here who hasn't been part of Washington in any way for the last 20 years,Claim,"(22181, 22276)",I don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else,Claim,"(22281, 22401)",Support
I am concerned about the deficits and $150 billion is a lot of money,Premise,"(24198, 24266)",it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down,Claim,"(24272, 24379)",Support
"I live in a state where over half the adults have hunting or fishing licenses, or both",Premise,"(32236, 32322)",I support the right to keep and bear arms,Claim,"(32193, 32234)",Support
Congress has gotten kind of institutionalized,Claim,"(38715, 38760)",What's wrong with limiting the terms of members of Congress to 12,Claim,"(38648, 38713)",Support
We have 35 million people without any insurance at all,Premise,"(42845, 42899)","we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",Claim,"(43148, 43301)",Support
"Pay $1 an hour for your labor, have no health care",Premise,"(2904, 2954)",you don't care about anything but making money,Claim,"(3095, 3141)",Support
"I'm going to stand up and say, hey, listen, here's my side of it",Premise,"(15736, 15800)",I don't have any foreign money in my campaign,Claim,"(22749, 22794)",Support
"The other night Governor Clinton raised my -- I don't know if you saw the debate the other night. You did -- suffered through that? Well, he raised the question of my father -- it was a good line, well rehearsed and well delivered",Premise,"(15854, 16084)","he raised the question of my father and said, well, your father, Prescott Bush, was against McCarthy, you should be ashamed of yourself, McCarthyism",Premise,"(16090, 16238)",Equivalent
I worked 12 years very hard as a governor on the real problems of real people,Premise,"(22403, 22480)",I don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else,Claim,"(22281, 22401)",Support
it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down,Claim,"(24272, 24379)",I would cite that as a major accomplishment,Claim,"(24385, 24428)",Attack
"I believe we have to have some way of checking hand guns before they're sold, to check the criminal history, the mental health history, and the age of people who are buying them",Claim,"(32328, 32505)","I support the Brady bill which would impose a national waiting period unless and until a state did what only Virginia has done now, which is to automate its records",Claim,"(32517, 32681)",Support
What's wrong with limiting the terms of members of Congress to 12,Claim,"(38648, 38713)",I strongly support term limits for members of the US Congress,Claim,"(38420, 38481)",Support
"We spend 30% more of our income than any nation on earth on health care, and yet we insure fewer people",Premise,"(42740, 42843)","we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",Claim,"(43148, 43301)",Support
"If you're paying $12, $13, $14 an hour for a factory worker, and you can move your factory south of the border, pay $1 an hour for labor, hire a young -- let's assume you've been in business for a long time",Premise,"(2665, 2871)",you don't care about anything but making money,Claim,"(3095, 3141)",Support
nobody likes who shot John,Claim,"(15568, 15594)",I don't have any foreign money in my campaign,Claim,"(22749, 22794)",Support
"When Mr. Quayle said that all the networks said, that's not true",Claim,"(18297, 18361)",Mr. Bush said once again I was going to have $150 billion tax increase,Premise,"(18225, 18295)",Attack
I'm just as sick as you are by having to wake up and figure out how to defend myself every day,Premise,"(22482, 22576)",I don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else,Claim,"(22281, 22401)",Support
it really does get to what you're talking about,Premise,"(24641, 24688)",here's something that we can take great pride in,Claim,"(24584, 24632)",Support
We need to give the police a fighting chance in our urban areas where the gangs are building up,Premise,"(32888, 32983)",I also think we should have frankly restrictions on assault weapons whose only purpose is to kill,Claim,"(32789, 32886)",Support
"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together",Premise,"(38762, 38987)",Congress has gotten kind of institutionalized,Claim,"(38715, 38760)",Support
"all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children",Premise,"(42533, 42669)","we spend at least $60 billion a year on insurance, administrative cost, bureaucracy, and government regulation that wouldn't be spent in any other nation",Claim,"(43148, 43301)",Support
"it's leveled again, but in the meantime you've wrecked the country with these kind of deals",Claim,"(3747, 3838)",We got to cut it out,Premise,"(3840, 3860)",Support
I also had a program starting last year,Premise,"(18021, 18060)","I've submitted, what, 4 different budgets to the US Congress in great detail",Premise,"(15130, 15206)",Attack
I couldn't agree with you more,Claim,"(14352, 14382)",couldn't agree with you more,Claim,"(14354, 14382)",Equivalent
I never thought I'd ever be involved in anything like this,Premise,"(22578, 22636)",I don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else,Claim,"(22281, 22401)",Support
"Our enterprise zones, that we hear a lot of lip service about in Congress, would bring jobs into the inner city",Premise,"(24878, 24989)",There's a good program,Claim,"(24991, 25013)",Support
I also believe that we should offer college scholarships to people who will agree to work them off as police officers,Claim,"(33411, 33528)",we need more police on the street,Claim,"(33084, 33117)",Support
"I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long",Claim,"(39029, 39119)",I strongly support term limits for members of the US Congress,Claim,"(38420, 38481)",Support
"Employers would cover their employees, government would cover the unemployed.",Premise,"(43457, 43534)","we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody",Claim,"(43306, 43455)",Support
"we've got international competitors who simply could not unload their cars off the ships if they had to comply -- you see, if it was a 2-way street, just couldn't do it",Premise,"(2380, 2548)",they'll gridlock right at that point,Claim,"(2322, 2358)",Support
I'm not going to sit there and be a punching bag,Premise,"(15686, 15734)",My record on world affairs is pretty well known,Claim,"(15433, 15480)",Support
I am concerned about the deficits and $150 billion is a lot of money,Premise,"(24198, 24266)",I couldn't agree with you more,Claim,"(14352, 14382)",Support
The ideas I express are mine,Claim,"(22106, 22134)",I don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else,Claim,"(22281, 22401)",Support
Our home initiative -- our home ownership initiative -- HOPE -- that passed the Congress is a good start for having people own their own homes instead of living in these deadly tenements,Premise,"(24690, 24876)",There's a good program,Claim,"(24991, 25013)",Support
"I think, as we reduce our military forces, we should let people earn military retirement by coming out and working as police officers",Claim,"(33534, 33667)",we need more police on the street,Claim,"(33084, 33117)",Support
"I favor, strongly favor, term limits",Claim,"(39128, 39164)",I strongly support term limits for members of the US Congress,Claim,"(38420, 38481)",Equivalent
if they follow those guidelines that raises the presumption that they didn't do anything wrong,Premise,"(44045, 44139)",I've recommended that our doctors be given a set of national practice guidelines,Premise,"(43955, 44035)",Support
I do think that you can't turn the White House into the Waffle House,Claim,"(17318, 17386)","Pay $1 an hour for your labor, have no health care",Premise,"(2904, 2954)",Support
"The other night Governor Clinton raised my -- I don't know if you saw the debate the other night. You did -- suffered through that? Well, he raised the question of my father -- it was a good line, well rehearsed and well delivered",Premise,"(15854, 16084)",character is an important part of the equation,Claim,"(15806, 15852)",Equivalent
it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down,Claim,"(24272, 24379)",I couldn't agree with you more,Claim,"(14352, 14382)",Support
I've got 5.5 million hard-working people who put me on the ballot,Premise,"(22899, 22964)",I belong to them,Claim,"(22970, 22986)",Support
"the problem is, you get so many things included in a great big bill that you have to look at the overall good",Premise,"(25965, 26074)",Sure,Claim,"(25955, 25959)",Attack
I think it's a shame it didn't pass,Claim,"(33284, 33319)",we need more police on the street,Claim,"(33084, 33117)",Support
"Every place I go I talk about it, and I think they want it done",Claim,"(39302, 39365)","I favor, strongly favor, term limits",Claim,"(39128, 39164)",Support
I've recommended that our doctors be given a set of national practice guidelines,Premise,"(43955, 44035)",I think you have to help doctors stop practicing defensive medicine,Claim,"(43886, 43953)",Support
There will be a job-sucking sound going south,Claim,"(3143, 3188)",If the people send me to Washington the first thing I'll do is study that 2000-page agreement and make sure it's a 2-way street,Premise,"(3190, 3317)",Support
Mr. Bush said once again I was going to have $150 billion tax increase,Premise,"(18225, 18295)",I've been disturbed by the tone and the tenor of this campaign,Premise,"(18062, 18124)",Support
That happened when I was president,Premise,"(24051, 24085)",I couldn't agree with you more,Claim,"(14352, 14382)",Support
The ideas I express are mine,Claim,"(22106, 22134)",I make those charts you see on television,Premise,"(21843, 21884)",Attack
You could knock out the tax increases,Premise,"(26170, 26207)",If you had a line item veto you could knock out the pork,Claim,"(26112, 26168)",Support
Thirty years ago there were three police officers on the street for every crime,Premise,"(33669, 33748)","I think, as we reduce our military forces, we should let people earn military retirement by coming out and working as police officers",Claim,"(33534, 33667)",Support
