subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I don't know what Mr. Carter's policies are,Premise,"(2836, 2879)",I don't know what the differences might be,Claim,"(2784, 2826)",Support
"In 1974, we had a so-called oil shock, wherein the price of OPEC oil was raised to an extraordinary degree",Premise,"(12847, 12953)","a part of that was due to external factors beyond U.S. control, notably the more than doubling. of oil prices by OPEC last year",Claim,"(12489, 12616)",Support
"in the inner city areas, that in cooperation with the local government and the national Government, and using tax incentives and with cooperating with the private sector, that we have development zones",Claim,"(23570, 23771)",I have been talking to a number of Congressmen who have much the same idea that I have,Claim,"(23465, 23551)",Support
one of the blights on this world is the threat and the activities of terrorists,Claim,"(33780, 33859)",we committed ourselves to take strong action against terrorism,Claim,"(33969, 34031)",Support
"we must have a consistent foreign policy, a strong America, and a strong economy",Premise,"(43773, 43853)",I think I'm right,Claim,"(43732, 43749)",Support
"U.S. dependence on Arab oil as a percentage of total imports is today much higher than it was at the time of the 1973 Arab oil embargo, and for some time to came, the loss of substantial amounts of Arab oil could plunge the U.S. into depression",Premise,"(52868, 53112)",a bridge must be built out of this dependence,Claim,"(53130, 53175)",Support
with regard to how fast the number of workers would increase and how fast the number of retirees would increase,Premise,"(63030, 63141)",The Social Security system was based on a false premise,Claim,"(62973, 63028)",Support
exemplified by the actions that I have taken in the Oval Office the last four years,Premise,"(72215, 72298)",This is a contest between a Democrat in the mainstream of my party,Claim,"(72144, 72210)",Support
"I've studied the record between myself and Governor Reagan, I've been impressed with the stark differences that exist between us",Premise,"(81471, 81599)",I think it's been a very constructive debate and I hope it's helped to acquaint the American people with the sharp differences between myself and Governor Reagan,Claim,"(80877, 81038)",Support
"use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security",Premise,"(3037, 3167)",I believe with all my heart that our first priority must be world peace,Claim,"(2955, 3026)",Support
It averaged about 18% in the first quarter of this year,Premise,"(13357, 13412)","Earlier this year, in the first quarter, we did have a very severe inflation pressure brought about by the OPEC price increase",Premise,"(13229, 13355)",Support
