subj,subj_type,subj_span,obj,obj_type,obj_span,relation
everybody knows now we are in the worst financial crisis since the Great Depression,Claim,"(2284, 2367)","a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college",Claim,"(2373, 2525)",Support
Or would you wait on approval from the U.N,Premise,"(80354, 80396)",we obviously would not wait for the United Nations Security Council,Claim,"(80691, 80758)",Support
"through this economic crisis, most of the people that I know have had a difficult time",Premise,"(9322, 9408)","through this bailout package, I was wondering what it is that's going to actually help those people out",Premise,"(9414, 9517)",Support
"while you've been carrying out your responsibilities -- most of the people here, you've got a family budget",Premise,"(16724, 16831)",I understand your frustration and your cynicism,Claim,"(16667, 16714)",Support
I think we've got to do it quickly,Claim,"(35523, 35557)",we're going to have to take on entitlements,Claim,"(35475, 35518)",Support
when we have an issue that we may hand our children and our grandchildren a damaged planet,Premise,"(40582, 40672)",I have disagreed strongly with the Bush administration on this issue,Claim,"(40674, 40742)",Support
I can't tell you how many people I meet who don't have health insurance,Premise,"(46993, 47064)",It is breaking family budgets,Claim,"(46962, 46991)",Support
that is one of the challenges that America faces,Premise,"(56516, 56564)",there's no doubt that history shows us that nations that are strong militarily over time have to have a strong economy,Claim,"(56383, 56501)",Support
we made a bad judgment going into Iraq in the first place when we hadn't finished the job of hunting down bin Laden and crushing al Qaeda,Premise,"(65113, 65250)",part of the reason we have a difficult situation,Claim,"(65053, 65101)",Support
their petro dollars,Premise,"(75172, 75191)","have no doubt that Russia's behavior is certainly outside the norms of behavior that we would expect for nations which are very wealthy, as Russia has become",Claim,"(75002, 75159)",Support
strongly promoted by President Bush and supported by Senator McCain,Claim,"(2622, 2689)",I believe this is a final verdict on the failed economic policies of the last eight years,Claim,"(2531, 2620)",Support
it's a great threat,Premise,"(80955, 80974)",our challenge right now is the Iranians continue on the path to acquiring nuclear weapons,Claim,"(80860, 80949)",Support
"the greed and excess in Washington and Wall Street, Main Street was paying a very heavy price",Premise,"(9684, 9777)",I believe that it's rescue,Claim,"(9634, 9660)",Support
"If less money is coming in, you end up making cuts",Claim,"(16833, 16883)",I understand your frustration and your cynicism,Claim,"(16667, 16714)",Support
We're going to have a lot of work to do,Premise,"(35559, 35598)",I can't guarantee that we're going to do it in the next two years,Claim,"(35603, 35668)",Support
what's the best way of fixing it,Premise,"(41117, 41149)",Nuclear power,Claim,"(41151, 41164)",Support
your co-payments and deductibles have gone up 30 percent just in the last year alone,Premise,"(47172, 47256)","If you've got health insurance, most of you have seen your premiums double over the last eight years",Claim,"(47066, 47166)",Support
"we have gone to all four corners of the Earth and shed American blood in defense, usually, of somebody else's freedom and our own",Premise,"(56865, 56994)",America is the greatest force for good in the history of the world,Claim,"(56785, 56851)",Support
"what happened was we got distracted, we diverted resources, and ultimately bin Laden escaped",Claim,"(65255, 65347)",we have a difficult situation in Pakistan,Claim,"(64995, 65036)",Support
"I looked into his eyes and saw three letters, a K, a G and a B",Premise,"(75246, 75308)",He has surrounded himself with former KGB apparatchiks,Premise,"(75310, 75364)",Support
"a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college",Claim,"(2373, 2525)",I believe this is a final verdict on the failed economic policies of the last eight years,Claim,"(2531, 2620)",Support
It's not just a threat -- threat to the state of Israel,Premise,"(80976, 81031)",it's a great threat,Premise,"(80955, 80974)",Support
to make sure that there were additional protections for the taxpayer in the form of good oversight,Premise,"(9858, 9956)",I left my campaign and suspended it to go back to Washington,Premise,"(9797, 9857)",Support
Maybe you don't go out to dinner as much,Premise,"(16885, 16925)","If less money is coming in, you end up making cuts",Claim,"(16833, 16883)",Support
we're not going to be able to deal with entitlements unless we understand the revenues coming in,Premise,"(36029, 36125)","I think it's important to understand, we're not going to solve Social Security and Medicare unless we understand the rest of our tax policies",Claim,"(35728, 35869)",Support
I was on Navy ships that had nuclear power plants,Premise,"(41257, 41306)",Senator Obama says that it has to be safe or disposable or something like that,Claim,"(41166, 41244)",Attack
It is breaking family budgets,Claim,"(46962, 46991)",we have a moral commitment as well as an economic imperative to do something about the health care crisis that so many families are facing,Claim,"(47388, 47526)",Support
we're peacekeepers,Premise,"(57030, 57048)",we are peacemakers,Claim,"(57007, 57025)",Support
"They are now raiding our troops in Afghanistan, destabilizing the situation",Claim,"(65430, 65505)",we have a difficult situation in Pakistan,Claim,"(64995, 65036)",Support
He has surrounded himself with former KGB apparatchiks,Premise,"(75310, 75364)","long ago, I warned about Vladimir Putin",Premise,"(75198, 75237)",Support
"that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us",Claim,"(2691, 2842)",I believe this is a final verdict on the failed economic policies of the last eight years,Claim,"(2531, 2620)",Support
It's a threat to the stability of the entire Middle East,Claim,"(81033, 81089)",our challenge right now is the Iranians continue on the path to acquiring nuclear weapons,Claim,"(80860, 80949)",Support
in the form of taxpayers being the first to be paid back when our economy recovers -- and it will recover -- and a number of other measures,Premise,"(9958, 10097)",I left my campaign and suspended it to go back to Washington,Premise,"(9797, 9857)",Support
Maybe you put off buying a new car,Premise,"(16927, 16961)","If less money is coming in, you end up making cuts",Claim,"(16833, 16883)",Support
"If you make less than a quarter of a million dollars a year, you will not see a single dime of your taxes go up",Premise,"(36196, 36307)","I want to provide a tax cut for 95 percent of Americans, 95 percent",Claim,"(36127, 36194)",Support
Nuclear power is safe,Claim,"(41308, 41329)",Nuclear power,Claim,"(41151, 41164)",Support
You can keep your choice of doctor,Premise,"(47685, 47719)","If you've got health care already, and probably the majority of you do, then you can keep your plan if you are satisfied with it",Claim,"(47555, 47683)",Support
we're a nation of good,Premise,"(57664, 57686)",we've done,Claim,"(57645, 57655)",Support
They're stronger now than at any time since 2001,Claim,"(65507, 65555)",we have a difficult situation in Pakistan,Claim,"(64995, 65036)",Support
He has gradually repressed most of the liberties that we would expect for nations to observe,Premise,"(75366, 75458)","long ago, I warned about Vladimir Putin",Premise,"(75198, 75237)",Support
It hasn't worked out that way,Premise,"(2844, 2873)","that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us",Claim,"(2691, 2842)",Attack
"If Iran acquires nuclear weapons, all the other countries will acquire them, too",Claim,"(81091, 81171)",It's a threat to the stability of the entire Middle East,Claim,"(81033, 81089)",Support
I left my campaign and suspended it to go back to Washington,Premise,"(9797, 9857)",I believe that it's rescue,Claim,"(9634, 9660)",Support
That's not what happens in Washington,Premise,"(16963, 17000)",I understand your frustration and your cynicism,Claim,"(16667, 16714)",Support
"If you make $200,000 a year or less, your taxes will go down",Premise,"(36309, 36369)","If you make less than a quarter of a million dollars a year, you will not see a single dime of your taxes go up",Premise,"(36196, 36307)",Support
it's clean,Claim,"(41335, 41345)",Nuclear power,Claim,"(41151, 41164)",Support
we're going to do it by investing in prevention,Claim,"(47823, 47870)","We're going to work with your employer to lower the cost of your premiums by up to $2,500 a year",Claim,"(47721, 47817)",Support
"in doing the things that the United States has done, not always well",Claim,"(57571, 57639)",we've done,Claim,"(57645, 57655)",Support
that's the central front on terrorism,Premise,"(65632, 65669)",I think it's so important for us to reverse course,Claim,"(65572, 65622)",Support
"he has exhibited most aggressive behavior, obviously, in Georgia",Premise,"(75464, 75528)","long ago, I warned about Vladimir Putin",Premise,"(75198, 75237)",Support
step one was a rescue package that was passed last week,Premise,"(2938, 2993)",we've got to take some decisive action,Claim,"(2886, 2924)",Support
The tensions will be ratcheted up,Premise,"(81173, 81206)","If Iran acquires nuclear weapons, all the other countries will acquire them, too",Claim,"(81091, 81171)",Support
"that went out and made all these risky loans, gave them to people that could never afford to pay back",Claim,"(10404, 10505)","they're the ones that, with the encouragement of Senator Obama and his cronies and his friends in Washington",Claim,"(10294, 10402)",Support
you're right,Claim,"(17006, 17018)",I understand your frustration and your cynicism,Claim,"(16667, 16714)",Support
"Only a few percent of small businesses make more than $250,000 a year",Premise,"(36421, 36490)",the vast majority of small businesses would get a tax cut under my plan,Claim,"(36495, 36566)",Support
it creates hundreds of thousands of jobs,Claim,"(41351, 41391)",Nuclear power,Claim,"(41151, 41164)",Support
We're going to do it by making sure that we use information technology so that medical records are actually on computers instead of you filling forms out in triplicate when you go to the hospital,Claim,"(47872, 48067)","We're going to work with your employer to lower the cost of your premiums by up to $2,500 a year",Claim,"(47721, 47817)",Support
in preventing the spread of terrorism,Claim,"(57532, 57569)",we've done,Claim,"(57645, 57655)",Support
we have a difficult situation in Pakistan,Claim,"(64995, 65036)",I think it's so important for us to reverse course,Claim,"(65572, 65622)",Support
"long ago, I warned about Vladimir Putin",Premise,"(75198, 75237)","have no doubt that Russia's behavior is certainly outside the norms of behavior that we would expect for nations which are very wealthy, as Russia has become",Claim,"(75002, 75159)",Support
We've got to make sure that works properly,Premise,"(2995, 3037)","that means strong oversight, making sure that investors, taxpayers are getting their money back and treated as investors",Claim,"(3043, 3163)",Support
