source_unique_id,target_unique_id,source_id,target_id,source_text,target_text,relation_class,year
1960_4d8c3b8c101ec85b533e039d1804f527,1960_eb85d4fa0aedc5ba476f18d923bdcba1,T205,T202,"I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan",That's absurd,Support,1960
1960_4d8c3b8c101ec85b533e039d1804f527,1960_5be5df7a647c3021f5eb73f8b7fe1f6f,T205,T200,"I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan",I don't suggest that,Equivalent,1960
1960_eb85d4fa0aedc5ba476f18d923bdcba1,1960_5be5df7a647c3021f5eb73f8b7fe1f6f,T202,T200,That's absurd,I don't suggest that,Support,1960
1960_eb85d4fa0aedc5ba476f18d923bdcba1,1960_c2396fc2eb5c99ad10ed434b08038709,T202,T201,That's absurd,I don't support it,Support,1960
1960_a70fdbd9c3b56c7b109254ad7918aad6,1960_0f051d120f420208691fad9b28a3dab2,T1,T198,"Mr. Nixon knows very well that in this - in this whole matter that's been involved with the so-called religious discussion in this campaign, I've never suggested, even by the vaguest implication, that he did anything but disapprove it",I disapprove of the issue,Support,1960
1960_87a2d7eabf42c3753f845f39d71703c8,1960_0f051d120f420208691fad9b28a3dab2,T2,T198,that's my view now,I disapprove of the issue,Equivalent,1960
1960_821a264d01f2602a3265bf69f0c924c3,1960_0f051d120f420208691fad9b28a3dab2,T3,T198,I welcome this opportunity to join Senator Kennedy completely on that statement,I disapprove of the issue,Support,1960
1960_d58cca86a76519eed8b720c9bd957531,1960_72384ddca63a675e86f17c0e8caab195,T208,T207,We can't settle for anything but the best,I pointed out that it was my position that Americans must choose the best man that either party could produce,Support,1960
1960_9e3bbd30e27cc9eef485f0de438b6e5e,1960_d58cca86a76519eed8b720c9bd957531,T209,T208,the best man that this nation can produce,We can't settle for anything but the best,Support,1960
1960_ebf039014d94b75637d630c108cc8fcb,1960_72384ddca63a675e86f17c0e8caab195,T212,T207,It must be a test of a man,I pointed out that it was my position that Americans must choose the best man that either party could produce,Support,1960
