subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I was in Pennsylvania with someone who had just graduated,Premise,"(2192, 2249)","she said, ""I've got my degree. I can't find a job. I've got three part- time jobs. They're just barely enough to pay for my food and pay for an apartment. I can't begin to pay back my student loans",Premise,"(2285, 2482)",Support
The place where we've seen manufacturing go has been China,Premise,"(87539, 87597)",China is now the largest manufacturer in the world,Claim,"(87599, 87649)",Support
I want 100 percent of the American people to have a bright and prosperous future,Premise,"(96406, 96486)",I care about 100 percent of the American people,Claim,"(96357, 96404)",Support
I want to move you on to something that's sort of connected to cars here,Premise,"(10521, 10593)",you certainly will have lots of time here coming up,Claim,"(10460, 10511)",Support
I want to bring the rates down,Claim,"(24378, 24408)",you're absolutely right about part of that,Claim,"(24325, 24367)",Support
She didn't complain,Premise,"(37512, 37531)",That's not what you did in that generation,Claim,"(37533, 37575)",Support
I'm disappointed with the lack of progress I've seen in the last four years,Premise,"(44711, 44786)",I am an undecided voter,Claim,"(44678, 44701)",Support
There's no doubt about it,Premise,"(51185, 51210)",we've gone through a tough four years,Claim,"(51146, 51183)",Support
My dad was born in Mexico of American parents,Premise,"(58717, 58762)",this is a nation of immigrants,Premise,"(58629, 58659)",Support
they serve all around the world and do an incredible job in a very dangerous situation,Premise,"(69719, 69805)",first of all talk about our diplomats,Premise,"(69672, 69709)",Support
"during the Democratic National Convention in 2008, you stated you wanted to keep AK-47s out of the hands of criminals",Premise,"(78048, 78165)",What has your administration done or planned to do to limit the availability of assault weapons,Claim,"(78167, 78262)",Support
"she said, ""I've got my degree. I can't find a job. I've got three part- time jobs. They're just barely enough to pay for my food and pay for an apartment. I can't begin to pay back my student loans",Premise,"(2285, 2482)",We have to make sure that we make it easier for kids to afford college,Claim,"(2522, 2592)",Support
It used to be the United States of America,Premise,"(87651, 87693)",A lot of good people have lost jobs,Claim,"(87695, 87730)",Support
I care about our kids,Claim,"(96488, 96509)",I care about 100 percent of the American people,Claim,"(96357, 96404)",Support
we want to get a question from Phillip Tricolla,Premise,"(10619, 10666)",you certainly will have lots of time here coming up,Claim,"(10460, 10511)",Support
I want to simplify the tax code,Claim,"(24410, 24441)",you're absolutely right about part of that,Claim,"(24325, 24367)",Support
"it's named after this amazing woman who had been doing the same job as a man for years, found out that she was getting paid less",Claim,"(37706, 37834)",the first bill I signed was something called the Lily Ledbetter bill,Claim,"(37632, 37700)",Support
I do attribute much of America's economic and international problems to the failings and missteps of the Bush administration,Claim,"(44797, 44921)",I am an undecided voter,Claim,"(44678, 44701)",Support
I told the American people and I told you I would cut taxes for middle class families,Premise,"(51232, 51317)",I did,Claim,"(51323, 51328)",Support
Ann's dad was born in Wales and is a first-generation American,Premise,"(58764, 58826)",this is a nation of immigrants,Premise,"(58629, 58659)",Support
these aren't just representatives of the United States,Premise,"(69811, 69865)",they are my representatives,Claim,"(69867, 69894)",Support
We're a nation that believes in the Second Amendment,Premise,"(78271, 78323)",I believe in the Second Amendment,Claim,"(78329, 78362)",Support
"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship",Premise,"(2763, 2865)",We have to make sure that we make it easier for kids to afford college,Claim,"(2522, 2592)",Support
people think it's more attractive in some cases to go offshore than to stay here,Claim,"(87882, 87962)",A lot of good people have lost jobs,Claim,"(87695, 87730)",Support
I understand what it takes to make a bright and prosperous future for America again,Premise,"(96511, 96594)","I'm a guy who wants to help with the experience I have, the American people",Claim,"(96654, 96729)",Support
We have increased oil production to the highest levels in 16 years,Claim,"(11036, 11102)",here's what I've done since I've been president,Claim,"(10987, 11034)",Support
middle-income taxpayers have been buried over the past four years,Premise,"(24584, 24649)",I want middle-income taxpayers to have lower taxes,Claim,"(24522, 24572)",Support
"she should have found about it earlier, whereas she had no way of finding out about it",Premise,"(37900, 37986)",the Supreme Court said that she couldn't bring suit,Claim,"(37840, 37891)",Support
both you and President Bush are Republicans,Premise,"(44929, 44972)",I fear a return to the policies of those years should you win this election,Claim,"(44974, 45049)",Support
I told you I'd cut taxes for small businesses,Premise,"(51330, 51375)",I have,Claim,"(24161, 24167)",Support
I want it to be streamlined,Claim,"(58915, 58942)",I want our legal system to work better,Claim,"(58875, 58913)",Support
"I send them there, oftentimes into harm's way",Premise,"(69896, 69941)",nobody is more concerned about their safety and security than I am,Claim,"(69992, 70058)",Support
We've got a long tradition of hunting and sportsmen and people who want to make sure they can protect themselves,Premise,"(78364, 78476)",I believe in the Second Amendment,Claim,"(78329, 78362)",Support
I want to make sure we keep our Pell grant program growing,Premise,"(2966, 3024)",We have to make sure that we make it easier for kids to afford college,Claim,"(2522, 2592)",Support
We have made it less attractive for enterprises to stay here than to go offshore from time to time,Premise,"(87964, 88062)",people think it's more attractive in some cases to go offshore than to stay here,Claim,"(87882, 87962)",Support
my passion probably flows from the fact that I believe in God,Premise,"(96737, 96798)","I'm a guy who wants to help with the experience I have, the American people",Claim,"(96654, 96729)",Support
Natural gas production is the highest it's been in decades,Claim,"(11104, 11162)",here's what I've done since I've been president,Claim,"(10987, 11034)",Support
"You've seen, as middle-income people in this country, incomes go down $4,300 a family, even as gasoline prices have gone up $2,000",Premise,"(24651, 24781)",middle-income taxpayers have been buried over the past four years,Premise,"(24584, 24649)",Support
women are increasingly the breadwinners in the family,Premise,"(38074, 38127)",that's an example of the kind of advocacy that we need,Claim,"(38010, 38064)",Support
I fear a return to the policies of those years should you win this election,Claim,"(44974, 45049)",I am an undecided voter,Claim,"(44678, 44701)",Support
I said that I'd end the war in Iraq,Premise,"(51389, 51424)",I did,Claim,"(51323, 51328)",Support
I want it to be clearer,Claim,"(58944, 58967)",I want our legal system to work better,Claim,"(58875, 58913)",Support
I know these folks and I know their families,Premise,"(69943, 69987)",nobody is more concerned about their safety and security than I am,Claim,"(69992, 70058)",Support
"a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater",Premise,"(78656, 78803)","there have been too many instances during the course of my presidency, where I've had to comfort families who have lost somebody",Premise,"(78482, 78610)",Support
We have to make sure that we make it easier for kids to afford college,Claim,"(2522, 2592)","We're also going to have our loan program, so that people are able to afford school",Claim,"(3026, 3109)",Support
What I will do as president is make sure it's more attractive to come to America again,Claim,"(88064, 88150)",This is the way we're going to create jobs in this country,Claim,"(88152, 88210)",Support
"I spent my life in the private sector, not in government",Premise,"(96596, 96652)","I'm a guy who wants to help with the experience I have, the American people",Claim,"(96654, 96729)",Support
The most important thing we can do is to make sure we control our own energy,Claim,"(10906, 10982)",here's what I've done since I've been president,Claim,"(10987, 11034)",Support
"Health insurance premiums, up $2,500",Premise,"(24783, 24819)",middle-income taxpayers have been buried over the past four years,Premise,"(24584, 24649)",Support
This is not just a women's issue,Premise,"(38129, 38161)",this is a family issue,Claim,"(38163, 38185)",Support
Every woman in America should have access to contraceptives,Claim,"(46021, 46080)",I don't believe employers should tell someone whether they could have contraceptive care of not,Claim,"(45924, 46019)",Support
I said we'd refocus attention on those who actually attacked us on 9/11,Premise,"(51437, 51508)",we have gone after Al Qaeda's leadership like never before,Claim,"(51514, 51572)",Support
I don't think you have to -- shouldn't have to hire a lawyer to figure out how to get into this country legally,Claim,"(58969, 59080)",I want our legal system to work better,Claim,"(58875, 58913)",Support
they are my representatives,Claim,"(69867, 69894)",nobody is more concerned about their safety and security than I am,Claim,"(69992, 70058)",Support
there were a lot of families who didn't have that good fortune and whose sons or daughters or husbands didn't survive,Claim,"(79018, 79135)",we have to enforce the laws we've already got,Claim,"(79164, 79209)",Support
I want you to be able to get a job,Premise,"(3289, 3323)","also make sure that when they get out of college, there's a job",Claim,"(2606, 2669)",Support
A lot of good people have lost jobs,Claim,"(87695, 87730)",What I will do as president is make sure it's more attractive to come to America again,Claim,"(88064, 88150)",Support
I care about 100 percent of the American people,Claim,"(96357, 96404)",I think the president's campaign has tried to characterize me as -- as someone who's very different than who I am,Claim,"(96242, 96355)",Support
We have seen increases in coal production and coal employment,Claim,"(11164, 11225)",here's what I've done since I've been president,Claim,"(10987, 11034)",Support
Food prices up,Premise,"(24821, 24835)",middle-income taxpayers have been buried over the past four years,Premise,"(24584, 24649)",Support
this is a family issue,Claim,"(38163, 38185)",we've got to fight for it,Claim,"(38232, 38257)",Support
I don't believe employers should tell someone whether they could have contraceptive care of not,Claim,"(45924, 46019)",the president's statement of my policy is completely and totally wrong,Claim,"(46104, 46174)",Support
we have gone after Al Qaeda's leadership like never before,Claim,"(51514, 51572)",Osama bin Laden is dead,Claim,"(51577, 51600)",Support
"I also think that we should give visas to people -- green cards, rather, to people who graduate with skills that we need",Claim,"(59082, 59202)",I want our legal system to work better,Claim,"(58875, 58913)",Support
not just in Libya,Premise,"(70269, 70286)",every embassy and consulate in the region,Claim,"(70295, 70336)",Support
"there have been too many instances during the course of my presidency, where I've had to comfort families who have lost somebody",Premise,"(78482, 78610)",we have to enforce the laws we've already got,Claim,"(79164, 79209)",Support
"what's happened over the last four years has been very, very hard for America's young people",Premise,"(3195, 3287)",We have to make sure that we make it easier for kids to afford college,Claim,"(2522, 2592)",Support
"It's not by trickle-down government, saying we're going to take more money from people and hire more government workers, raise more taxes, put in place more regulations",Premise,"(88212, 88380)","Trickle-down government has never worked here, has never worked anywhere",Premise,"(88382, 88454)",Support
"I'm a guy who wants to help with the experience I have, the American people",Claim,"(96654, 96729)",I think the president's campaign has tried to characterize me as -- as someone who's very different than who I am,Claim,"(96242, 96355)",Support
we can't just produce traditional source of energy,Premise,"(11254, 11304)",We've also got to look to the future,Premise,"(11306, 11342)",Support
Utility prices up,Premise,"(24837, 24854)",middle-income taxpayers have been buried over the past four years,Premise,"(24584, 24649)",Support
this is a middle-class issue,Claim,"(38187, 38215)",we've got to fight for it,Claim,"(38232, 38257)",Support
I don't believe that bureaucrats in Washington should tell someone whether they can use contraceptives or not,Claim,"(45809, 45918)",the president's statement of my policy is completely and totally wrong,Claim,"(46104, 46174)",Support
"if you don't have health insurance, that you'd have a chance to get affordable insurance",Premise,"(51726, 51814)",I said that we would put in place health care reform to make sure that insurance companies can't jerk you around,Premise,"(51609, 51721)",Support
"People around the world with accredited degrees in science and math get a green card stapled to their diploma, come to the U.S. of A",Premise,"(59204, 59336)","I also think that we should give visas to people -- green cards, rather, to people who graduate with skills that we need",Claim,"(59082, 59202)",Support
every embassy and consulate in the region,Claim,"(70295, 70336)",beef up our security and procedures,Claim,"(70232, 70267)",Support
make sure that we're keeping guns out of the hands of criminals,Claim,"(79211, 79274)",we have to enforce the laws we've already got,Claim,"(79164, 79209)",Support
"also make sure that when they get out of college, there's a job",Claim,"(2606, 2669)",I know what it takes to get this economy going,Claim,"(3325, 3371)",Support
"I want to make America the most attractive place in the world for entrepreneurs, for small business, for big business, to invest and grow in America",Claim,"(88456, 88604)",What I will do as president is make sure it's more attractive to come to America again,Claim,"(88064, 88150)",Support
I believe we're all children of the same God,Claim,"(96804, 96848)",I think the president's campaign has tried to characterize me as -- as someone who's very different than who I am,Claim,"(96242, 96355)",Support
We've also got to look to the future,Premise,"(11306, 11342)",we doubled fuel efficiency standards on cars,Claim,"(11355, 11399)",Support
The middle-income families in America have been crushed over the last four years,Claim,"(24856, 24936)",I want middle-income taxpayers to have lower taxes,Claim,"(24522, 24572)",Support
she worked hard every day and made a lot of sacrifices to make sure we got everything we needed,Premise,"(37095, 37190)",I was raised by a single mom who had to put herself through school while looking after two kids,Premise,"(36994, 37089)",Support
my five point plan is so different than what he would have done,Claim,"(46347, 46410)",President Bush and I are -- are different people,Claim,"(46253, 46301)",Support
I said that we would put in place health care reform to make sure that insurance companies can't jerk you around,Premise,"(51609, 51721)",I have,Claim,"(24161, 24167)",Support
There are 4 million people who are waiting in line to get here legally,Premise,"(59443, 59513)",we're going to have to stop illegal immigration,Claim,"(59394, 59441)",Support
"as soon as we found out that the Benghazi consulate was being overrun, I was on the phone with my national security team",Premise,"(70063, 70183)",I gave them three instructions,Claim,"(70188, 70218)",Support
those who are mentally ill,Premise,"(79276, 79302)",make sure that we're keeping guns out of the hands of criminals,Claim,"(79211, 79274)",Support
We have to make sure that we make it easier for kids to afford college,Claim,"(2522, 2592)",I know what it takes to get this economy going,Claim,"(3325, 3371)",Support
China hasn't,Premise,"(88713, 88725)",they don't play by the rules is artificially holding down the value of their currency,Claim,"(88768, 88853)",Support
I believe we have a responsibility to care for one another,Claim,"(96850, 96908)",I think the president's campaign has tried to characterize me as -- as someone who's very different than who I am,Claim,"(96242, 96355)",Support
we doubled fuel efficiency standards on cars,Claim,"(11355, 11399)",here's what I've done since I've been president,Claim,"(10987, 11034)",Support
I want to get some relief to middle-income families,Claim,"(24941, 24992)",I want middle-income taxpayers to have lower taxes,Claim,"(24522, 24572)",Support
She never got a college education,Premise,"(37250, 37283)","My grandmother, she started off as a secretary in a bank",Premise,"(37192, 37248)",Support
"we can now, by virtue of new technology actually get all the energy we need in North America without having to go to the -- the Arabs or the Venezuelans or anyone else",Premise,"(46433, 46600)",my five point plan is so different than what he would have done,Claim,"(46347, 46410)",Support
I committed that I would rein in the excesses of Wall Street,Premise,"(51828, 51888)",we passed the toughest Wall Street reforms since the 1930s,Claim,"(51894, 51952)",Support
Those who've come here illegally take their place,Premise,"(59515, 59564)",There are 4 million people who are waiting in line to get here legally,Premise,"(59443, 59513)",Support
beef up our security and procedures,Claim,"(70232, 70267)",I gave them three instructions,Claim,"(70188, 70218)",Support
I also share your belief that weapons that were designed for soldiers in war theaters don't belong on our streets,Premise,"(79423, 79536)",we've got more to do when it comes to enforcement,Claim,"(79368, 79417)",Support
without a college level job,Premise,"(3471, 3498)",that's just unacceptable,Claim,"(3500, 3524)",Support
"if they put their currency down low, that means their prices on their goods are low",Premise,"(88863, 88946)",they don't play by the rules is artificially holding down the value of their currency,Claim,"(88768, 88853)",Support
I served as a missionary for my church,Premise,"(96915, 96953)",I believe we're all children of the same God,Claim,"(96804, 96848)",Support
"in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas",Premise,"(11417, 11528)",we doubled fuel efficiency standards on cars,Claim,"(11355, 11399)",Support
I am not going to have people at the high end pay less than they're paying now,Premise,"(25233, 25311)","I'm going to limit deductions and exemptions and credits, particularly for people at the high end",Claim,"(25126, 25223)",Support
We've expanded Pell Grants for millions of people,Premise,"(38563, 38612)",that's exactly what we've done,Claim,"(38531, 38561)",Support
I'll crack down on China,Claim,"(46772, 46796)",my five point plan is so different than what he would have done,Claim,"(46347, 46410)",Support
gone from 800 jobs a month being lost,Premise,"(51991, 52028)",We've created five million jobs,Claim,"(51954, 51985)",Support
we're going to have to stop illegal immigration,Claim,"(59394, 59441)",I will not grant amnesty to those who have come here illegally,Claim,"(59569, 59631)",Support
"investigate exactly what happened, regardless of where the facts lead us, to make sure folks are held accountable and it doesn't happen again",Claim,"(70350, 70491)",I gave them three instructions,Claim,"(70188, 70218)",Support
Part of it is seeing if we can get an assault weapons ban reintroduced,Claim,"(79647, 79717)",I'm trying to do is to get a broader conversation about how do we reduce the violence generally,Claim,"(79550, 79645)",Support
you've got more and more debt on your back,Claim,"(3539, 3581)",I'm going to change that,Claim,"(3611, 3635)",Support
that makes them advantageous in the marketplace,Claim,"(88952, 88999)",they don't play by the rules is artificially holding down the value of their currency,Claim,"(88768, 88853)",Support
served as a pastor in my congregation for about 10 years,Premise,"(96957, 97013)",I believe we're all children of the same God,Claim,"(96804, 96848)",Support
we doubled clean -- clean energy production like wind and solar and biofuels,Premise,"(11541, 11617)",We've also got to look to the future,Premise,"(11306, 11342)",Support
The top 5 percent of taxpayers will continue to pay 60 percent of the income tax the nation collects,Claim,"(25313, 25413)","I'm going to limit deductions and exemptions and credits, particularly for people at the high end",Claim,"(25126, 25223)",Support
Governor Romney talked about he wants to make Pell Grants and other education accessible for young people,Premise,"(38382, 38487)",that's exactly what we've done,Claim,"(38531, 38561)",Support
President Bush didn't,Premise,"(46798, 46819)",I'll crack down on China,Claim,"(46772, 46796)",Support
does that mean you're not struggling,Premise,"(52124, 52160)",Absolutely not,Claim,"(52162, 52176)",Support
I will not grant amnesty to those who have come here illegally,Claim,"(59569, 59631)",I'll put in place an employment verification system and make sure that employers that hire people who have come here illegally are sanctioned for doing so,Claim,"(59651, 59805)",Support
"when folks mess with Americans, we go after them",Premise,"(70653, 70701)",we're going to hunt them down,Claim,"(70553, 70582)",Support
part of it is also looking at other sources of the violence,Claim,"(79723, 79782)",I'm trying to do is to get a broader conversation about how do we reduce the violence generally,Claim,"(79550, 79645)",Support
