source_unique_id,target_unique_id,source_id,target_id,relation_class,year
2020_3eafb8d526953fe697504537f0833f07,2020_b7e4700ba39e2fc61f8f35e749025ae7,T1,T0,Support,2020
2020_34f894db6b775559a1eceec2bd644f0e,2020_6b9b9c3554143d3f26289d0321dee0e4,T2,T3,Equivalent,2020
2020_20ba2493431987f68a4b98aca7b77784,2020_9c414a5f1300574e36d4d1e7037940e6,T5,T4,Support,2020
2020_e5afa567bf53afbb9c3d2ca4d71b7cdd,2020_ca60ab8a01df1a7d40863c274f64204d,T7,T6,Equivalent,2020
2020_a66db14ed9f87afbb0216ca2fb6dea34,2020_d5ddc6123ec23cc38d92d639d250c6cd,T8,T9,Support,2020
2020_f73fbc6a828f39f71dae83990c834deb,2020_b49e7eb5670f37aaf83c87cc9addcfb5,T10,T11,Equivalent,2020
2020_97fc11500295654a0c1b02c6f826f43a,2020_8c1a2ee6790e964f5ee6a9019845bc54,T12,T13,Attack,2020
2020_254dffbbabca9fb90df1677c83e49bc4,2020_977f29b9d0d06300b0bee02a8a01c702,T14,T15,Equivalent,2020
2020_8e4bba4a2d02743d7c72ae09314c3961,2020_247ca4216b91f1cf991d8033d20f2089,T16,T17,Support,2020
2020_7492436fedd1c7c80293dad3cf5e463d,2020_046592b03fd3fe45a96bd12113129ee2,T18,T19,Support,2020
2020_7492436fedd1c7c80293dad3cf5e463d,2020_3c6821414af8bf7b57921cc256253b2d,T18,T20,Support,2020
2020_7492436fedd1c7c80293dad3cf5e463d,2020_3d4489a9dc716720009f3a9e472c5c33,T18,T21,Support,2020
2020_7bd1c433941633bae2d70a6d43dfa6d7,2020_99bbd0a5d4bec26fd60677017ad56318,T22,T23,Support,2020
2020_7bd1c433941633bae2d70a6d43dfa6d7,2020_2eccb2e65911b846c2e7bed980512e7c,T22,T24,Support,2020
2020_7bd1c433941633bae2d70a6d43dfa6d7,2020_b533caab802ca16907fbb56c65098744,T22,T25,Support,2020
2020_95a0dd41724a20e5deeb6252859b63d2,2020_e37b627dfb758bf1d7df5e4517ab0a7b,T26,T30,Equivalent,2020
2020_6b36ea2d4b114fab8fd077cceeeb47a4,2020_3f694cc060a04189efd7d8c527c85df3,T29,T27,Support,2020
2020_6b36ea2d4b114fab8fd077cceeeb47a4,2020_6c5161de29a384430832dc1e18963d61,T29,T28,Support,2020
2020_52ae60206c379d88e7616682c4886ecc,2020_0d7b2dd4d76858bfa13260a3e8181f89,T31,T32,Support,2020
2020_6895fba4dc721d2911c3e5c42a6f21bf,2020_8d09e82a690e1adc793a630a2261ee77,T33,T34,Support,2020
2020_250d9e6dc07a5c55cc78ba23ad6ede9c,2020_1ac8005ed91fbb867a939f76fc639e05,T35,T36,Support,2020
2020_250d9e6dc07a5c55cc78ba23ad6ede9c,2020_460067d38a0f28469fbd2abed5525081,T35,T37,Support,2020
2020_250d9e6dc07a5c55cc78ba23ad6ede9c,2020_47e920078413ffb24abbcedc2b4acb25,T35,T38,Support,2020
2020_248b99be869a02add121083ee635de7b,2020_affeb05c9f3fbd7fa3b02e227c6732a6,T39,T40,Equivalent,2020
2020_f84730a05b9e7b49aff46ee994fa1557,2020_d8c15d28c191ea19c227017fb5fa8eb6,T41,T42,Support,2020
2020_de1a44e6413b4691609f3d02b9b084c4,2020_383d2ce53377e74f4fe38532d1415740,T43,T44,Support,2020
2020_d824d995a857d63e1284c7934f2902fe,2020_219564ce28d01a332a797b9c55116398,T45,T46,Equivalent,2020
2020_d63dd2c2afc0d8335497526d003a99ef,2020_56d90d38d12381f3540ae2594a52c052,T47,T48,Equivalent,2020
2020_d63dd2c2afc0d8335497526d003a99ef,2020_aeb3de7093ce43f7fbf767a9b1858708,T47,T49,Equivalent,2020
2020_1fb730b0b5622646d53a91e54f54596d,2020_1fb730b0b5622646d53a91e54f54596d,T50,T50,Equivalent,2020
2020_488fd4669baf7fec89d6965de2b4ea16,2020_a1f1a1b5a256ba2a49452596665497b7,T52,T53,Attack,2020
2020_7339f48ad3ef6eb3f6148d26a219224f,2020_91e50fe2fd05d3d1c3bccd03982e2c16,T54,T55,Equivalent,2020
2020_6bfde3753f9d683f816b138c90fcc5a7,2020_adb2e43958560a31fc7ac603cec38e8e,T57,T58,Support,2020
2020_72c53b384da94d20031f86c34e913772,2020_d7a130d23cc77b53758d029ac45ab6dd,T59,T60,Support,2020
2020_72c53b384da94d20031f86c34e913772,2020_e0f5923f2959663f0af4e73eb688dc17,T59,T61,Equivalent,2020
2020_e2fe3ff0ace5e22f0d439490b5121708,2020_517bd149e588288e0177d6a12a600383,T64,T65,Equivalent,2020
2020_87b12344c8b3e40555f39e1f2abefad5,2020_fbd4430348acb4728142fbbb8d9cb783,T66,T67,Support,2020
