subj,subj_type,subj_span,obj,obj_type,obj_span,relation
"I think this Republican administration has been almost all style, and spectacular, and not substance",Claim,"(2530, 2630)",the Ford administration has failed,Claim,"(2796, 2830)",Support
the initiatives that we took in southern Africa are the best examples of what this administration is doing and will continue to do in the next four years,Premise,"(53207, 53360)",I believe that uh - our foreign policy must express the highest standards of morality,Claim,"(53116, 53201)",Support
I would never give up complete control or practical control of the Panama Canal Zone,Claim,"(60534, 60618)",I would continue to negotiate with the Panamanians,Claim,"(60624, 60674)",Support
"On July twelfth of this year, we gave full permission for the release of that report",Premise,"(62734, 62818)",The White House did not uh - prevent the release of that report,Claim,"(62669, 62732)",Support
I believe that the boycott of American businesses by the Arab countries because those businesses trade with Israel,Claim,"(66302, 66416)",is an absolute disgrace.,Claim,"(66495, 66519)",Support
"If they do give us a bona fide, complete uh - accounting of the eight hundred MIA's, then I believe that the United States should begin negotiations for the uh - admission of Vietnam to the United Nations",Claim,"(69510, 69714)",I will never uh - go along with the admission of Vietnam to the United Nations,Claim,"(69430, 69508)",Support
Leadership,Premise,"(71292, 71302)",The purpose of this debate and the outcome of the election will determine three basic things,Claim,"(71198, 71290)",Support
where a year ago it looked like there was a very great possibility that the uh - Communists would take over in Portugal. It didn't happen,Premise,"(7947, 8084)",We have been successful in Portugal,Premise,"(7910, 7945)",Support
"I am a graduate of the U.S. Naval Academy, the first military graduate since uh - Eisenhower.",Premise,"(12608, 12701)",I have uh - an adequate background,Claim,"(12561, 12595)",Support
"Shortly after I became president in uh - December of 1974, I met with uh - General Secretary Brezhnev in Vladivostok",Premise,"(19839, 19955)",we agreed to a mutual cap on the ballistic missile launchers at a ceiling of twenty-four hundred,Premise,"(19960, 20056)",Support
I wouldn't single out just food,Claim,"(26613, 26644)",I would never single out food as a trade embargo item,Claim,"(26077, 26130)",Equivalent
"Our relationship with the People's Republic of China is based upon the Shanghai Communique, of 1972",Claim,"(31934, 32033)","that communique, calls for the normalization of relations between the United States and the People's Republic",Claim,"(32039, 32148)",Support
always in the past we've had an ability to have a strong defense,Premise,"(35771, 35835)",also have - to have a strong uh - domestic economy,Premise,"(35840, 35890)",Support
we did agree on a twenty-four-hundred limitation on uh - uh - launchers of ballistic missiles,Premise,"(42401, 42494)",Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Claim,"(42208, 42375)",Support
I think we got to stay that way and continue to increase our capabilities to meet any potential threat,Claim,"(48316, 48418)",I think that militarily we are as strong as any nation on earth,Claim,"(48251, 48314)",Support
we're not respected anymore,Premise,"(2968, 2995)",the Ford administration has failed,Claim,"(2796, 2830)",Support
"If the United States had not moved when we did in southern Africa, there's no doubt there would have been an acceleration of bloodshed in that tragic part of the world",Premise,"(53362, 53529)",the initiatives that we took in southern Africa are the best examples of what this administration is doing and will continue to do in the next four years,Premise,"(53207, 53360)",Support
I would continue to negotiate with the Panamanians,Claim,"(60624, 60674)",I would be willing to go ahead with negotiations,Claim,"(60886, 60934)",Support
I think it interjected political partisan politics at the present time,Premise,"(62903, 62973)",I was very disappointed in the fact that the uh - GAO released that report,Claim,"(62820, 62894)",Support
because they have American Jews who are owners or directors in the company,Claim,"(66420, 66494)",is an absolute disgrace.,Claim,"(66495, 66519)",Support
"If they do give us a bona fide, complete uh - accounting of the eight hundred MIA's, then I believe that the United States should begin negotiations for the uh - admission of Vietnam to the United Nations",Claim,"(69510, 69714)",But not until they have given us the full accounting of our MIAs,Claim,"(69716, 69780)",Support
upholding the principles of our country,Premise,"(71304, 71343)",The purpose of this debate and the outcome of the election will determine three basic things,Claim,"(71198, 71290)",Support
We have a democracy in Portugal today,Premise,"(8086, 8123)",We have been successful in Portugal,Premise,"(7910, 7945)",Support
"I've served as the Governor of Georgia and have traveled extensively in foreign countries and South America, Central America, Europe, the Middle East and in Japan",Premise,"(12702, 12864)",I have uh - an adequate background,Claim,"(12561, 12595)",Support
we agreed to a mutual cap on the ballistic missile launchers at a ceiling of twenty-four hundred,Premise,"(19960, 20056)","if that becomes a permanent agreement, will have to make a reduction in their launchers that they now have or plan to have",Claim,"(20094, 20216)",Support
"If I ever decided to impose an embargo because of a crisis in international relationships, it would include all shipments of all equipment",Premise,"(26132, 26270)",I would never single out food as a trade embargo item,Claim,"(26077, 26130)",Support
It doesn't set a times schedule,Premise,"(32150, 32181)","Our relationship with the People's Republic of China is based upon the Shanghai Communique, of 1972",Claim,"(31934, 32033)",Support
also have - to have a strong uh - domestic economy,Premise,"(35840, 35890)",also to be strong in our reputation and influence within the community of nations,Premise,"(35896, 35977)",Support
that would mean a cutback in the Soviet program; it would not interfere with our own program,Premise,"(42501, 42593)",Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Claim,"(42208, 42375)",Support
as far as strength derived from commitment to principles,Premise,"(48424, 48480)",as far as strength derived from the unity within our country,Premise,"(48482, 48542)",Support
