subj,subj_type,subj_span,obj,obj_type,obj_span,relation
Four years ago I ran for president at a time of high unemployment and rising frustration,Premise,"(1270, 1358)","I wanted to turn this country around with a program of opportunity for all, responsibility from all, and an American community where everybody has a role to play",Premise,"(1360, 1521)",Support
I am profoundly grateful for the chance that you have given me to serve as president for the last four years,Premise,"(89790, 89898)",I never could have dreamed anything like this would come my way in life,Premise,"(89900, 89971)",Support
I looked at the slowest growth in the century,Premise,"(8356, 8401)","He inherited a growth of 4.7 4.8 percent, now it's down to about 2.4 percent",Premise,"(8403, 8479)",Support
"in this campaign season, since Senator Dole's been a candidate, he has bragged about the fact that he voted against Medicare in the beginning, in 1965, one of only 12 members",Premise,"(11818, 11992)","He said he did the right thing then, he knew it wouldn't work at the time",Premise,"(11994, 12067)",Support
the people need it,Claim,"(15434, 15452)",This is a family tax cut,Claim,"(15507, 15531)",Support
"I had a person in the Oval Office who lost a child in a school bus accident where a drunk driver caused the accident directly, but there were problems with the school bus",Premise,"(19467, 19637)",The drunk driver had no money,Premise,"(19639, 19668)",Support
I am,Claim,"(26897, 26901)",I think every American in any position of responsibility should be concerned about what's happened,Claim,"(26797, 26895)",Support
Look at where we are today,Premise,"(34546, 34572)",The United States is still the indispensable nation in the aftermath of the Cold War and on the brink of the 21st Century,Premise,"(34574, 34695)",Support
"we have maintained freedom and increasing prosperity by relentlessly pushing the barriers of knowledge, the barriers of the present, always moving into the future",Premise,"(56662, 56824)",That's why when I became President I was determined to kind of move beyond this whole stale debate that had gone on in Washington for too long to get this country moving again,Premise,"(56826, 57001)",Support
"I've told people as I've traveled around, all of you that got the tax cut he promised last time, vote for him in '96 and not many hands go up",Premise,"(75987, 76128)","the question is, would you buy a used election promise from my opponent.",Premise,"(76133, 76205)",Attack
"I wanted to turn this country around with a program of opportunity for all, responsibility from all, and an American community where everybody has a role to play",Premise,"(1360, 1521)",I wanted a government that was smaller and less bureaucratic to help people make the most of their own lives,Premise,"(1523, 1631)",Support
I never could have dreamed anything like this would come my way in life,Premise,"(89900, 89971)",I've done my best to be faithful to the charge you've given me,Claim,"(89977, 90039)",Support
"He inherited a growth of 4.7 4.8 percent, now it's down to about 2.4 percent",Premise,"(8403, 8479)",we have stagnation,Claim,"(8683, 8701)",Support
That's what he said.,Premise,"(12069, 12089)","He said he did the right thing then, he knew it wouldn't work at the time",Premise,"(11994, 12067)",Support
This is not a Wall Street tax cut,Claim,"(15472, 15505)",This is a family tax cut,Claim,"(15507, 15531)",Support
The drunk driver had no money,Premise,"(19639, 19668)","Under the new bill, if I had signed it, a person like that could never have had any recovery",Premise,"(19670, 19762)",Support
let's look at the overall record,Premise,"(26907, 26939)","Overall in America cocaine use has dropped 30 percent in the last four years, casual drug use down 13 percent",Premise,"(26941, 27050)",Support
The United States is still the indispensable nation in the aftermath of the Cold War and on the brink of the 21st Century,Premise,"(34574, 34695)","I have worked to support our country as the world's strongest force for peace and freedom, prosperity and security",Claim,"(34697, 34811)",Support
That's why when I became President I was determined to kind of move beyond this whole stale debate that had gone on in Washington for too long to get this country moving again,Premise,"(56826, 57001)","that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates",Premise,"(57007, 57182)",Support
The people want economic reform,Claim,"(76206, 76237)","the question is, would you buy a used election promise from my opponent.",Premise,"(76133, 76205)",Attack
I wanted a government that was smaller and less bureaucratic to help people make the most of their own lives,Premise,"(1523, 1631)",Four years ago you took me on faith,Premise,"(1633, 1668)",Support
I've done my best to be faithful to the charge you've given me,Claim,"(89977, 90039)",America is stronger and more prosperous and more secure than we were four years ago,Claim,"(90068, 90151)",Support
We're going to pass a million bankruptcies this year for the first time in history,Premise,"(8481, 8563)",we have stagnation,Claim,"(8683, 8701)",Support
"Then his budget that he passed along with Speaker Gingrich cut Medicare $270 billion, more than was necessary to repair the Medicare trust fund",Premise,"(12090, 12233)",It would have charged seniors more for out-of-pocket costs as well as more in premiums,Claim,"(12235, 12321)",Support
"This is a Main Street tax cut, 15 percent across -- let's take a family making $30,000 a year, that's $1261",Premise,"(15533, 15640)","maybe to some in this Bushnell Memorial that it's not a lot of money, but people watching tonight with a couple of kids, a working family, that's four or five months of day care, maybe a personal computer; it's may be three or four months of mortgage payments",Premise,"(15647, 15906)",Support
"Under the new bill, if I had signed it, a person like that could never have had any recovery",Premise,"(19670, 19762)",I thought that was wrong,Claim,"(19764, 19788)",Support
I regret it.,Claim,"(27178, 27190)",The tragedy is that our young people are still increasing their use of drugs up to about 11 percent total with marijuana,Premise,"(27052, 27172)",Attack
"I have worked to support our country as the world's strongest force for peace and freedom, prosperity and security",Claim,"(34697, 34811)",he's not right about that,Claim,"(34519, 34544)",Attack
"that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates",Premise,"(57007, 57182)",we're moving in the right direction,Claim,"(38263, 38298)",Support
They're having a hard time making ends meet,Premise,"(76239, 76282)",The people want economic reform,Claim,"(76206, 76237)",Support
Four years ago you took me on faith,Premise,"(1633, 1668)","Now there's a record: Ten and a half million more jobs, rising incomes, falling crime rates and welfare rolls, a strong America at peace",Premise,"(1670, 1806)",Support
America is stronger and more prosperous and more secure than we were four years ago,Claim,"(90068, 90151)",we're going in the right direction,Claim,"(90166, 90200)",Support
We've got stagnant wages,Premise,"(8565, 8589)",we have stagnation,Claim,"(8683, 8701)",Support
