subj,subj_type,subj_span,obj,obj_type,obj_span,relation
That has been reinforced by direct commitments of the president of the United States,Premise,"(2626, 2710)",we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,Premise,"(2518, 2624)",Support
"when we're in the kind of a race we're in, we have got to see that America grows just as fast as we can, provided we grow soundly",Claim,"(40866, 40995)",I am never satisfied with the economic growth of this country,Claim,"(40714, 40775)",Support
I believe all of those should be gone over in detail to make sure that no one is getting a tax break,Claim,"(46020, 46120)",to make sure that no one is getting away from paying the taxes he ought to pay,Claim,"(46122, 46200)",Support
we must continue to have a balanced budget here at home in every possible circumstance that we can,Claim,"(49607, 49705)",the first thing we have to do is to continue to keep confidence abroad in the American dollar,Claim,"(49496, 49589)",Support
"This has a great effect on the s- underdeveloped world, which faces problems of low income and high population density and inadequate resources",Premise,"(54934, 55077)",There have been several indications that our prestige is not as high as it once was,Claim,"(54253, 54336)",Support
the Chinese Communists say over and over again that their objective is not the offshore islands,Premise,"(5597, 5692)",they consider them only steppingstones to taking Formosa - in the event that their attack then were a prelude to an attack on Formosa,Premise,"(5699, 5832)",Support
"we should attempt in January, February, and March of next year to increase the airlift capacity of our conventional forces",Premise,"(10238, 10360)",I think we should st- strengthen our conventional forces,Claim,"(10176, 10232)",Support
the President has always indicated that we must not make the mistake in dealing with the dictator of indicating that we are going to make a concession at the point of a gun,Premise,"(15813, 15985)","Whenever you do that, inevitably the dictator is encouraged to try it again",Premise,"(15987, 16062)",Support
"I know Senator Kennedy sees them, too",Premise,"(21316, 21353)","I see mothers holding their babies up, so that they can see a man who might be president of the United States",Premise,"(21205, 21314)",Support
I think my position has been correct,Claim,"(23213, 23249)",I obviously don't think it's valid,Claim,"(23081, 23115)",Support
"I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan",Claim,"(28339, 28525)",That's absurd,Claim,"(28527, 28540)",Support
I do not believe we should have either compulsory arbitration or seizure,Claim,"(31716, 31788)","I have a basic disagreement with Senator Kennedy, though, on this point",Claim,"(31199, 31270)",Support
"I would hope, under a different monetary policy, that it would be possible to reduce that interest-rate burden, at least a billion dollars",Claim,"(36794, 36932)",I believe in a balanced budget and have supported that concept during my fourteen years in the Congress,Claim,"(35533, 35636)",Support
it's been reinforced by a number of other nations under NATO,Premise,"(2712, 2772)",we have a contractual right to be in Berlin coming out of the conversations at Potsdam and of World War II,Premise,"(2518, 2624)",Support
"even though we have maintained, as I pointed out in our first debate, the absolute gap over the Soviet Union",Premise,"(41005, 41113)",that isn't good enough,Claim,"(41224, 41246)",Attack
"there are about a hundred and four commodities that have some kind of depletion allowance - different kind of minerals, including oil",Premise,"(45885, 46018)",I believe all of those should be gone over in detail to make sure that no one is getting a tax break,Claim,"(46020, 46120)",Support
"the moment that we have loss of confidence in our own fiscal policies at home, it results in gold flowing out",Premise,"(49715, 49824)",we must continue to have a balanced budget here at home in every possible circumstance that we can,Claim,"(49607, 49705)",Support
"a majority in every country except Greece, felt that it would be the Soviet Union by l970",Premise,"(55239, 55328)","This has a great effect on the s- underdeveloped world, which faces problems of low income and high population density and inadequate resources",Premise,"(54934, 55077)",Support
