subj,subj_type,subj_span,obj,obj_type,obj_span,relation
One of the reasons I think we're an effective team is that I believe firmly in his leadership,Claim,"(2124, 2217)","I don't think there's a great difference, Mr. Mashek, between my views and President Reagan's.",Claim,"(2029, 2123)",Support
both Fritz Mondale and I agree on the same goal,Claim,"(11393, 11440)",that is nondiscrimination,Claim,"(11445, 11470)",Support
I do believe in pluralism.,Claim,"(20649, 20675)",I do believe in separation of church and state,Claim,"(20676, 20722)",Support
I already did that,Claim,"(29588, 29606)",I wanted them to move ahead,Claim,"(29608, 29635)",Support
I think everybody knows that,Claim,"(37836, 37864)","Terrorism is very, very difficult to slop",Claim,"(37789, 37830)",Support
"They're moving in militarily instead of promoting the Contadora process, which, as you know, is the process that is in place with the support of Mexico and Colombia and Panama and Venezuela",Premise,"(47340, 47529)",what is being done by this administration is an Americanizing of a regional conflict,Claim,"(47254, 47338)",Support
We are the ones that went to the table in INF,Claim,"(56370, 56415)",The Soviets have not been willing to talk,Premise,"(56327, 56368)",Attack
"It's about as valid as saying that you would have to be black in order to despise racism, that you'd have to be female in order to be terribly offended by sexism",Claim,"(67297, 67458)","I think what happens is when you try to equate whether or not I have had military experience, that's the natural conclusion",Claim,"(67172, 67295)",Attack
do we move forward with strength and with prosperity,Claim,"(74406, 74458)","do we go back to weakness, despair, disrespect",Claim,"(74462, 74508)",Attack
He's really turned this country around,Claim,"(2219, 2257)","I don't think there's a great difference, Mr. Mashek, between my views and President Reagan's.",Claim,"(2029, 2123)",Support
With reference to the busing vote that I cast in 1979,Premise,"(11338, 11391)",both Fritz Mondale and I agree on the same goal,Claim,"(11393, 11440)",Support
I don't consider abortion a religious issue.,Claim,"(20724, 20768)",I consider it a moral issue,Claim,"(20769, 20796)",Support
"I spent about an hour and 45 minutes speaking to 200 reporters on August 21, which is the day after I was required to file my financial statement",Premise,"(29652, 29797)",I sat for as long as they had questions on the issue,Premise,"(29803, 29855)",Support
"We had ambassadors killed in Sudan and the Lebanon some time ago, a long time ago",Premise,"(37866, 37947)","Terrorism is very, very difficult to slop",Claim,"(37789, 37830)",Support
"Instead of supporting the process, our administration has in Nicaragua been supporting covert activities to keep that revolution going in order to overthrow the Sandinista government",Premise,"(47531, 47713)",what is being done by this administration is an Americanizing of a regional conflict,Claim,"(47254, 47338)",Support
"We had a good proposal, a moral proposal",Claim,"(56417, 56457)",Ban an entire generation of intermediate nuclear force weapons,Claim,"(56459, 56521)",Support
"It's about as valid as saying that you would have to be black in order to despise racism, that you'd have to be female in order to be terribly offended by sexism",Claim,"(67297, 67458)",that's just not so,Claim,"(67464, 67482)",Support
Ronald Reagan and I have put our trust in the American people,Premise,"(74510, 74571)","We've moved some of the power away from Washington, D.C., and put it back with the people",Premise,"(74573, 74662)",Support
We agree on the economic program,Premise,"(2259, 2291)","I don't think there's a great difference, Mr. Mashek, between my views and President Reagan's.",Claim,"(2029, 2123)",Support
I just don't agree on the same direction he does on how to achieve it.,Claim,"(11472, 11542)",both Fritz Mondale and I agree on the same goal,Claim,"(11393, 11440)",Attack
I consider it a moral issue,Claim,"(20769, 20796)",I do believe in separation of church and state,Claim,"(20676, 20722)",Support
I sat for as long as they had questions on the issue,Premise,"(29803, 29855)",I believe that they were satisfied.,Claim,"(29861, 29896)",Support
"We had ambassadors killed in Sudan and the Lebanon some time ago, a long time ago",Premise,"(37866, 37947)","When you see the Israeli building in Lebanon after the death of our marines you see that, hit by terrorism, the Israelis, with all their experience fighting terrorism",Premise,"(37949, 38115)",Support
in El Salvador was not pushing the head of the government to move toward correction of the civil rights; human rights problems that existed there,Premise,"(47715, 47860)",what is being done by this administration is an Americanizing of a regional conflict,Claim,"(47254, 47338)",Support
Ban an entire generation of intermediate nuclear force weapons,Claim,"(56459, 56521)","if you won't do that, don't leave your allies in Europe in a monopoly position",Claim,"(56526, 56604)",Attack
"I think if you take a look at where I've been, both in the Congress and where I intend to go, the type of person I am",Claim,"(67484, 67601)",I think that the people of this country can rely upon the fact that I will be a lender,Claim,"(67604, 67690)",Support
"We've moved some of the power away from Washington, D.C., and put it back with the people",Premise,"(74573, 74662)",We're pulling together,Premise,"(74664, 74686)",Support
this president turned it around,Claim,"(2601, 2632)",I've been with him every step of the way,Claim,"(2637, 2677)",Support
I don't find any problem with that,Claim,"(11547, 11581)",I just don't agree on the same direction he does on how to achieve it.,Claim,"(11472, 11542)",Support
just as I never faulted Jesse Jackson from taking his message to the black pulpits all across this country,Premise,"(20884, 20990)",I believe the archbishop has every right to do everything he wants in that direction,Claim,"(20798, 20882)",Support
I believe that they were satisfied.,Claim,"(29861, 29896)",I wanted them to move ahead,Claim,"(29608, 29635)",Support
"When you see the Israeli building in Lebanon after the death of our marines you see that, hit by terrorism, the Israelis, with all their experience fighting terrorism",Premise,"(37949, 38115)",you know it's difficult,Claim,"(38117, 38140)",Support
"this administration seems almost befuddled by the fact that Nicaragua is moving to participate in the Contadora process, and El Salvador is, through its President Duarte, is reaching out to the guerrillas in order to negotiate a peace",Premise,"(47870, 48104)",what is being done by this administration is an Americanizing of a regional conflict,Claim,"(47254, 47338)",Support
"The Soviets with 1,200 of these things, and the alliance with none",Premise,"(56606, 56672)","if you won't do that, don't leave your allies in Europe in a monopoly position",Claim,"(56526, 56604)",Support
"if the Soviet Union were to ever believe that they could challenge the United States with any sort of nuclear forces or otherwise, if I were in a position of leadership in this country, they would be assured that they would be met with swift, concise and certain retaliation",Claim,"(68018, 68292)",I'm prepared to do whatever is necessary in order to secure this country and make sure that security is maintained,Claim,"(67892, 68006)",Support
We're pulling together,Premise,"(74664, 74686)",The neighborhoods are safer 'cause crime is going down,Premise,"(74688, 74742)",Support
this president turned it around,Claim,"(2601, 2632)",He's really turned this country around,Claim,"(2219, 2257)",Support
that is nondiscrimination,Claim,"(11445, 11470)",we both support nondiscrimination in housing and integration of neighborhoods,Claim,"(11730, 11807)",Support
I believe the archbishop has every right to do everything he wants in that direction,Claim,"(20798, 20882)",I do believe in pluralism.,Claim,"(20649, 20675)",Support
