source_unique_id,target_unique_id,source_id,target_id,relation_class,year
2012_8b56e6a5cbf52b93d0c4addf9d3720e3,2012_693ad19ccab99ea5c70076e43b18d38a,T634,T633,Support,2012
2012_2eb6fa116a8712db67d2370269b45e33,2012_693ad19ccab99ea5c70076e43b18d38a,T635,T633,Support,2012
2012_10b4a0326900370cf5c1f65d146db8bf,2012_2eb6fa116a8712db67d2370269b45e33,T637,T635,Support,2012
2012_5e643ba8316e836834175bbf2e11fd70,2012_10b4a0326900370cf5c1f65d146db8bf,T636,T637,Support,2012
2012_4b56e95bade08d241fde6b0c23a1ea30,2012_5e643ba8316e836834175bbf2e11fd70,T638,T636,Support,2012
2012_693ad19ccab99ea5c70076e43b18d38a,2012_295e6a7ceb89b2e09132a763129a6b92,T633,T639,Support,2012
2012_7a52e04d45f0212bd1dd5d8c43824e12,2012_295e6a7ceb89b2e09132a763129a6b92,T640,T639,Support,2012
2012_0c7f90193474f62723af711fdfce7bbf,2012_f443c10284f64f8a692dbae2d595639a,T642,T643,Support,2012
2012_d4a15c4553c9a8c06122ff99b60c7b16,2012_d8644c64237df68bcb5f78aa8c4b49a7,T645,T644,Support,2012
2012_1433085dc08f3514d7f9ee962639c43f,2012_d4a15c4553c9a8c06122ff99b60c7b16,T646,T645,Support,2012
2012_c5e62fee88d6f186d545e30ddd8283ff,2012_d8644c64237df68bcb5f78aa8c4b49a7,T647,T644,Support,2012
2012_d8644c64237df68bcb5f78aa8c4b49a7,2012_0c146e6a3a72ba1559a2ad3e4e9e26c6,T644,T648,Support,2012
2012_e10cca51ef7867dbbf7ae28733723867,2012_295e6a7ceb89b2e09132a763129a6b92,T641,T639,Attack,2012
2012_f443c10284f64f8a692dbae2d595639a,2012_e10cca51ef7867dbbf7ae28733723867,T643,T641,Support,2012
2012_0c146e6a3a72ba1559a2ad3e4e9e26c6,2012_bbf6ffdbd3812fca2b6dca2e5ab138af,T648,T649,Support,2012
2012_bbf6ffdbd3812fca2b6dca2e5ab138af,2012_81bfb4dc8a841d12461235df587dead9,T649,T650,Support,2012
2012_81bfb4dc8a841d12461235df587dead9,2012_0f1e5bfa6f6874e3bd5a638143eb1a6f,T650,T651,Support,2012
2012_0b595afb97f7ff9c419cf2eceb4440ba,2012_6bd79ae702c0e375de1f15383cb67e25,T660,T661,Support,2012
2012_6bd79ae702c0e375de1f15383cb67e25,2012_0e20c16a8753fdac6288e65a079e5392,T661,T662,Support,2012
2012_0e20c16a8753fdac6288e65a079e5392,2012_99f3704c46ba6e8052929c07d58c9cd7,T662,T659,Support,2012
2012_4bd90e8c98981f3400da59a85f8bfba7,2012_92e2651e16791fc1423bffd0dceba0bc,T654,T653,Support,2012
2012_99f3704c46ba6e8052929c07d58c9cd7,2012_ded23169822a0615d0a5a6550768d9f5,T659,T658,Attack,2012
2012_f117d0cc1738c0c97dfe36dcd0fe0482,2012_ded23169822a0615d0a5a6550768d9f5,T657,T658,Support,2012
2012_8a9d8b460138ec5e5a1f08ed1b8b5fef,2012_7b5337d67926703668a9815aa943f869,T656,T655,Support,2012
2012_7b5337d67926703668a9815aa943f869,2012_92e2651e16791fc1423bffd0dceba0bc,T655,T653,Support,2012
2012_92e2651e16791fc1423bffd0dceba0bc,2012_74632bb456394c010fd82cad9c509e32,T653,T652,Support,2012
2012_3309d85ca6f3577436ecbf7f7f6d9ac5,2012_74632bb456394c010fd82cad9c509e32,T664,T652,Support,2012
2012_74632bb456394c010fd82cad9c509e32,2012_c5dbc9981dcae81f9a10d7a286c538bb,T652,T663,Support,2012
2012_19478f90f9e0256dd0382755420ae7fc,2012_4bfe755b3fa209ac00a04692f22c2b13,T666,T667,Support,2012
2012_4bfe755b3fa209ac00a04692f22c2b13,2012_a729a139426d057119caf5f2cdf7ba60,T667,T668,Support,2012
2012_a729a139426d057119caf5f2cdf7ba60,2012_4ea328c30a95bc9449989ff5c507b524,T668,T665,Support,2012
2012_6b57e60c841969b162019830b3922a72,2012_e1df9f34e022591716182abed6ce0295,T670,T669,Support,2012
2012_e6c23851831a5f246cf69b238a1a8083,2012_e1df9f34e022591716182abed6ce0295,T671,T669,Attack,2012
2012_675e43c0a8ad23f9b28bcd76acc01ec0,2012_69bfd1b856fc8ac6cda4a9f61d951c87,T672,T673,Support,2012
2012_69bfd1b856fc8ac6cda4a9f61d951c87,2012_a9d179f936e752af91193118bdcfaf07,T673,T674,Attack,2012
2012_69bfd1b856fc8ac6cda4a9f61d951c87,2012_3b7c9d1875b34b13f625067e874b83a9,T673,T675,Support,2012
2012_0d2d9c6f1bc9d23cf219640a00c38f5a,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T677,T676,Support,2012
2012_d2083f2ebc531baf5f4741be1da0e055,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T678,T676,Support,2012
2012_5fe25eb0a86bf8775b57c999cab2502f,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T679,T676,Support,2012
2012_844e587eeec551af5a002fd3bb7b0b23,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T680,T676,Support,2012
2012_11e67b0f946192d78d41da71623b1c87,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T681,T676,Support,2012
2012_d5bfde80b2da12db9986935b25cd4380,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T682,T676,Support,2012
2012_329a839e8b8035c8c192e5cda4d5754e,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T698,T676,Support,2012
2012_7840b1bf6807b77f1adad15169240e99,2012_49e0546d7eacf1d7c936fa0560fe3f9f,T697,T676,Support,2012
