source_unique_id,target_unique_id,source_id,target_id,source_text,target_text,relation_class,year
1976_1046a590531323d3442328ff90af2ccd,1976_65f0f793b43cce761808e118ce4fbf93,T3,T2,we did agree on a twenty-four-hundred limitation on uh - uh - launchers of ballistic missiles,Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Support,1976
1976_35246f333dee851906b4eec414b0a060,1976_65f0f793b43cce761808e118ce4fbf93,T4,T2,that would mean a cutback in the Soviet program; it would not interfere with our own program,Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Support,1976
1976_55f20f397b181751a3e8506e2e5e80a5,1976_65f0f793b43cce761808e118ce4fbf93,T5,T2,we put a limitation of thirteen hundred and twenty on MIRVs,Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Support,1976
1976_4241ea353dbcd806ec33d8f1454b8a08,1976_65f0f793b43cce761808e118ce4fbf93,T6,T2,"Our technicians have been working since that time in Geneva, trying to put into technical language a - an agreement that can be verified by both parties",Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Support,1976
1976_65f0f793b43cce761808e118ce4fbf93,1976_9ec0621212ffb4b621dfb3c2c83498d1,T2,T10,Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,"I met just last week with the foreign minister of the Soviet Union, and he indicated to me that uh - the Soviet Union was interested in narrowing the differences and making a realistic and a sound compromise",Support,1976
1976_145930700aa21a5b4765c8363c0d754d,1976_65f0f793b43cce761808e118ce4fbf93,T9,T2,Those gray-area weapons systems are creating some problems in a - the agreement for a SALT II negotiation,Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Attack,1976
1976_e867ec0ed3ec2ec3c459e13badc6e674,1976_145930700aa21a5b4765c8363c0d754d,T7,T9,there has developed the problem of the Soviet Backfire - their high-performance aircraft which they say is not a long-range aircraft and which some of our people say is a intercontinental aircraft,Those gray-area weapons systems are creating some problems in a - the agreement for a SALT II negotiation,Support,1976
1976_12b8b992b1185939d1ca7214221a7e84,1976_145930700aa21a5b4765c8363c0d754d,T8,T9,"there has been the development on our part primarily, the cruise missiles; cruise missiles that could be launched from land-based mobile installations; cruise missiles that could be launched - launched from high-performance aircraft, like the B-52s or the B-1s, which I hope we proceed with; cruise missiles which could be launched from either surface or submarine uh - naval vessels",Those gray-area weapons systems are creating some problems in a - the agreement for a SALT II negotiation,Support,1976
1976_3cc70f1cf862d57e9366b137c08d700a,1976_bdfc9935a02fba9fcbde24bd8f22f8a2,T11,T12,"I hope and trust, in the best interest of both countries, and in the best interests of all people throughout this globe",the Soviet Union and the United States can make a mutually beneficial agreement,Support,1976
1976_9ec0621212ffb4b621dfb3c2c83498d1,1976_bdfc9935a02fba9fcbde24bd8f22f8a2,T10,T12,"I met just last week with the foreign minister of the Soviet Union, and he indicated to me that uh - the Soviet Union was interested in narrowing the differences and making a realistic and a sound compromise",the Soviet Union and the United States can make a mutually beneficial agreement,Support,1976
