subj,subj_type,subj_span,obj,obj_type,obj_span,relation
We're starting from a very high rate,Claim,"(4433, 4469)","Compared to what's going on in Europe, as the New England Medical Journal said, they're starting from a very low rate.",Premise,"(4314, 4432)",Support
"we're in a circumstance where the President, thus far, still has no plan.",Claim,"(4692, 4765)",No comprehensive plan.,Claim,"(4766, 4788)",Equivalent
this is a very easy distribution for him,Claim,"(6785, 6825)","we have our generals lined up, one in particular, that's the head of logistics.",Premise,"(6701, 6780)",Support
But it was a total disaster,Claim,"(8427, 8454)",it was a total disaster,Claim,"(8385, 8408)",Equivalent
he is xenophobic,Claim,"(9016, 9032)",not because he shut down access from China,Premise,"(9037, 9079)",Support
he had nothing.,Claim,"(9686, 9701)",He did virtually nothing.,Claim,"(9702, 9727)",Equivalent
I say we're learning to live with it.,Claim,"(10026, 10063)",People are learning to die with it.,Claim,"(11478, 11513)",Attack
t's China's fault.,Claim,"(12161, 12179)",It's China's fault.,Claim,"(12246, 12265)",Equivalent
"I think he called me racist, even",Claim,"(13271, 13304)",I was closing it to China.,Premise,"(13318, 13344)",Support
It's his ineptitude that caused the country to have to shut down in large part,Claim,"(14340, 14418)",why businesses have gone under,Premise,"(14422, 14452)",Support
It's his ineptitude that caused the country to have to shut down in large part,Claim,"(14340, 14418)",why schools are closed,Premise,"(14454, 14476)",Support
It's his ineptitude that caused the country to have to shut down in large part,Claim,"(14340, 14418)",why so many people have lost their living and why they're concerned.,Premise,"(14478, 14546)",Support
they need a lot of money to open.,Claim,"(15403, 15436)",They need to deal with ventilation systems,Premise,"(15437, 15479)",Support
they need a lot of money to open.,Claim,"(15403, 15436)",they need to deal with smaller classes,Premise,"(15481, 15519)",Support
they need a lot of money to open.,Claim,"(15403, 15436)","more teachers, more pods",Premise,"(15521, 15545)",Support
We have to open our country,Claim,"(16953, 16980)",We have to open our country.,Claim,"(17288, 17316)",Equivalent
It is a massive country with a massive economy,Claim,"(17071, 17117)",You can't do this,Premise,"(17017, 17034)",Support
It is a massive country with a massive economy,Claim,"(17071, 17117)",we can't keep this country closed,Premise,"(17036, 17069)",Support
Don't worry about it,Claim,"(18413, 18433)",Come on,Claim,"(18435, 18442)",Support
These are businesses with no money.,Claim,"(18705, 18740)",Putting up plexiglass is unbelievably expensive,Claim,"(18741, 18788)",Support
They're the red states.,Claim,"(19468, 19491)",hey are the states in the Midwest,Premise,"(19493, 19526)",Support
They're the red states.,Claim,"(19468, 19491)",they are the states in the upper Midwest,Premise,"(19528, 19568)",Support
They're the red states.,Claim,"(19468, 19491)",that's where the spike is occurring significantly,Premise,"(19570, 19619)",Support
We can't let that happen,Claim,"(20442, 20466)",you can't let that happen,Claim,"(20473, 20498)",Equivalent
We have the best testing in the world by far.,Claim,"(20727, 20772)",That's why we have so many cases.,Claim,"(20773, 20806)",Support
We've learned a lot,Claim,"(21645, 21664)",Now he wants to wear masks,Claim,"(21704, 21730)",Support
You're the one that takes all the money from Wall Street.,Claim,"(23013, 23070)","You have raised a lot of money, tremendous amounts of money.",Claim,"(23088, 23148)",Equivalent
"I made it clear that any country, no matter who it is, that interferes in American elections will pay a price.",Claim,"(24590, 24700)",They will pay a price.,Claim,"(24701, 24723)",Equivalent
"I made it clear that any country, no matter who it is, that interferes in American elections will pay a price.",Claim,"(24590, 24700)",They will pay a price if I'm elected.,Claim,"(24949, 24986)",Equivalent
They're interfering with American sovereignty.,Claim,"(24987, 25033)",They're interfering with American sovereignty.,Claim,"(24987, 25033)",Equivalent
He's being used as a Russian pawn.,Claim,"(25776, 25810)",Nothing happens.,Claim,"(25896, 25912)",Attack
I never got any money from Russia.,Claim,"(27273, 27307)",I don't get money from Russia.,Claim,"(27308, 27338)",Equivalent
I have released all of my tax returns,Claim,"(29413, 29450)",Go look at them,Claim,"(29462, 29477)",Support
"Tens of millions of dollars, I prepaid",Claim,"(30422, 30460)","they think, it's an estimate.",Premise,"(30485, 30514)",Support
"Tens of millions of dollars, I prepaid",Claim,"(30422, 30460)",I prepaid millions and millions of dollars in taxes,Claim,"(30789, 30840)",Equivalent
"You're the big man, I think.",Claim,"(31117, 31145)","you're the big man, I think.",Claim,"(31182, 31210)",Equivalent
Your son said we have to give 10% to the big man.,Claim,"(31211, 31260)",It's terrible.,Claim,"(31289, 31303)",Support
I get treated worse than the Tea Party got treated,Claim,"(31653, 31703)","A lot of people in there, deep down in the IRS, they treat me horribly.",Claim,"(31705, 31776)",Support
I want to release it.,Claim,"(31973, 31994)",we're completed with the deal,Premise,"(31942, 31971)",Support
I paid in advance.,Claim,"(32073, 32091)",It's called prepaying your taxes.,Premise,"(32092, 32125)",Support
Show us.,Claim,"(32477, 32485)",Just show us.,Claim,"(32486, 32499)",Equivalent
"Mueller and 18 angry Democrats, and FBI agents all over the place spent $48 million.",Claim,"(33159, 33243)","They went through everything I had, including my tax returns",Claim,"(33244, 33304)",Support
"Mueller and 18 angry Democrats, and FBI agents all over the place spent $48 million.",Claim,"(33159, 33243)",they found absolutely no collusion and nothing wrong,Claim,"(33310, 33362)",Support
you do live very well.,Claim,"(33716, 33738)",You have houses all over the place.,Premise,"(33739, 33774)",Support
you do live very well.,Claim,"(33716, 33738)",You live very well.,Claim,"(33775, 33794)",Equivalent
I carried out US policy.,Claim,"(34505, 34529)","Not one, single, solitary thing was out of line.",Claim,"(34530, 34578)",Support
"Not one, single, solitary thing was out of line.",Claim,"(34530, 34578)",Not a single thing,Claim,"(34579, 34597)",Equivalent
The only guy that made money from China is this guy.,Claim,"(34946, 34998)",Nobody else has made money from China.,Claim,"(35018, 35056)",Support
That's 100% dishonest.,Claim,"(35555, 35577)",No basis for that,Claim,"(35689, 35706)",Attack
No basis for that,Claim,"(35689, 35706)",no one said anything he did was wrong in Ukraine.,Claim,"(35737, 35786)",Support
We would not do that at all,Claim,"(37853, 37880)",We are making sure that in order to do business in China,Premise,"(37694, 37750)",Support
We would not do that at all,Claim,"(37853, 37880)",you have to give all your intellectual property,Premise,"(37752, 37799)",Support
We would not do that at all,Claim,"(37853, 37880)","You have to get/have a partner in China, it is 51%.",Premise,"(37801, 37852)",Support
I charged them 25% on dumped steel,Claim,"(40143, 40177)",they were killing our steel industry,Premise,"(40187, 40223)",Attack
It's not about his family and my family.,Claim,"(40543, 40583)","It's about your family, and your family's hurting badly.",Claim,"(40584, 40640)",Equivalent
That is a typical statement,Claim,"(41267, 41294)",That's a typical political statement,Claim,"(41390, 41426)",Equivalent
That's a typical political statement,Claim,"(41390, 41426)",Just a typical politician,Claim,"(41523, 41548)",Equivalent
Just a typical politician,Claim,"(41523, 41548)",I see that,Premise,"(41554, 41564)",Support
I have a very good relationship with him,Claim,"(42718, 42758)",We have a different kind of a relationship.,Claim,"(42832, 42875)",Support
I have a very good relationship with him,Claim,"(42718, 42758)",We have a very good relationship,Claim,"(42876, 42908)",Equivalent
We have a different kind of a relationship.,Claim,"(42832, 42875)",We have a good relationship,Claim,"(45230, 45257)",Equivalent
We have a very good relationship,Claim,"(42876, 42908)",I have a good relationship.,Claim,"(43337, 43364)",Equivalent
there's no war,Claim,"(42914, 42928)",We don't have a war,Claim,"(43312, 43331)",Equivalent
there's no war,Claim,"(42914, 42928)",we're not in a war,Claim,"(45210, 45228)",Equivalent
having a good relationship with leaders of other countries is a good thing,Claim,"(45296, 45370)","We had a good relationship with Hitler before he in fact invaded Europe, the rest of Europe.",Claim,"(45467, 45559)",Attack
That's why he wouldn't meet with us.,Claim,"(45792, 45828)","The reason he would not meet with President Obama is because President Obama said we're gonna talk about denuclearization, we're not gonna legitimize you, we're gonna continue to put stronger and stronger sanctions on you.",Premise,"(45569, 45791)",Support
That's why he wouldn't meet with us.,Claim,"(45792, 45828)",it didn't happen,Claim,"(45840, 45856)",Attack
North Korea was a mess.,Claim,"(45981, 46004)",They left me a mess.,Claim,"(45960, 45980)",Support
I've already done something that nobody thought was possible.,Claim,"(47151, 47212)",I terminated the individual mandate,Claim,"(47238, 47273)",Support
I terminated the individual mandate,Claim,"(47238, 47273)","That is the worst part of Obamacare, as we call it.",Claim,"(47275, 47326)",Support
I terminated the individual mandate,Claim,"(47238, 47273)",it's gone,Claim,"(47466, 47475)",Support
Here's the problem,Claim,"(47762, 47780)",Premiums are down,Claim,"(47724, 47741)",Support
Here's the problem,Claim,"(47762, 47780)",everything's down,Claim,"(47743, 47760)",Support
we will have to run it,Claim,"(47957, 47979)",If we don't win,Premise,"(47940, 47955)",Support
we'll have Obamacare,Claim,"(47984, 48004)",If we don't win,Premise,"(47940, 47955)",Support
I think we're going to win the House,Claim,"(48492, 48528)",I think we're gonna win the House,Claim,"(48552, 48585)",Equivalent
We have done an incredible job on health care.,Claim,"(49216, 49262)","We have 180 million people out there that have great private health care, far more than we're talking about with Obamacare",Premise,"(48713, 48835)",Support
We have done an incredible job on health care.,Claim,"(49216, 49262)",he's never come up with a plan,Claim,"(50807, 50837)",Attack
What I'm going to do is pass Obamacare with a public option -- become Bidencare,Claim,"(49548, 49627)","Public option is an option that says that if you, in fact, do not have the wherewithal to be",Premise,"(49629, 49721)",Support
What I'm going to do is pass Obamacare with a public option -- become Bidencare,Claim,"(49548, 49627)","if you qualify for Medicaid, and you do not have the wherewithal in your state to get Medicaid, you automatically are enrolled, providing competition for insurance companies.",Premise,"(49725, 49899)",Support
we're going to make sure we reduce the premiums and reduce drug prices by making sure that there's competition that doesn't exist now,Claim,"(49941, 50074)",allowing Medicare to negotiate drug prices with the insurance companies,Premise,"(50078, 50149)",Support
he's never come up with a plan,Claim,"(50807, 50837)",He's been talking about this for a long time,Claim,"(50746, 50790)",Support
he's already cost the American people because of his terrible handling of the COVID virus and economic spillover,Claim,"(51082, 51194)",0 million people have lost their private insurance,Premise,"(51197, 51247)",Support
he's already cost the American people because of his terrible handling of the COVID virus and economic spillover,Claim,"(51082, 51194)",he wants to take away 22 million more people who have been under Obamacare,Claim,"(51253, 51327)",Support
he's already cost the American people because of his terrible handling of the COVID virus and economic spillover,Claim,"(51082, 51194)",over 110 million people with pre-existing conditions.,Claim,"(51333, 51386)",Support
"I think health care is not a privilege, it's a right",Claim,"(52106, 52158)",Everyone should have the right to have affordable health care.,Claim,"(52160, 52222)",Support
I am very proud of my plan,Claim,"(52227, 52253)","It's gotten endorsed by all the major labor unions as well as, as well as a whole range of other people who in fact, are concerned in the medical field.",Premise,"(52255, 52407)",Support
I am very proud of my plan,Claim,"(52227, 52253)",This is something that's going to save people's lives.,Claim,"(52408, 52462)",Support
this is going to give some people an opportunity,Claim,"(52467, 52515)",to have health care for their children,Premise,"(52532, 52570)",Support
We have to provide health insurance for people at an affordable rate,Premise,"(52797, 52865)",he didn't do it,Claim,"(52978, 52993)",Attack
that's what I'd do,Claim,"(52871, 52889)",We have to provide health insurance for people at an affordable rate,Premise,"(52797, 52865)",Support
he didn't do it,Claim,"(52978, 52993)",He didn't do anything,Claim,"(53184, 53205)",Equivalent
He didn't do anything,Claim,"(53184, 53205)",He didn't do it,Claim,"(53207, 53222)",Equivalent
He wants socialized medicine,Claim,"(53224, 53252)",You're going to have socialized medicine.,Claim,"(53427, 53468)",Equivalent
You're going to have socialized medicine.,Claim,"(53427, 53468)",people deserve to have affordable health care -- period,Claim,"(54220, 54275)",Attack
He's a very confused guy,Claim,"(55462, 55486)",he thinks he's running against somebody else,Claim,"(55488, 55532)",Support
the stock market will crash,Claim,"(56568, 56595)","If he's elected,",Premise,"(56551, 56567)",Support
I do.,Claim,"(57999, 58004)",I do.,Claim,"(57999, 58004)",Equivalent
Nancy Pelosi doesn't want to approve anything,Claim,"(58133, 58178)",she'd love to have some victories on a date called November 3rd.,Premise,"(58188, 58252)",Support
Nancy Pelosi doesn't want to approve anything,Claim,"(58133, 58178)",Nancy Pelosi does not want to approve it.,Claim,"(58253, 58294)",Equivalent
It's been out there.,Claim,"(59275, 59295)",hey passed this act all the way back in the beginning of the summer.,Premise,"(59176, 59244)",Support
This HEROES Act has been sitting there,Claim,"(59296, 59334)",And look at what's happening.,Claim,"(59336, 59365)",Support
everybody all over the world will start pouring into our country.,Claim,"(60391, 60456)",We can't do it,Claim,"(60457, 60471)",Attack
We can't do it,Claim,"(60457, 60471)",This was a way of taking care of them.,Claim,"(60473, 60511)",Support
I do,Claim,"(61537, 61541)","I think one of the things we're gonna have to do is we're gonna have to bail them out, too.",Premise,"(61551, 61642)",Support
"We should be bailing them out now, those small businesses.",Claim,"(61643, 61701)",That's not helping.,Claim,"(62412, 62431)",Attack
these guys will not help them.,Claim,"(62183, 62213)",He is not giving them any of the money.,Premise,"(62214, 62253)",Support
That's not helping.,Claim,"(62412, 62431)",I think it should be a state option.,Claim,"(62432, 62468)",Support
Every state is different.,Claim,"(62541, 62566)",They're all different.,Claim,"(63424, 63446)",Equivalent
It should be a state option.,Claim,"(62567, 62595)",It should be a state option.,Claim,"(62567, 62595)",Equivalent
It should be a state option.,Claim,"(62567, 62595)",I've looked at different place,Claim,"(63366, 63396)",Support
It should be a state option.,Claim,"(62567, 62595)",I know different places.,Claim,"(63399, 63423)",Support
"No one should work two jobs, one job and be below poverty.",Claim,"(63611, 63669)",They deserve a minimum wage of $15.,Claim,"(63837, 63872)",Support
