subj,subj_type,subj_span,obj,obj_type,obj_span,relation
Our objectives ought to be to strengthen the democracies,Premise,"(2078, 2134)",I believe that the question oversimplifies the difficulties of what we must do in Central America,Claim,"(1979, 2076)",Support
I retract nothing that I have said,Claim,"(11100, 11134)",I believe that many of the things they have done are evil in any concept of morality that we have,Claim,"(11136, 11233)",Support
I believe every one of those standards is essential to the exercise of power by this country,Claim,"(21161, 21253)",No,Claim,"(5855, 5857)",Support
I will not make age an issue of this campaign,Claim,"(30751, 30796)",Not at all,Claim,"(30692, 30702)",Support
it is the only real territorial threat to the American nation-state,Claim,"(38899, 38966)",our number one foreign policy problem today is one that remains almost totally unrecognized: massive illegal immigration from economically collapsing countries,Claim,"(38717, 38876)",Support
Your Pentagon and your Secretary of Defense have plans for the United States to fight and prevail in a nuclear war,Premise,"(49557, 49671)","you do believe, deep down, that we are heading for some kind of biblical Armageddon",Claim,"(49472, 49555)",Support
reaching an agreement with the Soviets is the most important thing in the world to you,Claim,"(59318, 59404)",with respect to the Soviet Union you want to negotiate a mutual nuclear freeze,Claim,"(59092, 59170)",Support
I believe we need to be strong,Claim,"(72097, 72127)",I will keep us strong,Claim,"(20242, 20263)",Support
to stop Communist and other extremist influences,Premise,"(2136, 2184)",I believe that the question oversimplifies the difficulties of what we must do in Central America,Claim,"(1979, 2076)",Support
I have said on a number of occasions exactly what I believe about the Soviet Union,Premise,"(11016, 11098)",I retract nothing that I have said,Claim,"(11100, 11134)",Support
we can see that in both Lebanon and in Central America,Premise,"(21259, 21313)",I believe every one of those standards is essential to the exercise of power by this country,Claim,"(21161, 21253)",Support
"I am not going to exploit, for political purposes, my opponent's youth and inexperience",Claim,"(30798, 30885)",I will not make age an issue of this campaign,Claim,"(30751, 30796)",Support
"I'm convinced that the result of this would be that people who are Hispanic, people who have different languages or speak with an accent, would find it difficult to be employed",Premise,"(39510, 39686)",I object to that part of the Simpson-Mazzoli bill which I think is very unfair and would prove to be so. That is the part that requires employers to determine the citizenship of an employee before they're hired,Claim,"(39298, 39508)",Support
"that is the prophecies down through the years, the biblical prophecies of what would portend the coming of Armageddon, and so forth",Premise,"(50062, 50193)","I think what has been hailed as something I'm supposedly, as President, discussing as principle is the recall of just some philosophical discussions with people who are interested in the same things",Premise,"(49858, 50056)",Support
"I support the air launch cruise missile, the ground launch cruise missile, the Pershing missile, the Trident submarine, the D - 5 submarine, Stealth technology, the Midgetman -- we have a whole range of technology",Premise,"(59632, 59845)",we have a vast range of technology and weaponry right now that provides all the bargaining chips that we need,Claim,"(59517, 59626)",Support
I think strength must also require wisdom and smarts in its exercise,Claim,"(72160, 72228)",That's key to the strength of our nation,Claim,"(72230, 72270)",Support
stabilize the community in that area,Premise,"(2190, 2226)",I believe that the question oversimplifies the difficulties of what we must do in Central America,Claim,"(1979, 2076)",Support
I told Mr. Gromyko we don't like their system,Premise,"(11341, 11386)",I believe that many of the things they have done are evil in any concept of morality that we have,Claim,"(11136, 11233)",Support
"In Lebanon, this President exercised American power, all right, but the management of it was such that our marines were killed",Premise,"(21315, 21441)",we can see that in both Lebanon and in Central America,Premise,"(21259, 21313)",Support
You put your thumb on a button and somebody blows up 20 minutes later,Premise,"(31995, 32064)","the whole controversy about land missiles came up because we thought that the strategic nuclear weapons, the most destabilizing are the land-based",Premise,"(31847, 31993)",Support
We've never had citizenship tests in our country before,Premise,"(39710, 39765)",I think that's wrong,Claim,"(39688, 39708)",Support
"the fact that a number of theologians for the last decade or more have believed that this was true, that the prophecies are coming together that portend that",Premise,"(50199, 50356)","I think what has been hailed as something I'm supposedly, as President, discussing as principle is the recall of just some philosophical discussions with people who are interested in the same things",Premise,"(49858, 50056)",Support
it's a sitting duck,Claim,"(59882, 59901)",It'll draw an attack,Claim,"(59903, 59923)",Support
I think strength must also require wisdom and smarts in its exercise,Claim,"(72160, 72228)",A President must know the essential facts essential to command,Premise,"(72272, 72334)",Support
one is military assistance to our friends who are being pressured,Premise,"(2271, 2336)",we need a three-pronged attack,Claim,"(2239, 2269)",Support
"between us, we can either destroy the world or we can save it",Claim,"(11503, 11564)","I also recognize that as the two great superpowers in the world, we have to live with each other",Claim,"(11239, 11335)",Support
we had to leave in humiliation,Premise,"(21443, 21473)",we can see that in both Lebanon and in Central America,Premise,"(21259, 21313)",Support
"the whole controversy about land missiles came up because we thought that the strategic nuclear weapons, the most destabilizing are the land-based",Premise,"(31847, 31993)",we thought that it would be simpler to negotiate first with those,Premise,"(32070, 32135)",Support
That is counterproductive,Claim,"(39826, 39851)",I don't think we should have a citizenship card today,Claim,"(39771, 39824)",Support
"no one knows whether Armageddon, those prophecies mean that Armageddon is a thousand years away or day after tomorrow",Premise,"(50362, 50479)",I have never seriously warned and said we must plan according to Armageddon,Claim,"(50485, 50560)",Support
"It puts a hair-trigger, and it is a dangerous, destabilizing weapon",Claim,"(59925, 59992)",It'll draw an attack,Claim,"(59903, 59923)",Support
A President must know the essential facts essential to command,Premise,"(72272, 72334)",That's key to the strength of our nation,Claim,"(72230, 72270)",Support
"secondly, a strong and sophisticated economic aid program and human rights program that offers a better life and a sharper alternative to the alternative offered by the totalitarians who oppose us",Premise,"(2338, 2534)",we need a three-pronged attack,Claim,"(2239, 2269)",Support
"it was to their common interest, along with ours, to avoid a conflict",Claim,"(11599, 11668)",remove the nuclear weapons,Claim,"(11706, 11732)",Support
the Soviet Union became stronger,Premise,"(21475, 21507)",we can see that in both Lebanon and in Central America,Premise,"(21259, 21313)",Support
"then we made it plain, a second phase, take up the submarine-launched or the airborne missiles",Premise,"(32141, 32235)",we thought that it would be simpler to negotiate first with those,Premise,"(32070, 32135)",Support
I don't think we should have a citizenship card today,Claim,"(39771, 39824)",I think that's wrong,Claim,"(39688, 39708)",Support
I have never seriously warned and said we must plan according to Armageddon,Claim,"(50485, 50560)","you do believe, deep down, that we are heading for some kind of biblical Armageddon",Claim,"(49472, 49555)",Attack
