subj,subj_type,subj_span,obj,obj_type,obj_span,relation
we stand up and basically say: The Supreme Court should represent all of us,Claim,"(1270, 1345)","I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v",Claim,"(1028, 1160)",Support
We need strong borders,Claim,"(8469, 8491)","she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years",Claim,"(8338, 8467)",Support
Yes,Claim,"(12935, 12938)","Mr. Trump, you want to get government out with lower taxes and less regulation",Claim,"(17832, 17910)",Support
nine women have come forward and have said that you either groped them or kissed them without their consent,Claim,"(24387, 24494)",you'd never actually done it,Premise,"(24325, 24353)",Attack
I don't think that is in our interest,Premise,"(35331, 35368)",I will not support putting American soldiers into Iraq as an occupying force,Claim,"(35253, 35329)",Support
you said several things in that debate which were not true,Premise,"(38138, 38196)",I want to follow up on that,Claim,"(38101, 38128)",Support
the Committee for federal -- a Responsible Federal Budget has looked at both of your plans,Premise,"(43028, 43118)",they say neither of you has a serious plan that is going to solve the fact that Medicare's going to run out of money in the 2020s,Premise,"(43123, 43252)",Support
we stand up against Citizens United,Claim,"(1173, 1208)","I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v",Claim,"(1028, 1160)",Support
she was born in this country but they were not,Premise,"(8782, 8828)","I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported",Claim,"(8652, 8772)",Support
"I want us to have the biggest jobs program since World War II, jobs in infrastructure and advanced manufacturing",Premise,"(18368, 18480)","my plan is based on growing the economy, giving middle-class families many more opportunities",Premise,"(18273, 18366)",Support
those stories have been largely debunked,Claim,"(24523, 24563)",nine women have come forward and have said that you either groped them or kissed them without their consent,Claim,"(24387, 24494)",Attack
I don't think that would be smart to do,Premise,"(35374, 35413)",I will not support putting American soldiers into Iraq as an occupying force,Claim,"(35253, 35329)",Support
You said that Aleppo has basically fallen,Premise,"(38203, 38244)",you said several things in that debate which were not true,Premise,"(38138, 38196)",Support
Social Security is going to run out of money in the 2030s,Premise,"(43254, 43311)",they say neither of you has a serious plan that is going to solve the fact that Medicare's going to run out of money in the 2020s,Premise,"(43123, 43252)",Support
we stand up for the rights of people in the workplace,Claim,"(1210, 1263)","I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v",Claim,"(1028, 1160)",Support
"They work hard, they do everything they can to give her a good life",Premise,"(8830, 8897)","I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported",Claim,"(8652, 8772)",Support
"my plan is based on growing the economy, giving middle-class families many more opportunities",Premise,"(18273, 18366)","I think when the middle class thrives, America thrives",Claim,"(18210, 18264)",Support
I don't know those people,Claim,"(24581, 24606)",nine women have come forward and have said that you either groped them or kissed them without their consent,Claim,"(24387, 24494)",Attack
I think that would be a big red flag waving for ISIS to reconstitute itself,Claim,"(35431, 35506)",I will not support putting American soldiers into Iraq as an occupying force,Claim,"(35253, 35329)",Support
there are a quarter of a million people still living there and being slaughtered,Premise,"(38643, 38723)",it hasn't fallen,Claim,"(38591, 38607)",Attack
"at that time, recipients are going to take huge cuts in their benefits",Premise,"(43317, 43387)",they say neither of you has a serious plan that is going to solve the fact that Medicare's going to run out of money in the 2020s,Premise,"(43123, 43252)",Support
I lived in Arkansas for 18 wonderful years,Premise,"(2087, 2129)",I support the Second Amendment,Claim,"(2055, 2085)",Support
"I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported",Claim,"(8652, 8772)",I have been for border security for years,Claim,"(8899, 8940)",Support
I think we can compete with high-wage countries,Claim,"(18482, 18529)",I believe we should,Claim,"(18535, 18554)",Support
I have a feeling how they came,Premise,"(24608, 24638)",I believe it was her campaign that did it,Claim,"(24640, 24681)",Support
We had Mosul,Claim,"(35742, 35754)",Mosul is so sad,Claim,"(35725, 35740)",Support
they are being slaughtered,Claim,"(38750, 38776)",it hasn't fallen,Claim,"(38591, 38607)",Support
I'm cutting taxes,Claim,"(43396, 43413)",We're going to grow the economy,Claim,"(43415, 43446)",Support
I represented upstate New York,Premise,"(2131, 2161)",I support the Second Amendment,Claim,"(2055, 2085)",Support
I have been for border security for years,Claim,"(8899, 8940)",I voted for border security,Claim,"(8942, 8969)",Support
her plan is going to raise taxes and even double your taxes,Claim,"(18866, 18925)",Her tax plan is a disaster,Claim,"(18927, 18953)",Support
I believe it was her campaign that did it,Claim,"(24640, 24681)",nine women have come forward and have said that you either groped them or kissed them without their consent,Claim,"(24387, 24494)",Attack
"when she left, when she took everybody out, we lost Mosul",Premise,"(35760, 35817)",Mosul is so sad,Claim,"(35725, 35740)",Support
because of bad decisions,Premise,"(38805, 38829)",they are being slaughtered,Claim,"(38750, 38776)",Support
That's not going to help in the entitlements,Claim,"(43504, 43548)",I'm cutting taxes,Claim,"(43396, 43413)",Attack
I understand and respect the tradition of gun ownership,Premise,"(2163, 2218)",I support the Second Amendment,Claim,"(2055, 2085)",Support
in the United States Senate,Premise,"(8970, 8997)",I voted for border security,Claim,"(8942, 8969)",Support
she can say all she wants about college tuition,Premise,"(18959, 19006)",Her tax plan is a disaster,Claim,"(18927, 18953)",Support
a number of women have come forward saying that's exactly what he did to them,Premise,"(24825, 24902)",we heard Donald talking about what he did to women,Premise,"(24757, 24807)",Support
we're fighting again to get Mosul,Premise,"(35823, 35856)",Mosul is so sad,Claim,"(35725, 35740)",Support
"they just announced a humanitarian pause, in effect, admitting that they have been bombing and shelling Aleppo",Premise,"(39025, 39135)",they have been the ones who've been bombing and shelling eastern Aleppo,Premise,"(38948, 39019)",Support
"No, it's going to totally help you",Claim,"(43557, 43591)",That's not going to help in the entitlements,Claim,"(43504, 43548)",Attack
It goes back to the founding of our country,Premise,"(2220, 2263)",I support the Second Amendment,Claim,"(2055, 2085)",Support
my comprehensive immigration reform plan of course includes border security,Premise,"(9003, 9078)",I voted for border security,Claim,"(8942, 8969)",Support
I'm a big proponent,Premise,"(19012, 19031)",We're going to do a lot of things for college tuition,Premise,"(19033, 19086)",Support
they were not attractive enough for them to be assaulted,Premise,"(25057, 25113)",he held a number of big rallies where he said that he could not possibly have done those things to those women,Claim,"(24938, 25048)",Support
The problem with Mosul and what they wanted to do is they wanted to get the leaders of ISIS who they felt were in Mosul,Claim,"(35858, 35977)",Mosul is so sad,Claim,"(35725, 35740)",Support
they have been the ones who've been bombing and shelling eastern Aleppo,Premise,"(38948, 39019)",you also said that -- that Syria and Russia are busy fighting ISIS,Claim,"(38871, 38937)",Attack
It's destroying our country,Premise,"(43674, 43701)",one thing we have to do: Repeal and replace the disaster known as Obamacare,Claim,"(43597, 43672)",Support
she was extremely angry about it,Claim,"(2752, 2784)",the D.C. vs. Heller decision was very strongly,Claim,"(2698, 2744)",Support
I want to put our resources where I think they're most needed: Getting rid of any violent person,Claim,"(9084, 9180)",I voted for border security,Claim,"(8942, 8969)",Support
the rest of the public's going to be paying for it,Claim,"(19092, 19142)",Her tax plan is a disaster,Claim,"(18927, 18953)",Support
I did not say that,Claim,"(25122, 25140)",he held a number of big rallies where he said that he could not possibly have done those things to those women,Claim,"(24938, 25048)",Attack
I've said that years ago,Claim,"(36201, 36225)",I said it was a mistake,Claim,"(36176, 36199)",Support
It's a humanitarian nightmare,Claim,"(39210, 39239)",Aleppo is a disaster,Claim,"(39188, 39208)",Support
"It's destroying our businesses, our small business and our big businesses",Premise,"(43703, 43776)",one thing we have to do: Repeal and replace the disaster known as Obamacare,Claim,"(43597, 43672)",Support
I watched,Premise,"(2786, 2795)",she was extremely angry about it,Claim,"(2752, 2784)",Support
"Anybody who should be deported, we should deport them",Premise,"(9182, 9235)",I want to put our resources where I think they're most needed: Getting rid of any violent person,Claim,"(9084, 9180)",Support
"We will have a massive, massive tax increase under Hillary Clinton's plan",Claim,"(19144, 19217)",Her tax plan is a disaster,Claim,"(18927, 18953)",Support
"He attacked the woman reporter writing the story, called her ""disgusting",Claim,"(25453, 25525)",those stories have been largely debunked,Claim,"(24523, 24563)",Attack
Wrong,Claim,"(16051, 16056)",Donald is implying that he didn't support the invasion of Iraq,Claim,"(36112, 36174)",Attack
"what do you need, a signed document?",Premise,"(39300, 39336)",it has fallen from the -- from any standpoint,Claim,"(39245, 39290)",Support
I am on record as saying that we need to put more money into the Social Security Trust Fund,Premise,"(44167, 44258)",That's part of my commitment to raise taxes on the wealthy,Premise,"(44260, 44318)",Support
"she was very, very angry when upheld",Premise,"(2805, 2841)",she was extremely angry about it,Claim,"(2752, 2784)",Support
I had a very good meeting with the president of Mexico,Premise,"(9397, 9451)",We will be doing very much better with Mexico on trade deals,Claim,"(9468, 9528)",Support
"Saudi Arabia, nothing but money",Premise,"(19399, 19430)",We protect Saudi Arabia,Claim,"(19432, 19455)",Support
he has called a number of women during this campaign,Claim,"(25531, 25583)","He attacked the woman reporter writing the story, called her ""disgusting",Claim,"(25453, 25525)",Support
Donald is implying that he didn't support the invasion of Iraq,Claim,"(36112, 36174)",I said it was a mistake,Claim,"(36176, 36199)",Support
It is so sad when you see what's happened,Premise,"(39360, 39401)",Aleppo is a disaster,Claim,"(39188, 39208)",Support
that will come from either raising the cap and/or finding other ways to get more money into it,Premise,"(44608, 44702)",I will not cut benefits,Claim,"(44704, 44727)",Support
people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say,Claim,"(2969, 3085)",I support the Second Amendment,Claim,"(2055, 2085)",Attack
There also is necessarily going to be new technology and how best to deploy that,Premise,"(10088, 10168)",Donald knows a lot about this,Claim,"(10174, 10203)",Support
"right now, our country is dying at 1 percent GDP",Premise,"(19647, 19695)",We are going to start the engine rolling again,Claim,"(19557, 19603)",Support
Nobody has more respect for women than I do,Claim,"(25614, 25657)","He attacked the woman reporter writing the story, called her ""disgusting",Claim,"(25453, 25525)",Attack
I just want everybody to go Google it,Premise,"(36398, 36435)",you will see the dozens of sources which verify that he was for the invasion of Iraq,Claim,"(36469, 36553)",Support
wait until you see what happens in the coming years,Premise,"(39573, 39624)",wait until you see -- this is going to be the great Trojan horse,Claim,"(39503, 39567)",Support
I want to enhance benefits for low-income workers and for women who have been disadvantaged by the current Social Security system,Claim,"(44729, 44858)",I will not cut benefits,Claim,"(44704, 44727)",Support
"unfortunately, dozens of toddlers injure themselves, even kill people with guns",Premise,"(3199, 3278)",I was upset,Claim,"(3178, 3189)",Support
