subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I've heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign.And I think it is very important for us to make clear to our children that our country really is great because we're good,Premise,"(2033, 2178)","And we are going to respect one another, lift each other up.",Premise,"(2302, 2362)",Support
"His children are incredibly able and devoted, and I think that says a lot about Donald",Premise,"(89416, 89502)",I respect his children,Claim,"(89392, 89414)",Support
Premiums have gotten too high,Premise,"(24749, 24778)",I agree with you,Claim,"(24731, 24747)",Support
"in San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people",Premise,"(33504, 33634)",Horribly wounded,Premise,"(33636, 33652)",Support
It was a master class watching President Lincoln get the Congress to approve the 13th Amendment,Premise,"(42985, 43080)",It was principled,Claim,"(43082, 43099)",Support
I knock out the tax code,Premise,"(47643, 47667)","One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run",Claim,"(47533, 47633)",Support
"every day that goes by, we see the results of the regime by Assad in partnership with the Iranians on the ground, the Russians in the air, bombarding places, in particular Aleppo, where there are hundreds of thousands of people, probably about 250,000 still left",Premise,"(58935, 59197)",the situation in Syria is catastrophic,Claim,"(58891, 58929)",Support
Absolutely,Claim,"(69078, 69088)","she calls our people deplorable, a large group, and irredeemable",Premise,"(69098, 69162)",Attack
"I want to appoint Supreme Court justices who understand the way the world really works, who have real-life experience, who have not just been in a big law firm and maybe clerked for a judge and then gotten on the bench",Claim,"(79857, 80075)","maybe they tried some more cases, they actually understand what people are up against",Claim,"(80092, 80177)",Support
because energy is under siege by the Obama administration,Claim,"(84736, 84793)",Under absolutely siege,Claim,"(84795, 84817)",Support
"And we are going to respect one another, lift each other up.",Premise,"(2302, 2362)","We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country.I have a very positive and optimistic view about what we can do together",Premise,"(2363, 2564)",Support
I think that is something that as a mother and a grandmother is very important to me,Premise,"(89588, 89672)","So I believe that this election has become in part so—so conflict-oriented, so intense because there's a lot at stake",Claim,"(89674, 89791)",Support
I'm going to fix it,Claim,"(24702, 24721)",I agree with you,Claim,"(24731, 24747)",Attack
Horribly wounded,Premise,"(33636, 33652)",They'll never be the same,Premise,"(33654, 33679)",Support
It was principled,Claim,"(43082, 43099)",it was strategic,Claim,"(43105, 43121)",Support
one thing I'd do is get rid of carried interest,Claim,"(47484, 47531)","One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run",Claim,"(47533, 47633)",Support
there is a determined effort by the Russian air force to destroy Aleppo in order to eliminate the last of the Syrian rebels who are really holding out against the Assad regime,Premise,"(59203, 59378)",Russia hasn't paid any attention to ISIS.,Premise,"(59380, 59421)",Support
I will be a president for all of our people,Claim,"(69164, 69207)","she calls our people deplorable, a large group, and irredeemable",Premise,"(69098, 69162)",Attack
I think the current court has gone in the wrong direction,Claim,"(80187, 80244)","maybe they tried some more cases, they actually understand what people are up against",Claim,"(80092, 80177)",Attack
Under absolutely siege,Claim,"(84795, 84817)","The EPA, Environmental Protection Agency, is killing these energy companies",Claim,"(84819, 84894)",Attack
"We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them in to working on behalf of our country.I have a very positive and optimistic view about what we can do together",Premise,"(2363, 2564)",So that's why I hope that we will come together in this campaign,Claim,"(3203, 3267)",Support
"This is not an ordinary time, and this is not an ordinary election",Premise,"(89793, 89859)","So I believe that this election has become in part so—so conflict-oriented, so intense because there's a lot at stake",Claim,"(89674, 89791)",Support
But that in and of itself was a good thing,Premise,"(25182, 25224)","when the Affordable Care Act passed, it wasn't just that 20 million people got insurance who didn't have it before",Premise,"(25066, 25180)",Support
we have to be sure that Muslims come in and report when they see something going on,Claim,"(33349, 33432)","whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem",Claim,"(33225, 33343)",Support
it was strategic,Claim,"(43105, 43121)",I was making the point that it is hard sometimes to get the Congress to do what you want to do and you have to keep working at it,Claim,"(43127, 43256)",Support
"One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run",Claim,"(47533, 47633)",she could have done this years ago,Claim,"(47673, 47707)",Attack
Russia hasn't paid any attention to ISIS.,Premise,"(59380, 59421)",They're interested in keeping Assad in power,Claim,"(59422, 59466)",Support
I'll be a president that will turn our inner cities around and will give strength to people and will give economics to people and will bring jobs back,Claim,"(69213, 69363)","Because NAFTA, signed by her husband, is perhaps the greatest disaster trade deal in the history of the world",Claim,"(69365, 69474)",Attack
"so I would want to see the Supreme Court reverse Citizens United and get dark, unaccountable money out of our politics",Claim,"(80250, 80368)",Donald doesn't agree with that,Claim,"(80370, 80400)",Attack
foreign companies are now coming in buying our—buying so many of our different plants and then re-jiggering the plant,Claim,"(84900, 85017)",they can take care of their oil,Claim,"(85026, 85057)",Support
So that's why I hope that we will come together in this campaign,Claim,"(3203, 3267)","I can promise you, I will work with every American.I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion.",Claim,"(3352, 3403)",Support
"We are going to be choosing a president who will set policy for not just four or eight years, but because of some of the important decisions we have to make here at home and around the world, from the Supreme Court to energy and so much else, and so there is a lot at stake",Premise,"(89861, 90134)","So I believe that this election has become in part so—so conflict-oriented, so intense because there's a lot at stake",Claim,"(89674, 89791)",Support
"when the Affordable Care Act passed, it wasn't just that 20 million people got insurance who didn't have it before",Premise,"(25066, 25180)","I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families.",Premise,"(25226, 25350)",Support
"When they see hatred going on, they have to report it",Claim,"(33434, 33487)",we have to be sure that Muslims come in and report when they see something going on,Claim,"(33349, 33432)",Support
hat was a great—I thought a great display of presidential leadership,Premise,"(43397, 43465)","President Lincoln was trying to convince some people, he used some arguments, convincing other people, he used other arguments",Premise,"(43268, 43394)",Support
She's a United States—she was a United States senator,Premise,"(47721, 47774)",she could have done this years ago,Claim,"(47673, 47707)",Support
"when I was secretary of state, advocated and I advocate today a no-fly zone and safe zones",Premise,"(59474, 59564)","We need some leverage with the Russians, because they are not going to come to the negotiating table for a diplomatic resolution, unless there is some leverage over them",Claim,"(59566, 59735)",Support
It stripped us of manufacturing jobs,Claim,"(69497, 69533)","Because NAFTA, signed by her husband, is perhaps the greatest disaster trade deal in the history of the world",Claim,"(69365, 69474)",Attack
"Now, Donald has put forth the names of some people that he would consider.",Premise,"(80830, 80904)",And among the ones that he has suggested are people who would reverse Roe v. Wade and reverse marriage equality,Claim,"(80905, 81016)",Support
But we need much more than wind and solar,Claim,"(85220, 85261)","I'm all for alternative forms of energy, including wind, including solar, et cetera",Premise,"(85135, 85218)",Attack
"I can promise you, I will work with every American.I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion.",Claim,"(3352, 3403)","I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve",Claim,"(3544, 3706)",Support
"So I believe that this election has become in part so—so conflict-oriented, so intense because there's a lot at stake",Claim,"(89674, 89791)","It's one of the most consequential elections that we've had.And that's why I've tried to put forth specific policies and plans, trying to get it off of the personal and put it on to what it is I want to do as president",Claim,"(90136, 90196)",Support
"I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families.",Premise,"(25226, 25350)","But everybody else, the 170 million of us who get health insurance through our employers got big benefits.",Premise,"(25351, 25457)",Support
"whether we like it or not, and we could be very politically correct, but whether we like it or not, there is a problem",Claim,"(33225, 33343)",Muslims have to report the problems when they see them,Claim,"(33681, 33735)",Support
"President Lincoln was trying to convince some people, he used some arguments, convincing other people, he used other arguments",Premise,"(43268, 43394)",I was making the point that it is hard sometimes to get the Congress to do what you want to do and you have to keep working at it,Claim,"(43127, 43256)",Support
why didn't she change it?,Claim,"(47846, 47871)",She complains that Donald Trump took advantage of the tax code,Premise,"(47776, 47838)",Attack
"Russia has decided that it's all in, in Syria",Premise,"(59916, 59961)",But I want to emphasize that what is at stake here is the ambitions and the aggressiveness of Russia,Claim,"(59814, 59914)",Support
We lost our jobs,Claim,"(69535, 69551)",It stripped us of manufacturing jobs,Claim,"(69497, 69533)",Support
I think that would be a terrible mistake and would take us backwards,Claim,"(81018, 81086)",And among the ones that he has suggested are people who would reverse Roe v. Wade and reverse marriage equality,Claim,"(80905, 81016)",Attack
We are killing—absolutely killing our energy business in this country,Claim,"(85059, 85128)",they can take care of their oil,Claim,"(85026, 85057)",Attack
I actually agree with that,Claim,"(3792, 3818)","I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve",Claim,"(3544, 3706)",Support
