subj,subj_type,subj_span,obj,obj_type,obj_span,relation
"First of all, to channel research and development funds into areas that will provide uh large numbers of jobs",Premise,"(2975, 3084)",There are several things that can be done specifically that are not now being done,Claim,"(2891, 2973)",Support
I think the feeling is misplaced,Claim,"(61285, 61317)",There is a considerable anti-Washington feeling throughout the country,Premise,"(61209, 61279)",Attack
"in other words, both of 'em serve the same four - four years",Claim,"(68136, 68196)",the president ought to have a chance to appoint a chairman of the Federal Reserve Board to have a coterminous uh term,Claim,"(68017, 68134)",Support
We've done that by executive order,Premise,"(71406, 71440)",I think uh - we've tightened it up; we've uh - straightened out their problems that developed over the last few years,Claim,"(71452, 71569)",Support
Our nation in the last eight years has been divided as never before,Premise,"(73951, 74018)",It's a time for unity,Claim,"(74020, 74041)",Support
if we keep the lid on federal spending,Premise,"(9579, 9617)","I think we can - with the help of the Congress, we can justify fully a $28 billion tax reduction",Claim,"(9625, 9721)",Support
as a matter of fact there is,Claim,"(14704, 14732)",there still isn't enough money to pay for those programs and balance the budget by any - any estimates that I've been able to see,Claim,"(14525, 14654)",Attack
"There was hatred, there was divisiveness",Premise,"(21369, 21409)","in the case of Mr. Nixon, the reason the - the pardon was given, was that, when I took office this country was in a very, very divided condition",Claim,"(21223, 21367)",Support
as the governor of Georgia,Premise,"(25578, 25604)",I've been through this before,Claim,"(25535, 25564)",Support
"We were faced with uh - heavy inflation, over 12 percent",Premise,"(33433, 33489)","in the uh - last two years, as I indicated before, we had a very tough time",Claim,"(33356, 33431)",Support
"I've been a nuclear engineer, and did graduate work in this field",Premise,"(40144, 40209)",I think I know the - the uh capabilities and limitations of atomic power,Claim,"(40211, 40283)",Support
Even the proponents of it admitted that no more than four hundred thousand jobs would be uh - made available,Premise,"(47106, 47214)","The bills that I vetoed, the one for an additional $6 billion, was not a bill that would have solved our unemployment problems",Claim,"(46978, 47104)",Support
"of all the tax - benefits now, 25 percent of 'em go to the 1 percent of the richest people in this country",Premise,"(53559, 53665)",we have uh such a grossly unbalanced tax system,Claim,"(53463, 53510)",Support
"Secondly, we need to have a commitment in the uh private sector uh - to cooperate with government in matters like housing",Premise,"(3086, 3207)",There are several things that can be done specifically that are not now being done,Claim,"(2891, 2973)",Support
"In the last two years, we have restored integrity in the White House, and we've set high standards in the executive branch of the government",Premise,"(61319, 61459)",I think the feeling is misplaced,Claim,"(61285, 61317)",Support
They assumed that the uh - inflation rate was because of excessive demand and uh - therefore put into effect tight constraint on the economy,Premise,"(68622, 68762)","I think that Mr. uh - Burns did take a typical, erroneous Republican attitude in the 1973 year when inflation was so high",Claim,"(68499, 68620)",Support
"I am the first president in thirty years who has reorganized the intelligence agencies in the federal government: the CIA, the Defense Intelligence Agency, the National Security Agency and the others",Premise,"(71205, 71404)",I think uh - we've tightened it up; we've uh - straightened out their problems that developed over the last few years,Claim,"(71452, 71569)",Support
It's a time to draw ourselves together,Claim,"(74043, 74081)",It's a time for unity,Claim,"(74020, 74041)",Equivalent
"I think we can - with the help of the Congress, we can justify fully a $28 billion tax reduction",Claim,"(9625, 9721)",That presumably would cost the Treasury quite a bit of money in lost revenue,Claim,"(8316, 8392)",Attack
"If we assume the ah - uh - a rate of growth of our economy, equivalent to what it was during President Johnson, President Kennedy, even before the - the - the - uh wa uh - Vietnese- namese War",Premise,"(14734, 14926)","under those circumstances, even assuming no elimination of unnecessary programs and assuming an increase in the ad- in the allotment of money to finance programs, increasing as the inflation rate does - my economic projections, I think confirmed by the House uh - and the Senate committees, have been with the $60 billion extra amount of money that can be spent in fiscal year '81 which will be the last year of this next term",Premise,"(15054, 15480)",Support
"people had lost faith in their government in many, many respects",Premise,"(21415, 21479)","There was hatred, there was divisiveness",Premise,"(21369, 21409)",Support
It hasn't been undone since I was there,Premise,"(26107, 26146)",it was a - a tremendous success,Claim,"(26074, 26105)",Support
we were faced with substantial unemployment,Premise,"(33491, 33534)","in the uh - last two years, as I indicated before, we had a very tough time",Claim,"(33356, 33431)",Support
I think the Wall Street Journal uh reported not too long ago they have a hundred and twelve public relations experts working for the Federal Energy Agency to try to justify to the American people its own existence,Premise,"(40688, 40901)","in the crisis of 1973 it was supposed to be a temporary agency, uh now it's permanent, it's enormous, it's growing every day",Premise,"(40562, 40686)",Support
