subj,subj_type,subj_span,obj,obj_type,obj_span,relation
they are mounting a major effort within their own country,Premise,"(1979, 2036)",they are important and dangerous now,Claim,"(1934, 1970)",Support
I think it's a matter that we should continue to uh - give uh - great care and attention to.,Claim,"(48726, 48818)","Well, I think they're serious.",Claim,"(48695, 48725)",Support
it has resulted in the greatest expansion of the private sector of the economy that has ever been witnessed in an eight-year period.,Premise,"(52186, 52318)",this Administration has encouraged individual enterprise;,Premise,"(52124, 52181)",Support
today that their total gross national product is only forty-four per cent of our total gross national product.,Premise,"(54346, 54456)",They start from a much lower base.,Premise,"(54227, 54261)",Support
the Vice President and I came to the Congress together 1946;,Premise,"(16271, 16331)",our experience in uh - government is comparable.,Claim,"(16456, 16504)",Support
"For example, after my first trip abroad - abroad, I strongly recommended that we increase our exchange programs particularly as they related to exchange of persons of leaders in the labor field and in the information field",Premise,"(18053, 18275)","First, after each of my foreign trips I have made recommendations that have been adopted",Premise,"(17963, 18051)",Support
they're not able to control their market very well.,Premise,"(21944, 21995)",the farmer operate like the business man who operates a factory?,Claim,"(21440, 21504)",Support
I have given it.,Premise,"(27897, 27913)","I have made them through the years to him,",Premise,"(27271, 27313)",Equivalent
"I've never suggested we should uh - be able to retire the debt substantially, or even at all in nineteen sixty-one or two.",Premise,"(30753, 30875)","I think you have heavy obligations which affect our security,",Claim,"(30642, 30703)",Support
if the situation wasn't corrected it could lead to a national disaster.,Premise,"(35720, 35791)","Higher salaries for teachers, you added, were important",Premise,"(35660, 35715)",Support
the House did not pass it,Premise,"(41138, 41163)",It failed,Claim,"(41120, 41129)",Support
"Whenever a majority of the people are for a program, the House and the Senate responds to it.",Premise,"(45666, 45759)",It isn't really that.,Claim,"(45644, 45665)",Support
"The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom",Claim,"(2038, 2182)",I think the question before the American people is: Are we doing as much as we can do,Claim,"(2352, 2437)",Support
We should support uh - the laws which the United States has passed in order to protect us from uh - those who would destroy us from within.,Claim,"(48819, 48958)",I think it's a matter that we should continue to uh - give uh - great care and attention to.,Claim,"(48726, 48818)",Support
the Eisenhower Administration has moved,Claim,"(51920, 51959)",that is growth.,Claim,"(52323, 52338)",Support
"Senator Kennedy too often would rely too much on the federal government, on what it would do to solve our problems, to stimulate growth.",Premise,"(54987, 55123)",Where we disagree is in the means that we would use to get the most out of our economy.,Claim,"(54872, 54959)",Support
we both served in the Labor Committee.,Premise,"(16332, 16370)",our experience in uh - government is comparable.,Claim,"(16456, 16504)",Support
"After my trip to South America, I made recommendations that a separate inter-American lending agency be set up which the South American nations would like much better than a lend- than to participate in the lending agencies which treated all the countries of the world the same",Premise,"(18277, 18554)","First, after each of my foreign trips I have made recommendations that have been adopted",Premise,"(17963, 18051)",Support
