source_unique_id,target_unique_id,source_id,target_id,source_text,target_text,relation_class,year
1996_ae7953135771a6d5d2785167d7f09550,1996_3327c197efc21150042ad76984fddeef,T271,T270,there are two different things,Social Security and Medicare are entirely different in terms of the financial stabilities,Support,1996
1996_d6e81c4d3bd602c58076a8ba1cb03276,1996_061b4d2bb85744e0497219142f4b0165,T273,T274,we'd like to have a Social Security fund that has about 70 years of life instead of about 30 years of life,"What we have to do is simply to make some adjustments to take account of the fact that the baby boomers, people like me, are bigger in number than the people that went just before us and the people that come just after us",Support,1996
1996_061b4d2bb85744e0497219142f4b0165,1996_9021deb5abea507eaea49f1a0c0ddff2,T274,T275,"What we have to do is simply to make some adjustments to take account of the fact that the baby boomers, people like me, are bigger in number than the people that went just before us and the people that come just after us",I think what we'll plainly do is what we did in 1983 when Senator Dole served,Support,1996
1996_6b3b5604bc31b29cd20838dd05f2794f,1996_9021deb5abea507eaea49f1a0c0ddff2,T276,T275,this is something I think he did a good job on when he served on the Social Security commission,I think what we'll plainly do is what we did in 1983 when Senator Dole served,Support,1996
1996_fb0d0ce8a50b87336d26f2617127cb77,1996_9021deb5abea507eaea49f1a0c0ddff2,T272,T275,"Social Security is stable until, as you pointed out, at least the third decade of the next century",I think what we'll plainly do is what we did in 1983 when Senator Dole served,Support,1996
1996_8214069216cf7a2208bc27fba1c0dd0c,1996_9021deb5abea507eaea49f1a0c0ddff2,T277,T275,they made some modest changes in Social Security to make sure that it would be alive and well into the 21st century,I think what we'll plainly do is what we did in 1983 when Senator Dole served,Support,1996
1996_7d82c60f701bc12d19de5f2f1d619da3,1996_8214069216cf7a2208bc27fba1c0dd0c,T278,T277,we will do that,they made some modest changes in Social Security to make sure that it would be alive and well into the 21st century,Support,1996
1996_53e757413b59cf9cce1863992435f205,1996_771fdad2f64109386ed2c5eebf72588f,T280,T279,there are 50 or 60 different options,It's obvious that there are certain things that have to be done,Support,1996
1996_ba26bb92cdd7006bf1d0ae50dca632b0,1996_771fdad2f64109386ed2c5eebf72588f,T281,T279,"a bipartisan commission to take it out of politics, will make recommendations and build support for the people",It's obvious that there are certain things that have to be done,Support,1996
1996_cc662a0aee0d1955b8f7727dee701b54,1996_3327c197efc21150042ad76984fddeef,T282,T270,Medicare is different,Social Security and Medicare are entirely different in terms of the financial stabilities,Support,1996
1996_7ca58b17d7ad711ba654f1e9dbce41ee,1996_24235e7010aa5850f37b05adcb1a3d7a,T285,T284,That's more than it's had a lot of the time in the last years,I have proposed a budget which would put ten years on the life of the Medicare trust fund,Support,1996
1996_6640d727c9c92b06e3b5d893c8803a80,1996_24235e7010aa5850f37b05adcb1a3d7a,T283,T284,Medicare needs help now,I have proposed a budget which would put ten years on the life of the Medicare trust fund,Support,1996
1996_099d380f21e0fdba28a4f7206389da2d,1996_24235e7010aa5850f37b05adcb1a3d7a,T286,T284,"It would save a lot of money through more managed care, by giving more options, more preventative care and lowering the inflation rate",I have proposed a budget which would put ten years on the life of the Medicare trust fund,Support,1996
1996_1f5e6cdf4cf21fcad43c45efceaa8c0f,1996_24235e7010aa5850f37b05adcb1a3d7a,T287,T284,the prices we're paying providers without having the kind of big premium increases and out-of-pocket costs that the budget I vetoed would provide,I have proposed a budget which would put ten years on the life of the Medicare trust fund,Support,1996
1996_87966cb9620429b480243878cb1eef85,1996_b4dbe231ed22e1bf7863f6c0f132c693,T289,T288,have a bipartisan group look at what we have to do to save it when the baby boomers retire,that would give us ten years to do with Medicare what we're going to do with Social Security,Support,1996
1996_b4dbe231ed22e1bf7863f6c0f132c693,1996_1f5e6cdf4cf21fcad43c45efceaa8c0f,T288,T287,that would give us ten years to do with Medicare what we're going to do with Social Security,the prices we're paying providers without having the kind of big premium increases and out-of-pocket costs that the budget I vetoed would provide,Support,1996
1996_c9d7462acb511a648acedb5c7319c026,1996_24235e7010aa5850f37b05adcb1a3d7a,T290,T284,we ought to pass this budget now and put ten years on it right away so no one has to worry about it.,I have proposed a budget which would put ten years on the life of the Medicare trust fund,Support,1996
1996_fe3b36753b2e05c27236958288f0e427,1996_42f9cab287bc6c0d02c493af98f07dc2,T292,T291,"This is a political year, and the President is playing politics with Medicare","if you're somebody thinking about the future, I think it's fair to say that it'll be -- we'll work it out",Support,1996
1996_645d9ee9cd67d084411a2ac2adc14b09,1996_d0a838879d3942ee83203be0af944de4,T295,T294,It's a nonpartisan commission,"After this year is over, we'll resolve it just as we did with Social Security in `83",Support,1996
1996_f2d935e77e89144b1eae5c5a6b1f6a99,1996_645d9ee9cd67d084411a2ac2adc14b09,T296,T295,"Ronald Reagan got together with Tip O'Neill and Howard Baker, two Republicans and one Democrat",It's a nonpartisan commission,Support,1996
1996_5a0ecb68d0b33db53724f7c3f79fffbc,1996_f2d935e77e89144b1eae5c5a6b1f6a99,T297,T296,They appointed a commission I was on that commission,"Ronald Reagan got together with Tip O'Neill and Howard Baker, two Republicans and one Democrat",Support,1996
