subj,subj_type,subj_span,obj,obj_type,obj_span,relation
"We're not spending any more than is projected by the experts, unlike our opponents",Claim,"(2886, 2968)",I'm going to explain tonight how we're going to do all this and remain fiscally responsible,Claim,"(2719, 2810)",Support
"He ended up, as a result of that activity of his first term, having the top Democrat in the state, Bob Bulloch, endorse George Bush for reelection",Premise,"(57719, 57865)",democrats and independents and put them to work to achieve good things for the State of Texas,Premise,"(57516, 57609)",Support
I have a few African-American friends who have gone through this horror,Premise,"(63094, 63165)",the sad fact is that racial profiling occurs in this country,Claim,"(63032, 63092)",Support
"I have friends who are in gay and lesbian partnerships who said to me, isn't it fair",Premise,"(67445, 67529)",I support,Claim,"(23017, 23026)",Support
I have been White House Chief of Staff and ran the White House under President Ford,Premise,"(69959, 70042)",I think the areas that I would bring are the things that Governor Bush emphasized when he picked me,Claim,"(69853, 69952)",Support
here I am even the son of a man who started working the night shift on a bakery truck can end up being a candidate for Vice President of the United States,Premise,"(76986, 77140)","That says a lot about the character of this nation and the goodness of you, the American people",Claim,"(77142, 77237)",Support
I think public education is a solution,Claim,"(4948, 4986)","Our desire is to find ways to reform our educational system, to return it to its former glory",Claim,"(4988, 5081)",Support
actually the number I have received 72 cents for every $1 a man receives in a comparable job,Premise,"(13402, 13494)","fortunately, great advances have been made by women achieving the kind of equality that they were too long denied",Claim,"(13235, 13348)",Support
We want to reduce the incidence of abortion on our society,Claim,"(19844, 19902)","Governor Bush and I have emphasized while, while we are clearly both pro-life, that's what we believe",Claim,"(19741, 19842)",Support
That is a very happy ending to a terrible story,Premise,"(23865, 23912)",It's the end of a reign of terror,Claim,"(23914, 23947)",Support
"I think the role ought to be limited, there ought to be a time limit on it",Claim,"(27895, 27969)",There may be occasion when it's appropriate to use them in a peacekeeping role,Premise,"(27811, 27889)",Attack
"So much progress has been made in the original Oslo agreements between the Israelis, the Palestinians, adopted in 1993, and the peace between Israel and Jordan thereafter",Premise,"(36332, 36502)",Al Gore has played a critical role in advancing that process over the last eight years,Claim,"(36610, 36696)",Support
"effective economic sanctions, and a very robust inspection regime was in place under the U.N. auspices",Premise,"(40322, 40424)","it was able to do a good job of stripping out the capacity to build weapons of mass destruction, the work he had been doing that had not been destroyed during the war in biological and chemical agents, as well as a nuclear program",Claim,"(40429, 40659)",Support
this administration and Vice President Gore and I have had both a long-term strategy to develop energy independence and a short-term strategy,Claim,"(43981, 44122)",Not enough,Claim,"(43965, 43975)",Attack
Al Gore and I view Social Security as probably the best thing the government did in the second half -- the last century,Claim,"(52359, 52478)",I can pledge to the American people categorically that no one will lose benefits under our plan for Social Security as far forward as 2054,Claim,"(52176, 52314)",Support
We're setting aside $300 billion in a reserve fund in case the projections the nonpartisan experts make aren't quite right,Claim,"(2970, 3092)",I'm going to explain tonight how we're going to do all this and remain fiscally responsible,Claim,"(2719, 2810)",Support
he didn't point the finger of blame looking for scapegoats he was quick to share the credit,Premise,"(57626, 57717)",democrats and independents and put them to work to achieve good things for the State of Texas,Premise,"(57516, 57609)",Support
the sad fact is that racial profiling occurs in this country,Claim,"(63032, 63092)",It is such an assault on the basic promise that America makes that the law will treat individuals as individuals regardless of their status,Claim,"(62787, 62926)",Support
"We don't have legal rights to inheritance, visitation when one partner is ill, to health care benefits",Premise,"(67531, 67633)","I have friends who are in gay and lesbian partnerships who said to me, isn't it fair",Premise,"(67445, 67529)",Support
"Spent ten years in the House, eight of that in the leadership",Premise,"(70044, 70105)",I think the areas that I would bring are the things that Governor Bush emphasized when he picked me,Claim,"(69853, 69952)",Support
Put together coalitions of Republicans and Democrats,Premise,"(80569, 80621)",He will make a first rate president,Claim,"(80779, 80814)",Support
"I'm a product of public schools, my family, wife and daughters all went to public schools",Premise,"(5083, 5172)","Our desire is to find ways to reform our educational system, to return it to its former glory",Claim,"(4988, 5081)",Support
Al Gore and I have issued an economic plan in which we've stated specific goals for the future,Premise,"(13496, 13590)",one of those goals is to eliminate the pay gap between men and women,Claim,"(13596, 13664)",Support
