subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I don't see any evidence that it's a deterrent,Premise,"(1077, 1123)",I think you know that I've opposed the death penalty during all of my life,Claim,"(1001, 1075)",Support
"his campaign manager, who used to be the secretary of the treasury, was taking great credit about a year ago and asking and receiving from the Congress substantial additional funds to hire internal revenue agents to go out and collect these funds",Premise,"(47020, 47266)",we agree on this,Claim,"(47315, 47331)",Support
"George Bush, a few years ago, said that Social Security was basically a welfare system",Premise,"(51305, 51391)",I don't know which George Bush I'm listening to,Claim,"(51256, 51303)",Support
I do not want to see us go to again and Fm using this word advisedly a liberal majority that is going to legislate from the Bench,Claim,"(53017, 53146)",I would do is appoint people to the Federal Bench that will not legislate from the Bench,Claim,"(52890, 52978)",Support
they have no other income,Premise,"(55997, 56022)",two-thirds of the people in this country who receive Social Security checks live entirely on that check,Premise,"(55892, 55995)",Support
"The George Bush who was the charter member of the environmental wrecking crew that went to Washington in the early '80s and did a job on the EPA, or the one we've been seeing and listening to the past two or three months",Premise,"(66584, 66804)",I don't know which George Bush I'm talking about here or looking at,Claim,"(66515, 66582)",Support
it's not getting out because there are too few debates,Premise,"(69839, 69893)","I think we can all share, with respect, in the fact that maybe the message is not getting out",Claim,"(69740, 69833)",Attack
"every defense expert I know, including people in the Pentagon itself, will tell you that given the level of defense spending and the level of defense appropriations which the Congress has now approved and the president has signed, there's no way that you can do all of these things and do them well",Premise,"(72376, 72674)",we also need well-equipped and well-trained and well-supported conventional forces,Claim,"(72288, 72370)",Attack
I do believe in public service,Claim,"(79203, 79233)","I think you see, I am one who I get kidded by being a little old fashioned on these things",Premise,"(79107, 79197)",Attack
I don't think we can be satisfied,Claim,"(83101, 83134)",They say we should be satisfied,Premise,"(83064, 83095)",Attack
it sure did,Claim,"(6524, 6535)",It sure did,Claim,"(6537, 6548)",Equivalent
"yes, some taxes have gone up",Premise,"(7064, 7092)",I'm pledged to that,Claim,"(7039, 7058)",Attack
he is going to have to work with the Congress seriously,Claim,"(16106, 16161)",The fact of the matter is that the next president of the United States is going to have to go to the White House seriously,Claim,"(15982, 16104)",Support
they wouldn't be in the budget,Claim,"(22486, 22516)",They would not be in the budget,Claim,"(22518, 22549)",Equivalent
"I think when I think of heroes, I think back, not presently",Premise,"(30323, 30382)",there are many people who I admire in this country today,Claim,"(30393, 30449)",Attack
I would cite again Dan Quayle,Premise,"(35265, 35294)",It's gotten a little nasty,Claim,"(35204, 35230)",Support
"Barb and I lost a child, you know that we lost a daughter, Robin",Premise,"(37976, 38040)",I don't think that you make an exception based on medical knowledge at the time,Claim,"(38652, 38731)",Support
It's an example of how oftentimes we may be associated with organizations all of whose particular positions we don't support,Premise,"(41128, 41252)",I don't happen to share that goal,Claim,"(41093, 41126)",Support
I think there are better and more effective ways to deal with violent crime,Claim,"(1129, 1204)",I think you know that I've opposed the death penalty during all of my life,Claim,"(1001, 1075)",Support
"his campaign manager, who used to be the secretary of the treasury, was taking great credit about a year ago and asking and receiving from the Congress substantial additional funds to hire internal revenue agents to go out and collect these funds",Premise,"(47020, 47266)",the Vice President will probably tell you that it's going to take an army of IRS collectors again,Claim,"(46915, 47012)",Attack
"George Bush, a few years ago, said that Social Security was basically a welfare system",Premise,"(51305, 51391)",It wasn't created as a welfare program,Premise,"(49420, 49458)",Attack
who will interpret the Constitution,Claim,"(52980, 53015)",I would do is appoint people to the Federal Bench that will not legislate from the Bench,Claim,"(52890, 52978)",Support
