source_unique_id,target_unique_id,source_id,target_id,source_text,target_text,relation_class,year
1980_4119eadae57c2e0e2a774ca13a279459,1980_ec6a3a721f8001c5d0ae398b0d24791a,T27,T26,I don't know what Mr. Carter's policies are,I don't know what the differences might be,Support,1980
1980_2e197446d55c944e7a5d6b8bf4f11e8a,1980_092dbb8c64e4507625ea34c91b9daf75,T29,T28,"use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security",I believe with all my heart that our first priority must be world peace,Support,1980
1980_f26ad211a0b5c18a8b9ba1a31879218c,1980_08da02e07a907dad31bb1205128c19e3,T35,T34,America has never gotten in a war because we were too strong,to maintain that peace requires strength,Support,1980
1980_d94f1e30e460e3e4b30079512febdfa3,1980_c2f28aaba54c5d2a4a71f1f67d9edcd3,T42,T40,I'm a father of sons,"I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe",Support,1980
1980_bdcbe8e98ec68c6da4c16d06c824ac93,1980_c2f28aaba54c5d2a4a71f1f67d9edcd3,T43,T40,I have a grandson,"I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe",Support,1980
1980_1226f5ba109bb8d83c54928bad37248d,1980_c2f28aaba54c5d2a4a71f1f67d9edcd3,T41,T40,I have seen four wars in my lifetime,"I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe",Support,1980
1980_8a4b419577b672eeadb26a2f5f7c1d90,1980_8e2f76162322986140225f6efcab9ac6,T32,T31,we're the only ones that can do it,we cannot shirk our responsibility as a leader of the free world,Support,1980
1980_b5d61032895e709059c33a4a79ccca4e,1980_60477b22d86bc47ba3bfa410332fe20f,T38,T37,as they have in the last three and a half years under the foreign policies of this Administration of Mr. Carter's,We can get into a war by letting events get out of hand,Support,1980
1980_98fe31f75c65b7da009714a1348bbc63,1980_08da02e07a907dad31bb1205128c19e3,T44,T34,good management in preserving the peace requires that we control the events and try to intercept before they become a crisis,to maintain that peace requires strength,Support,1980
1980_800020c76e7bf8fdc5b8aff34bc47b80,1980_578a1bd879e067e56b9aa025cc59a4cb,T52,T53,"I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it","believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture",Support,1980
1980_800020c76e7bf8fdc5b8aff34bc47b80,1980_fc9052b40c12d6be058e5e394a6266d2,T52,T54,"I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it",it can provide for a balanced budget by 1983 if not earlier,Support,1980
1980_800020c76e7bf8fdc5b8aff34bc47b80,1980_3c0d6c582d9ee5d5802cdc4878960e0e,T52,T49,"I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it",we can afford - along with the cuts that I have proposed in Government. spending - we can afford the tax cuts I have proposed,Support,1980
1980_974d10d4e8031d12f47469589e26d2c9,1980_7b703197f9bdf42901e233791fc67515,T46,T45,I'm only reducing the amount of the increase,my tax cut does not come close to eliminating that $86 billion increase,Support,1980
1980_7b703197f9bdf42901e233791fc67515,1980_8b7c040ef11bc4d4830219024bfb3e2b,T45,T47,my tax cut does not come close to eliminating that $86 billion increase,"what I'm talking about is not putting government back to getting less money than government's been getting, but simply cutting the increase in in spending",Support,1980
1980_c2f28aaba54c5d2a4a71f1f67d9edcd3,1980_092dbb8c64e4507625ea34c91b9daf75,T40,T28,"I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe",I believe with all my heart that our first priority must be world peace,Support,1980
1980_8e2f76162322986140225f6efcab9ac6,1980_aeea113bf496d7763113210157762247,T31,T33,we cannot shirk our responsibility as a leader of the free world,the burden of maintaining the peace falls on us,Support,1980
1980_4e3b33116046369f903b3fa5c79607ca,1980_4a5c00a1c135acb954f959881781bc64,T56,T55,"I've had to make thousands of decisions since I've been President, serving in the Oval Office",I think I'm a much wiser and more experienced man than I was when I debated four years ago against President Ford,Support,1980
1980_ff46bf7c9d1d6f4f053aa6237d8e2fe8,1980_4a5c00a1c135acb954f959881781bc64,T57,T55,"with each one of those decisions that affect the future of my country, I have learned in the process",I think I'm a much wiser and more experienced man than I was when I debated four years ago against President Ford,Support,1980
1980_4a5c00a1c135acb954f959881781bc64,1980_22208825f820982667d379c9393c5dbe,T55,T51,I think I'm a much wiser and more experienced man than I was when I debated four years ago against President Ford,I've also learned that there are no simple answers to complicated questions,Support,1980
1980_22208825f820982667d379c9393c5dbe,1980_f48ae0e7f607c5fd779e32d07eabc471,T51,T3,I've also learned that there are no simple answers to complicated questions,It would be neat and plausible and wrong.,Support,1980
1980_004713e46555ea4d5ebbf49af37544c9,1980_50f271c93ca33b84eeda84b1a37b481b,T62,T61,"Seven out of eight years, the budget commitments for defense went down, 37% in all","this nation, in the eight years before I became President, had its own military strength decreased",Support,1980
1980_678cc995c15fe145158ff4e08a0463c3,1980_e81065ada2798fbea5e3760c8257d598,T48,T59,what we've done is use that enormous power and prestige and military strength of the United States to preserve the peace,"We've not only kept peace for our own country, but we've been able to extend the benefits of peace to others",Support,1980
1980_c8be6771305518c4e762a6089f283f6c,1980_e81065ada2798fbea5e3760c8257d598,T60,T59,"In the Middle East, we've worked for a peace treaty between Israel and Egypt, successfully, and have tied ourselves together with Israel and Egypt in a common defense capability","We've not only kept peace for our own country, but we've been able to extend the benefits of peace to others",Support,1980
1980_7a7b951ca2350e5a7e16e2043b5c1a9e,1980_e49302f695c17097d78f3d8584467ece,T68,T69,This is a very good step forward for our nation's security,we'll continue to do as we have done in the past,Support,1980
1980_b7f5fb5b9f59f5047355657f60760c48,1980_dbbf6e0b57a2ca65874a5bbf2e937268,T65,T64,"There are always trouble spots in the world, and how those troubled areas are addressed by a President alone in that Oval Office affects our nation directly, the involvement of the United States and also our American interests",there are decisions that are made in the Oval Office by every President which are profound in nature,Support,1980
1980_3a6e80a86374a9d4f92e270a9cbe448d,1980_cc0dedcac70d124b43a677a76a6141c1,T73,T70,We have access to facilities in five different areas of that region,we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world,Support,1980
1980_73a000c8646a0ba5c2095cb4346d3321,1980_cc0dedcac70d124b43a677a76a6141c1,T72,T70,Now we have two major carrier task forces,we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world,Support,1980
1980_2784ae2dc96c88f41e13b4c5f9ad313a,1980_eaf98324ce13e6f0f28677c944f233ff,T76,T75,not injecting American military forces into combat,we have made sure that we address this question peacefully,Support,1980
1980_a0527f2b8b43dd48c1750876a39391df,1980_2784ae2dc96c88f41e13b4c5f9ad313a,T77,T76,letting the strength of our nation be felt in a beneficial way,not injecting American military forces into combat,Support,1980
1980_c2337c4faaf19e06a8031965043d3aa0,1980_57d838ceabb014ebd3fbd10b0e872bae,T80,T79,"I would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace",I question the figure about the decline in defense spending under the two previous Administrations in the preceding eight years to this Administration,Support,1980
1980_2f3844e23a5372a5b8af40763a3abd87,1980_834873f9da99671e63344f7491ea7aa3,T89,T90,now is planning a mobile military force that can be delivered to various spots in the world,which does make me question his assaults on whether I am the one who is quick to look for use of force,Support,1980
1980_d61c725ee2220f62303c0038ca96e480,1980_a2b075bc7cafc4f7c003225f8fb24695,T97,T96,One is to control nuclear weapons,there are various elements of defense,Support,1980
1980_6359422b5fc4e6cb3940041218c61ea7,1980_a2b075bc7cafc4f7c003225f8fb24695,T98,T96,Another one is how to address troubled areas of the world,there are various elements of defense,Support,1980
1980_36b6f3a9248ae61bfa945f29eb2f65d1,1980_4aa178ba46d7ffe6346bb9364e521cc3,T92,T91,we've got to have military strength to preserve the peace,the build-up of military forces is good for our country,Support,1980
1980_cee7707f42475f7435eec464cf5c0c99,1980_5dbce3fbff7f43652813d2f4987a7f35,T93,T95,the best weapons are the ones that are never fired in combat,"Strength is imperative for peace, but the two must go hand in hand",Support,1980
1980_4aa178ba46d7ffe6346bb9364e521cc3,1980_5dbce3fbff7f43652813d2f4987a7f35,T91,T95,the build-up of military forces is good for our country,"Strength is imperative for peace, but the two must go hand in hand",Support,1980
1980_7d330ee5e1aa72dcd3d0b3865d1811ad,1980_5dbce3fbff7f43652813d2f4987a7f35,T94,T95,the best soldier is one who never has to lay his life down on the field of battle,"Strength is imperative for peace, but the two must go hand in hand",Support,1980
1980_d92957de66e63021757af7a53781d186,1980_57d838ceabb014ebd3fbd10b0e872bae,T82,T79,Gerald Ford left a five-year projected plan for a military build-up to restore our defenses,I question the figure about the decline in defense spending under the two previous Administrations in the preceding eight years to this Administration,Support,1980
1980_2d723a3fc9a4b9429a6498699ecf3d84,1980_690ea5c1a794d8f5602a1db115ddc872,T83,T5,President Carter's administration reduced that by 38%,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation",Support,1980
1980_e3fbe186ed12104a355c38588e8f8c84,1980_690ea5c1a794d8f5602a1db115ddc872,T84,T5,cut 60 ships out of the Navy building program that had been proposed,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation",Support,1980
1980_9dfa4910d04816b4c0a37b421630cef8,1980_690ea5c1a794d8f5602a1db115ddc872,T85,T5,stopped the the B-l,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation",Support,1980
1980_073139d842100899871d2e91f31a85a6,1980_690ea5c1a794d8f5602a1db115ddc872,T86,T5,delayed the cruise missile,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation",Support,1980
1980_d2d66dedfa890c4eaf746772a1bdcbef,1980_690ea5c1a794d8f5602a1db115ddc872,T87,T5,stopped the production line for the Minuteman missile,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation",Support,1980
1980_dd89d45e227444702dc68cd534b496ad,1980_690ea5c1a794d8f5602a1db115ddc872,T88,T5,stopped the Trident or delayed the Trident submarine,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation",Support,1980
1980_f775c586654a33ae262e4e73f9f57b50,1980_cc0dedcac70d124b43a677a76a6141c1,T74,T70,"in my State of the Union address earlier this year, I pointed out that any threat to the stability or security of the Persian Gulf would be a threat to the security of our own country",we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world,Support,1980
1980_22d688dfa9cb853f59d6f6d89301d16d,1980_506f66dbb6fec91d9fa2bfa11f7cccb0,T67,T66,by keeping our country at peace,That is what I have tried to do successfully,Support,1980
1980_733679c341433ed76a00fd299700e031,1980_2a80cf5353072d04643209a8ca59b3b7,T157,T156,"in the inner city areas, that in cooperation with the local government and the national Government, and using tax incentives and with cooperating with the private sector, that we have development zones",I have been talking to a number of Congressmen who have much the same idea that I have,Support,1980
1980_5aec9976b3fd2f23bfe0d186181fcd78,1980_733679c341433ed76a00fd299700e031,T158,T157,"Let the local entity, the city, declare this particular area, based on the standards of the percentage of people on welfare, unemployed, and so forth, in that area","in the inner city areas, that in cooperation with the local government and the national Government, and using tax incentives and with cooperating with the private sector, that we have development zones",Support,1980
1980_dd1f1bab9efc628154b37c17a1b518fe,1980_5aec9976b3fd2f23bfe0d186181fcd78,T159,T158,"through tax incentives, induce the creation of businesses providing jobs and so forth in those areas","Let the local entity, the city, declare this particular area, based on the standards of the percentage of people on welfare, unemployed, and so forth, in that area",Support,1980
1980_02151fb0cb9f512b8cfa6fca8460a7d8,1980_66119c7ac46be6fcca05d2ec865e19d6,T162,T1,the city isn't getting any tax from that now,"For example, a business that would not have, for a period of time, an increase in the property tax reflecting its development of the unused property that it was making wouldn't be any loss to the city",Support,1980
1980_a99f1c80c7fb3f096e22a93c3ec95ab0,1980_4102589f6f80b0742a4d1a180f9aea68,T165,T164,that wouldn't be costing Government anything either,many of the people who would then be given jobs are presently wards of the Government and it wouldn't hurt to give them a tax incentive,Support,1980
1980_66119c7ac46be6fcca05d2ec865e19d6,1980_21ee8dad1246d8a0be217c7d553beef6,T1,T174,"For example, a business that would not have, for a period of time, an increase in the property tax reflecting its development of the unused property that it was making wouldn't be any loss to the city",I think there are things to do in this regard,Support,1980
1980_4102589f6f80b0742a4d1a180f9aea68,1980_21ee8dad1246d8a0be217c7d553beef6,T164,T174,many of the people who would then be given jobs are presently wards of the Government and it wouldn't hurt to give them a tax incentive,I think there are things to do in this regard,Support,1980
1980_2b647bcede49f0800e8d0f43b8349745,1980_2b79ab36b0482da83215145b0316f944,T169,T168,"It looks like a bombed-out city - great, gaunt skeletons of buildings",You have to see it to believe it,Support,1980
1980_126612c49c4e45ff5d3feee10062e6af,1980_2b79ab36b0482da83215145b0316f944,T170,T168,Windows smashed out,You have to see it to believe it,Support,1980
1980_cfd8b47069deb4106efbe7f54490a36a,1980_2b79ab36b0482da83215145b0316f944,T171,T168,"painted on one of them ""Unkept promises;"" on another, ""Despair.""",You have to see it to believe it,Support,1980
1980_2b79ab36b0482da83215145b0316f944,1980_74461f42c6156d59033b31c6304d63a9,T168,T166,You have to see it to believe it,nothing has been done,Support,1980
1980_656aaef133cf6eccb01e17c6a8d4faec,1980_74461f42c6156d59033b31c6304d63a9,T172,T166,this was the spot at which President Carter had promised that he was going to bring in a vast program to rebuild this department,nothing has been done,Support,1980
1980_a3b16e885af86a31fee543bbd244d9de,1980_5382aa12abe94e1b122712b7480e0117,T3,T2,Nothing has been done.,"I talked to a man just briefly there who asked me one simple question: ""Do I have reason to hope that I can someday take care of my family again",Support,1980
1980_5382aa12abe94e1b122712b7480e0117,1980_74461f42c6156d59033b31c6304d63a9,T2,T166,"I talked to a man just briefly there who asked me one simple question: ""Do I have reason to hope that I can someday take care of my family again",nothing has been done,Support,1980
1980_c1766bf6b327aa3e2549febfcdf328e6,1980_d4742984c0180ae1ef77e9c0f8bae224,T177,T175,I am eternally optimistic,I believe in it,Support,1980
1980_da0da305ce6a4bf42d68cae7c6387f30,1980_d4742984c0180ae1ef77e9c0f8bae224,T176,T175,we've made great progress from the days when I was young and when this country didn't even know it had a racial problem,I believe in it,Support,1980
1980_c41b419f7ddf057ed06530de0b2e1e42,1980_d4742984c0180ae1ef77e9c0f8bae224,T4,T175,I think that something can be done from there,I believe in it,Support,1980
1980_177d86bf12331fabaa7cd6a60bd135d6,1980_c41b419f7ddf057ed06530de0b2e1e42,T181,T4,"a goal for all of us should be that one day, things will be done neither because of nor in spite of any of the differences between us - ethnic differences or racial differences, whatever they may be - that we will have total equal opportunity for all people",I think that something can be done from there,Support,1980
1980_59f9444043efe54ec0c1e8dc01b4b5b8,1980_b9d6f44478daf2a3e14c1a466bb5c6b3,T185,T178,we've had such an increase in the number of people employed,This has been a very successful effort,Support,1980
1980_a522ad6bc614e587a3f9adf6cb2e2b65,1980_59f9444043efe54ec0c1e8dc01b4b5b8,T188,T185,"Of the nine million people put to work in new jobs since I've been in office, 1.3 million of those has been among black Americans, and another million among those who speak Spanish",we've had such an increase in the number of people employed,Support,1980
1980_4c06b7478c565d8eff6f3f541fda166a,1980_4f9e9afa172696a7992640037568b29b,T189,T183,"Under the windfall profits tax, we expect to spend about $43 billion in the next 10 years to rebuild the transportation systems of our country","We now are planning to continue the revitalization program with increased commitments of rapid transit, mass transit",Support,1980
1980_0b4744ebfb58253df92be1c8fa266862,1980_a2785aa85cb748fbc73889825171f049,T190,T191,We've had a 73% increase in the allotment of Federal funds for improved education,"These are the kinds of efforts worked on a joint basis with community leaders, particularly in the minority areas of the central cities that have been deteriorating so rapidly in the past",Support,1980
1980_eb072cee7189e601a5b800fca6477d4c,1980_a2785aa85cb748fbc73889825171f049,T184,T191,We also are pursuing housing programs,"These are the kinds of efforts worked on a joint basis with community leaders, particularly in the minority areas of the central cities that have been deteriorating so rapidly in the past",Support,1980
1980_4f9e9afa172696a7992640037568b29b,1980_a2785aa85cb748fbc73889825171f049,T183,T191,"We now are planning to continue the revitalization program with increased commitments of rapid transit, mass transit","These are the kinds of efforts worked on a joint basis with community leaders, particularly in the minority areas of the central cities that have been deteriorating so rapidly in the past",Support,1980
1980_93be03ac09767fc91ff782ab0e665790,1980_f4a125f68c5a79578d0fa2e16fd186ea,T187,T186,"I have brought into the top level, top levels of government, into the White House, into administrative offices of the Executive branch, into the judicial system, highly qualified black and Spanish citizens and women who in the past had been excluded",It's very important to us that this be done with the full involvement of minority citizens,Support,1980
1980_538fc55ba4b239c043c4bfac91467273,1980_93be03ac09767fc91ff782ab0e665790,T5,T187,Those who suffered from discrimination because of race or sex certainly knew we had a racial problem,"I have brought into the top level, top levels of government, into the White House, into administrative offices of the Executive branch, into the judicial system, highly qualified black and Spanish citizens and women who in the past had been excluded",Support,1980
1980_0b4744ebfb58253df92be1c8fa266862,1980_136ed22329ff4bd74d20970bb92c1877,T190,T6,We've had a 73% increase in the allotment of Federal funds for improved education,We have gone a long way toward correcting these problems we still have a long way to go,Support,1980
1980_7f8bd9e4d3dc7f88b70a0dcf4039a659,1980_525ca52f28ca54b684dd88de3dd8668a,T195,T194,"Almost all of our citizens came here from other lands and now have hopes, which are being realized, for a better life, preserving their ethnic commitments, their family structures, their religious beliefs, preserving their relationships with their relatives in foreign countries","Ours is a nation of refugees, a nation of immigrants",Support,1980
1980_5de83ec389551bfb1ca07b6003801ffe,1980_4b827f90893abc5303503a7cc42c1486,T198,T197,"Since I've been President, I've appointed, for instance, more than twice as many black Federal judges as all previous presidents in the history of this country","In the past, those minority groups have often been excluded from participation in the affairs of government",Support,1980
1980_5de83ec389551bfb1ca07b6003801ffe,1980_68163c635fec999042d8b7753b6499d6,T198,T200,"Since I've been President, I've appointed, for instance, more than twice as many black Federal judges as all previous presidents in the history of this country",To involve them in the administration of government and the feeling that they belong to the societal structure that makes decisions in the judiciary and in the executive branch is a very important commitment which I am trying to realize and will continue to do so in the future,Support,1980
1980_60e42e2c3bce2cfb6dc58bd5d5d64379,1980_68163c635fec999042d8b7753b6499d6,T199,T200,"I've done the same thing in the appointment of women, and also Spanish-speaking Americans",To involve them in the administration of government and the feeling that they belong to the societal structure that makes decisions in the judiciary and in the executive branch is a very important commitment which I am trying to realize and will continue to do so in the future,Support,1980
1980_a9f47128a62aa91b69ffacabd578ea7d,1980_f20b1e0e8eca223f48055d7d6581aceb,T204,T205,"I wish he could have been with me when I sat with a group of teenagers who were black, and who were telling me about their unemployment problems, and that it was the minimum wage that had done away with the jobs that they once could get","indeed, every time it has increased you will find there is an increase in minority unemployment among young people",Support,1980
1980_f20b1e0e8eca223f48055d7d6581aceb,1980_4eb5a005660c21a029a3f8b526d28567,T205,T203,"indeed, every time it has increased you will find there is an increase in minority unemployment among young people",I have been in favor of a separate minimum for them,Support,1980
