subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I have traveled to forty-eight of the fifty states,Premise,"(1623, 1673)",in my travels I have learned what the people of the United States are thinking about,Claim,"(1678, 1762)",Support
"if we were to follow that recommendation, that we would lose all of our friends in Latin America, we would probably be condemned in the United Nations, and we would not accomplish our objective",Claim,"(18720, 18913)",I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign,Claim,"(17652, 17872)",Support
This is a decision that the president of the United States must make,Premise,"(22781, 22849)","I don't think it's a wise idea for presidential candidates to appoint the members of his cabinet prospectively, or to suggest four people - indicate that one of them surely will be appointed",Claim,"(22589, 22779)",Support
"I, of course, pay attention to everything Senator Kennedy says, as well as Senator Fulbright",Premise,"(26452, 26544)",I naturally am aware of it,Claim,"(26416, 26442)",Support
"I think we should go back to Geneva, who's ever elected president, Mr. Nixon or myself, and try once again",Claim,"(32009, 32115)",I think the next president of the United States should make one last effort to secure an agreement on the cessation of tests,Claim,"(31871, 31995)",Support
"If we build up the hopes of the world by having a summit conference that is not adequately prepared, and then, if Mr. Khrushchev finds some excuse for breaking it up - as he did this one - because he isn't going to get his way - we'd set back the cause of peace",Claim,"(36800, 37061)","I don't believe we should go to a summit conference unless we have such an agenda, unless we have some reasonable insur- assurance from Mr. Khrushchev that he intends seriously to negotiate on those points",Claim,"(36494, 36699)",Support
I suggested that we amend our legislation so that we could enjoy closer economic ties,Premise,"(40905, 40990)","I've been critical of the Administration's failure to suggest policies which would make it possible for us to establish, for example, closer relations with Poland, particularly after the fifty-five-fifty-six period and the Hungarian revolution",Premise,"(40416, 40659)",Support
he voted for the resolution in 1955 which gave the president the power to use the forces of the United States to defend Formosa and the offshore islands,Premise,"(45998, 46150)",Senator Kennedy has got to be consistent here,Claim,"(46547, 46592)",Support
I served it uh - in the war,Premise,"(50903, 50930)",I'm devoted to it,Claim,"(50932, 50949)",Support
in my travels I have learned what the people of the United States are thinking about,Claim,"(1678, 1762)",There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement,Claim,"(2267, 2391)",Support
"It would be an open invitation for Mr. Khrushchev to come in, to come into Latin America and to engage us in what would be a civil war, and possibly even worse than that",Premise,"(18938, 19107)",I think that Senator Kennedy's policies and recommendations for the handling of the Castro regime are probably the most dangers- dangerously irresponsible recommendations that he's made during the course of this campaign,Claim,"(17652, 17872)",Support
The last candidate who indicated that he knew who his cabinet was going to be was Mr. Dewey in 1948,Premise,"(22851, 22950)","I don't think it's a wise idea for presidential candidates to appoint the members of his cabinet prospectively, or to suggest four people - indicate that one of them surely will be appointed",Claim,"(22589, 22779)",Support
"the report to which Senator Kennedy refers is one that was made many, many months ago and related particularly to the uh - period immediately after Sputnik",Premise,"(26644, 26799)",the facts simply aren't as stated,Claim,"(26595, 26628)",Support
one more effort should be made,Claim,"(32763, 32793)",I think the next president of the United States should make one last effort to secure an agreement on the cessation of tests,Claim,"(31871, 31995)",Equivalent
We do not help it,Claim,"(37063, 37080)","If we build up the hopes of the world by having a summit conference that is not adequately prepared, and then, if Mr. Khrushchev finds some excuse for breaking it up - as he did this one - because he isn't going to get his way - we'd set back the cause of peace",Claim,"(36800, 37061)",Support
Eastern Europe is the area of vulnerability of the uh - s- of the Soviet Union,Claim,"(41191, 41269)","One of the areas, and of course the most vulnerable area is - I have felt, has been Eastern Europe",Claim,"(40316, 40414)",Support
"he also voted then for an amendment - which was lost, fortunately - an amendment which would have drawn a line and left out those islands and denied the p- right to the president to defend those islands if he thought that it was an attack on Formosa",Premise,"(46156, 46405)",Senator Kennedy has got to be consistent here,Claim,"(46547, 46592)",Support
I uh - said that I've served this country for fourteen years,Premise,"(50841, 50901)",I'm devoted to it,Claim,"(50932, 50949)",Support
"I believe there are certain principles we must find in dealing with him and his colleagues - principles, if followed, that will keep the peace and that also can extend freedom",Claim,"(2612, 2787)","if we are to have peace, we must know how to deal with the Communists and their leaders",Claim,"(2407, 2494)",Support
"We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise",Premise,"(18109, 18375)","if we were to follow that recommendation, that we would lose all of our friends in Latin America, we would probably be condemned in the United Nations, and we would not accomplish our objective",Claim,"(18720, 18913)",Support
This is a race between the Vice President and myself for the presidency of the United States,Premise,"(22952, 23044)",I've made no judgment about who should be secretary of state,Premise,"(23110, 23170)",Support
"as far as this report is concerned, I would have no objection to having it made public",Premise,"(26809, 26895)",the facts simply aren't as stated,Claim,"(26595, 26628)",Support
"I hope we can come to an agreement because it does not merely involve now the United States, Britain, France, and the Soviet Union as atomic powers",Premise,"(32180, 32327)",I think the next president of the United States should make one last effort to secure an agreement on the cessation of tests,Claim,"(31871, 31995)",Support
the Soviet Union simply doesn't intend to carry out what they say,Premise,"(37786, 37851)","so far as the summit conference is concerned, it should only be entered in upon, it should only be agreed upon, if the negotiations have reached the point that we have some reasonable assurance that something is going to come out of it, other than some phony spirit - a spirit of Geneva, or Camp David, or whatever it is",Claim,"(37363, 37683)",Support
We indicated at that time that we were not going to intervene militarily,Premise,"(40661, 40733)","One of the areas, and of course the most vulnerable area is - I have felt, has been Eastern Europe",Claim,"(40316, 40414)",Support
Senator Kennedy has got to be consistent here,Claim,"(46547, 46592)",the issue will stay with us as a campaign issue just as long as Senator Kennedy persists in what I think is a fundamental error,Claim,"(45748, 45875)",Support
"If I lose this election, I will continue in the Senate to try to build a stronger country",Claim,"(50951, 51040)",I'm devoted to it,Claim,"(50932, 50949)",Support
There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement,Claim,"(2267, 2391)","if we are to have peace, we must know how to deal with the Communists and their leaders",Claim,"(2407, 2494)",Support
"The charter of the United Nations - its Preamble, Article I and Article II - also provide that there shall be no intervention by one nation in the internal affairs of another",Premise,"(18377, 18551)","if we were to follow that recommendation, that we would lose all of our friends in Latin America, we would probably be condemned in the United Nations, and we would not accomplish our objective",Claim,"(18720, 18913)",Support
"I think that judgment could be made after election, if I'm successful",Claim,"(23172, 23241)","I don't think it's a wise idea for presidential candidates to appoint the members of his cabinet prospectively, or to suggest four people - indicate that one of them surely will be appointed",Claim,"(22589, 22779)",Equivalent
"we've had twenty-eight successful shots, they've had eight",Premise,"(27407, 27465)",the fact of the matter is that the space score today is twenty-eight to eight,Premise,"(27327, 27404)",Support
"new breakthroughs in atomic energy technology there's some indications that by the time the next president's term of office has come to an end, there may be ten, fifteen, or twenty countries with an atomic capacity, perhaps that many testing bombs with all the effect that it could have on the atmosphere and with all the chances that more and more countries will have an atomic capacity, with more and more chance of war",Premise,"(32337, 32758)","I hope we can come to an agreement because it does not merely involve now the United States, Britain, France, and the Soviet Union as atomic powers",Premise,"(32180, 32327)",Support
until we see what Mr. Khrushchev does and what he says uh - we cannot indicate what our plans will be,Premise,"(37947, 38048)",I cannot be more precise than that,Claim,"(37903, 37937)",Support
"They are now engaged in a debate over whether war is the means of Communizing the world or whether they should use subversion, infiltration, economic struggles and all the rest",Premise,"(41321, 41497)",the relations between Russia and China,Claim,"(41281, 41319)",Support
He says that he voted for the resolution,Premise,"(45923, 45963)",He says he supports the President's position,Premise,"(45877, 45921)",Support
We're using about fifty percent of our steel capacity today,Premise,"(51399, 51458)","My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world",Claim,"(51266, 51392)",Support
we cannot afford to make the mistakes of the past,Premise,"(2836, 2885)",we have to learn from the past,Claim,"(2796, 2826)",Support
We're quarantining him diplomatically by bringing back our Ambassador; economically by cutting off trade,Premise,"(19467, 19571)",We are quarantining Mr. Castro today,Premise,"(19429, 19465)",Support
This is a decision that the president of the United States must make,Premise,"(22781, 22849)",I've made no judgment about who should be secretary of state,Premise,"(23110, 23170)",Support
the fact of the matter is that the space score today is twenty-eight to eight,Premise,"(27327, 27404)",the United States is second in space,Claim,"(27286, 27322)",Attack
"I hope we can come to an agreement because it does not merely involve now the United States, Britain, France, and the Soviet Union as atomic powers",Premise,"(32180, 32327)",one more effort should be made,Claim,"(32763, 32793)",Support
"The Soviet Union refused to agree to that, and we went to the summit and it was disastrous",Premise,"(38496, 38586)","I believe we should not go to the summit until there is some reason to believe that a meeting of minds can be obtained on either Berlin, outer space, or general disarmament - including nuclear testing",Claim,"(38588, 38788)",Support
"If those two powers should split, it could have great effects throughout the entire world",Premise,"(41629, 41718)",I think the next president of the United States should watch it carefully,Claim,"(41554, 41627)",Support
I have opposed drawing a line,Claim,"(47433, 47462)",I have always opposed drawing a line,Claim,"(47395, 47431)",Equivalent
"My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world",Claim,"(51266, 51392)","I believe this year the United States has a great opportunity to make a move forward, to make a determination here at home and around the world, that it's going to reestablish itself as a vigorous society",Claim,"(51060, 51264)",Support
We ended the Korean War,Premise,"(3251, 3274)","In the past seven years, in President Eisenhower's Administration, this situation has been reversed",Premise,"(3150, 3249)",Support
The result was that the Guatemalan people themselves eventually rose up and they threw him out,Premise,"(19333, 19427)",we can do what we did with Guatemala,Claim,"(19185, 19221)",Support
"The people have to make a choice between Mr. Nixon and myself, between the Republican party and the Democratic party, between our approach to the problems which now disturb us as a nation and disturb us as a world power",Premise,"(23243, 23462)",This is a race between the Vice President and myself for the presidency of the United States,Premise,"(22952, 23044)",Support
I have seen Soviet education and I've seen ours,Premise,"(27518, 27565)",were not,Claim,"(3464, 3472)",Support
They can be carried out underground,Premise,"(32932, 32967)",I don't think that even if that effort fails that it will be necessary to carry on tests in the atmosphere which pollute the atmosphere,Claim,"(32795, 32930)",Support
He also expressed the hope that there should be some understanding of the general situation in Berlin,Premise,"(38393, 38494)","I believe we should not go to the summit until there is some reason to believe that a meeting of minds can be obtained on either Berlin, outer space, or general disarmament - including nuclear testing",Claim,"(38588, 38788)",Support
India started from about the same place that China did,Premise,"(41816, 41870)",I believe that India represents a great area for affirmative action by the free world,Claim,"(41729, 41814)",Support
"I know that the moment you draw a line, that is an encouragement for the Communists to attack - to step up their blackmail and to force you into the war that none of us want",Premise,"(47471, 47644)",I have opposed drawing a line,Claim,"(47433, 47462)",Support
We had a recession in fifty-eight,Premise,"(51460, 51493)","My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world",Claim,"(51266, 51392)",Support
"by strong, firm leadership we have kept out of other wars",Premise,"(3276, 3333)","In the past seven years, in President Eisenhower's Administration, this situation has been reversed",Premise,"(3150, 3249)",Support
We are cutting off the significant items that the Cuban regime needs in order to survive,Premise,"(19691, 19779)",Senator Kennedy's suggestion that the trade that we cut off is not significant is just one hundred percent wrong,Claim,"(19577, 19689)",Support
"The president bears the constitutional responsibility, not the secretary of state, for the conduct of foreign affairs",Premise,"(23464, 23581)","The people have to make a choice between Mr. Nixon and myself, between the Republican party and the Democratic party, between our approach to the problems which now disturb us as a nation and disturb us as a world power",Premise,"(23243, 23462)",Support
were not,Claim,"(3464, 3472)",when he states that we're second in education,Claim,"(27467, 27512)",Attack
they c- could be carried on in outer space,Premise,"(32969, 33011)",I don't think that even if that effort fails that it will be necessary to carry on tests in the atmosphere which pollute the atmosphere,Claim,"(32795, 32930)",Support
