source_unique_id,target_unique_id,source_id,target_id,source_text,target_text,relation_class,year
1988_7d00f42e4cf6ef298978cf1c27ccd318,1988_77110f04678f0c02923b36ef0c4f7e0b,T2,T3,they wouldn't be in the budget,They would not be in the budget,Equivalent,1988
1988_748d0e58b4405e784e6c10eff1d9d9c1,1988_7d00f42e4cf6ef298978cf1c27ccd318,T1,T2,If I knew of three new weapons systems that I thought were purely waste and weren't protected by the Congress,they wouldn't be in the budget,Support,1988
1988_bf054fb38de2fee134165012b5d123e1,1988_f79bba06f64bf5d7fb4369e3db2b3eba,T4,T5,"I'll give you one, that HMET, that heavy truck, that's cost what is it $850 million and the Pentagon didn't request it and, yet, a member of Congress, a very powerful one, put it in the budget",I think we can save money through this whole very sophisticated concept,Support,1988
1988_fcc88625a7dad9aa19ca30884f019a04,1988_e581f20a1dfabda845f88371662dde13,T15,T16,we're protecting a couple of options in terms of modernizing our strategic forces,My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with,Support,1988
1988_bf671b8496550e1a8def28422412c5bb,1988_e581f20a1dfabda845f88371662dde13,T14,T16,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks,My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with,Support,1988
1988_645e71c5e2eed342a24f306a01285c26,1988_e581f20a1dfabda845f88371662dde13,T17,T16,we are protecting both of them,My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with,Support,1988
1988_80ba130f6ac8071a2db33df49d8468e4,1988_e35d4e4f44b75f2741dbabbcd01f396a,T19,T22,I just think it would be dumb negotiating policy with the Soviets to cut out one or the other of the two options right now,"we can't simply we've got enough nuclear weapons, let's freeze",Support,1988
1988_7283f957bc0ee6885fd9d5cda4ffbeec,1988_e35d4e4f44b75f2741dbabbcd01f396a,T20,T22,The Soviets are modernizing,"we can't simply we've got enough nuclear weapons, let's freeze",Support,1988
1988_9e87c708d6aa34a26d4e8976dee7cf88,1988_e35d4e4f44b75f2741dbabbcd01f396a,T21,T22,They continue to modernize,"we can't simply we've got enough nuclear weapons, let's freeze",Support,1988
1988_1e70944ef224fd2180f770799c7fea98,1988_80ba130f6ac8071a2db33df49d8468e4,T18,T19,We are moving forward with negotiations,I just think it would be dumb negotiating policy with the Soviets to cut out one or the other of the two options right now,Support,1988
