subj,subj_type,subj_span,obj,obj_type,obj_span,relation
we want to have more arms control and arms reductions,Premise,"(2886, 2939)",These are important issues,Claim,"(2850, 2876)",Support
"The situation is that if I was called upon to serve as the president of this country, or the responsibilities of the president of this country, would I be capable and qualified to do that?",Premise,"(42841, 43029)",I don't believe that it's proper for me to get into the specifics of a hypothetical situation like that,Claim,"(42736, 42839)",Support
which burns a lot cleaner,Premise,"(47296, 47321)","I think what you can do in that one, and which would be very helpful, is to use a lot more natural gas",Claim,"(47192, 47294)",Support
I will know them on a firsthand basis,Claim,"(54278, 54315)",I will know them on a firsthand basis,Claim,"(54278, 54315)",Equivalent
one of the accomplishments I'm proudest of is the authorship of the Job Training Partnership Act that has trained and educated and employed over three million young people and adults that are economically disadvantaged,Premise,"(60175, 60393)","what we have been able to do is establish a program that is working, that is putting people back to work",Claim,"(60763, 60867)",Support
I have,Claim,"(2131, 2137)",somehow I haven't been straightforward,Premise,"(66590, 66628)",Attack
"I've dealt with many a president, and I don't hesitate for a minute to speak up",Claim,"(73896, 73975)","I've seen many chief executives come into my office and say they're going over and tell the president of the United States off, they're going to pound the desk, and go into that office and turn to Jello",Premise,"(73687, 73889)",Attack
"They've always believed in higher taxes; they always have, and they always will",Premise,"(79749, 79828)","The road of Michael Dukakis comes down to this: Bigger government, higher taxes",Claim,"(79668, 79747)",Support
At that point they tried a $40-billion end run to cut Social Security,Premise,"(9172, 9241)",the record is clear,Claim,"(9248, 9267)",Support
I have a record where I voted for the superfund legislation,Premise,"(11495, 11554)",I have a very strong record on the environment in the United States Senate,Claim,"(11408, 11482)",Support
"they were glad that I took time out of my schedule to go down and to talk about how we are going to get a food bank going and making sure that a food bank goes in Fort Wayne, Indiana",Premise,"(14986, 15168)","You may be surprised, Tom, they didn't ask me those questions on those votes",Claim,"(14900, 14976)",Support
I really think we have to give peace a chance,Claim,"(18388, 18433)","that's why I have been a strong supporter of the Arias plan, a plan that won the Nobel Prize for President Arias, the President of Costa Rica",Claim,"(18439, 18580)",Support
"you have to remember that PAC money is the result of the last campaign reform bill, one that talks about employees have greater participation",Premise,"(22103, 22244)",I don't find it embarrassing at all,Claim,"(22058, 22093)",Support
I disagree with that,Claim,"(28908, 28928)","The premise of your question, John, is that somehow this administration has been lax in enforcement of the OSHA regulations",Premise,"(28779, 28902)",Attack
"if you let me write $200 billion worth of hot checks every year, I could give you an illusion of prosperity, too",Claim,"(35831, 35943)","This is an administration that has more than doubled the national debt, and they've done that in less than eight years",Claim,"(35969, 36087)",Support
The military aspect of the drug problem is being addressed,Premise,"(39425, 39483)","As a matter of fact, we are using the Department of Defense in a coordinated effort, in reconnaissance",Premise,"(39485, 39587)",Support
Qualifications for the office of Vice President or President are not age alone,Premise,"(1984, 2062)","The question goes to whether I am qualified to be Vice President, and in the case of a tragedy, whether I'm qualified to be President",Claim,"(1849, 1982)",Support
I know what it takes to lead this country forward,Claim,"(43507, 43556)","if that situation arises, yes, I will be prepared, and I will be prepared to lead this country, if that happens",Claim,"(43562, 43673)",Support
what Mike Dukakis has said is that he'll try to break down those regulatory roadblocks that you have in the regulatory agency that denies much of the passage of that natural gas to the northeast,Premise,"(47327, 47521)","I think what you can do in that one, and which would be very helpful, is to use a lot more natural gas",Claim,"(47192, 47294)",Support
as vice president I will sit on the National Security Council,Claim,"(54325, 54386)",I will know them on a firsthand basis,Claim,"(54278, 54315)",Support
we did it in a way that we got the private sector to involve itself with the public sector on private industry councils throughout America that serve over the service delivery areas,Premise,"(60399, 60580)",one of the accomplishments I'm proudest of is the authorship of the Job Training Partnership Act that has trained and educated and employed over three million young people and adults that are economically disadvantaged,Premise,"(60175, 60393)",Support
"Thousands of journalists have asked every professor I've had, all my teachers",Premise,"(67671, 67748)",I have never professed to be anything but an average student,Claim,"(67769, 67829)",Support
"I've dealt with many a president, and I don't hesitate for a minute to speak up",Claim,"(73896, 73975)","I think it's part of the strength and the character of this land that he reaches out, and that he wants someone that will speak up",Claim,"(73536, 73666)",Support
Cuts in national defense,Premise,"(79830, 79854)","The road of Michael Dukakis comes down to this: Bigger government, higher taxes",Claim,"(79668, 79747)",Support
"when you talk about Social Security, the people that are going to protect it are the Democrats that brought forth that program",Claim,"(9511, 9637)",I think it's very important that we not see these kinds of end runs by this administration,Claim,"(9643, 9733)",Support
I have a record where I voted against my president on the override of the Clean Water Act,Premise,"(11556, 11645)",I have a very strong record on the environment in the United States Senate,Claim,"(11408, 11482)",Support
"I have met with those people, and I met with them in Fort Wayne, Indiana, at a food bank",Premise,"(14810, 14898)","I have a very good record and a commitment to the poor, to those that don't have a family, that want to have a family",Premise,"(15174, 15291)",Support
"in concentrating so much just on the Contras, this Administration has not paid enough attention to the rest of Central America",Premise,"(18836, 18962)","I believe you have to work with the leaders of those other Central American countries to try to bring about the democratization of Nicaragua - by negotiation, by pressure, by counseling, by diplomatic pressure, that we ought to be trying that first",Claim,"(18582, 18830)",Attack
what I've done in PAC money is just what my opponent in my campaign has done in his campaign,Premise,"(22250, 22342)",I don't find it embarrassing at all,Claim,"(22058, 22093)",Support
"let me tell you this for the record, when we have found violations in this administration, there has not only been tough enforcement, but there have been the most severe penalties - the largest penalties in the history of the Department of Labor - have been levied when these violations have been found",Premise,"(29105, 29407)",I disagree with that,Claim,"(28908, 28928)",Support
They have taken this country from the No. 1 lender nation in the world to the No. 1 debtor nation in the world,Premise,"(36089, 36199)","This is an administration that has more than doubled the national debt, and they've done that in less than eight years",Claim,"(35969, 36087)",Support
We are using our military assets in a prudent way to deal with interdiction,Premise,"(39689, 39764)",I don't believe that we are going to turn the Department of Defense into a police organization,Claim,"(39593, 39687)",Support
You must look at accomplishments,Premise,"(2064, 2096)",Qualifications for the office of Vice President or President are not age alone,Premise,"(1984, 2062)",Support
I have served in the Congress for twelve years,Premise,"(43119, 43165)",I've tried to list the qualifications of twelve years in the United States Congress,Premise,"(43034, 43117)",Support
"a way, in turn, can fight against acid rain which is another threat",Premise,"(47523, 47590)",what Mike Dukakis has said is that he'll try to break down those regulatory roadblocks that you have in the regulatory agency that denies much of the passage of that natural gas to the northeast,Premise,"(47327, 47521)",Support
I'm going to be coordinating the drug effort,Claim,"(54439, 54483)",I will know them on a firsthand basis,Claim,"(54278, 54315)",Support
We have 51 percent of that private industry council that are businessmen and women,Premise,"(60582, 60664)",we did it in a way that we got the private sector to involve itself with the public sector on private industry councils throughout America that serve over the service delivery areas,Premise,"(60399, 60580)",Support
I have never said I was anything more than that,Claim,"(67831, 67878)",I have never professed to be anything but an average student,Claim,"(67769, 67829)",Support
