unique_id,id,year,text,label
1976_ebcad572cb989df373801dac5d4b97ec,T1,1976,SALT I expires October third 1977,Claim
1976_65f0f793b43cce761808e118ce4fbf93,T2,1976,Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985,Claim
1976_1046a590531323d3442328ff90af2ccd,T3,1976,we did agree on a twenty-four-hundred limitation on uh - uh - launchers of ballistic missiles,Premise
1976_35246f333dee851906b4eec414b0a060,T4,1976,that would mean a cutback in the Soviet program; it would not interfere with our own program,Premise
1976_55f20f397b181751a3e8506e2e5e80a5,T5,1976,we put a limitation of thirteen hundred and twenty on MIRVs,Premise
1976_4241ea353dbcd806ec33d8f1454b8a08,T6,1976,"Our technicians have been working since that time in Geneva, trying to put into technical language a - an agreement that can be verified by both parties",Premise
1976_e867ec0ed3ec2ec3c459e13badc6e674,T7,1976,there has developed the problem of the Soviet Backfire - their high-performance aircraft which they say is not a long-range aircraft and which some of our people say is a intercontinental aircraft,Claim
1976_12b8b992b1185939d1ca7214221a7e84,T8,1976,"there has been the development on our part primarily, the cruise missiles; cruise missiles that could be launched from land-based mobile installations; cruise missiles that could be launched - launched from high-performance aircraft, like the B-52s or the B-1s, which I hope we proceed with; cruise missiles which could be launched from either surface or submarine uh - naval vessels",Claim
1976_145930700aa21a5b4765c8363c0d754d,T9,1976,Those gray-area weapons systems are creating some problems in a - the agreement for a SALT II negotiation,Claim
1976_9ec0621212ffb4b621dfb3c2c83498d1,T10,1976,"I met just last week with the foreign minister of the Soviet Union, and he indicated to me that uh - the Soviet Union was interested in narrowing the differences and making a realistic and a sound compromise",Claim
1976_3cc70f1cf862d57e9366b137c08d700a,T11,1976,"I hope and trust, in the best interest of both countries, and in the best interests of all people throughout this globe",Claim
1976_bdfc9935a02fba9fcbde24bd8f22f8a2,T12,1976,the Soviet Union and the United States can make a mutually beneficial agreement,Claim
1976_79baf2c57785a8bb9e5c59149f24419b,T13,1976,That is one of the major challenges and major undertakings that I will assume as the next president,Claim
1976_59cdd25ac3534c8e0272b42fdd90fc47,T14,1976,This has got to be stopped,Claim
1976_a2d0006680ebeae12b1109c8d45ba52f,T15,1976,If we continue under Mr. Ford's policy by 1985 or '90 we'll have twenty nations that have the capability of exploding atomic weapons,Claim
1976_058302dc8af72eed3021e667ed0b0b25,T16,1976,We now have five nations that have atomic bombs that we know about,Claim
1976_d9beab89dd58509a952a1172e61925ab,T17,1976,This kind of confusion and absence of leadership has let us drift now for two years with a constantly increasing threat of atomic weapons throughout the world,Claim
1976_dc88ac8a7f05435f1f3a6e0b2e009fe0,T18,1976,"Mr. Ford, again, under pressure from the atomic energy lobby, has insisted that this reprocessing or rather re-en- enrichment be done by private industry and not by the existing uh - government uh - plants",Claim
1976_64aaf2466cd757c2d4f4b75c862dc7f8,T19,1976,We also need to provide an adequate supply of enriched uranium,Claim
1976_a631ce88c4255b3cefe2f905ecd8943c,T20,1976,Mr. Ford hasn't moved on this,Claim
1976_5754a092756f907d72393b9a77c9b46c,T21,1976,I've also advocated that we stop the sale by Germany and France of - processing plants for Pakistan and Brazil,Premise
1976_a1cdea11047bed2c065a79397436e131,T22,1976,"I advocated last May in a speech at the United Nations that we move immediately as a nation to declare a complete moratorium on the testing of all nuclear devices, both weapons and peaceful devices",Premise
1976_4d07278dca5bf3feaa7d6070f5ea9d9f,T23,1976,we not ship any more atomic fuel to a country that refuses to comply with strict controls over the waste which can be reprocessed into explosives,Premise
1976_7f0721f7bbb8a6c7ebae513f7666a567,T24,1976,Mr. Ford taken any interest in a nonproliferation movement,Claim
1976_63ec73fc4e89b11446f6db1e06503bf9,T25,1976,the nonproliferation of atomic weapons is number one,Claim
1976_fc4e1b2548cb9418b74077992f267512,T26,1976,I know the limitations and capabilities of atomic power,Claim
1976_19b3406fd345f10b9c98916c32ddda97,T27,1976,"He has learned the date of the expiration of SALT I, apparently",Claim
1976_cf0ad60a9940ed64476eab11da96c3a6,T28,1976,"He's been in office two years, and there has been absolutely no progress made toward a new SALT agreement",Claim
1976_022dbfc2facd960cc4ce575add1486d3,T29,1976,Mr. Ford acts like he's uh - running for president for the first time,Claim
1976_0014986f8894075f334f4887c3a7bd5c,T30,1976,"I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties",Claim
1976_c2f43ba9ceead584bd4879a4581d791d,T31,1976,"I really believe that it - it's far better for us and for the Soviet Union, and more importantly for the people around the world, that these two superpowers find an answer for a SALT II agreement before October three, 1977",Claim
1976_a25116417f04213edfe83068212c7033,T32,1976,"we have to make certain that the Soviet Union's Backfire, which they claim is not an intercontinental aircraft and which some of our people contend is, must also be included if we are to get the kind of agreement which is in the best interest of both countries",Claim
1976_e77ddc86f26713d83212152a7ac6e39d,T33,1976,"They are a new weapons system that has a great potential, both conventional and nuclear armed",Premise
1976_5bbd609f11861c0cedb641387a59cd89,T34,1976,"I believe that the cruise missiles which we are now developing in research and development across the spectrum from air, from the sea, or from the land, uh - can be uh - included within a SALT II agreement",Claim
1976_fe60a2754bd910da419935a30213662e,T35,1976,it's the obligation of the president to do just that,Claim
1976_cfa84c0cfe45c21f061a58f4c60354cf,T36,1976,"if we do not and SALT I expires on October three, 1977, you will unleash again an all-out nuclear arms race with the potential of a nuclear holocaust of unbelievable dimensions",Claim
1976_1bace3cc522ae9a06d38759928dc5522,T37,1976,I intend to do so,Claim
1976_ae476d260ca6919d443350073c2accf0,T38,1976,"We've seen, in this world, a development of a tremendous threat to us",Claim
1976_17b3b7727272ee018146be74feeb55cb,T1,1976,it's not just campaign rhetoric,Claim
1976_a0e5c4969f4a59fb0b879de83e242de0,T2,1976,I think that militarily we are as strong as any nation on earth,Claim
1976_8c932fb98ffe96ea3e181e5d79ae6357,T3,1976,I think we got to stay that way and continue to increase our capabilities to meet any potential threat,Claim
1976_df49271a307147a94de4d96e66dd6e3b,T4,1976,as far as strength derived from commitment to principles,Premise
1976_f550efc53e3940ace633afc2d3eefa4b,T5,1976,as far as strength derived from the unity within our country,Premise
1976_158edaf1922b2b6281ffbba683c5c298,T6,1976,"as far as strength derived from the people, the Congress, the secretary of state, the president, sharing in the evolution and carrying-out of a foreign policy, as far as strength derived from the respect of our own allies and friends, their assurance that we will be staunch in our commitment, that we will not deviate and that we'll give them adequate attention",Premise
1976_aaf4414a117386806cff0c0b58253034,T7,1976,"as far as - as strength derived from doing what's right - caring for the poor, providing food, becoming the breadbasket of the world instead of the arms merchant of the world",Premise
1976_b2158f7679887d5b881c0880dcc19cec,T8,1976,"in those respects, we're not strong",Claim
1976_dca4cfedd1a1c69c814361fe9c3bda35,T9,1976,"we'll never be strong again overseas, unless we're strong at home",Claim
1976_d9229e3ab675b4c8b67d2320c0eb2a46,T10,1976,with our economy in such terrible disarray and getting worse by the month,Premise
1976_1becfd6fc7e0ed490bb84b15b08b0946,T11,1976,We've got five-hundred thousand more Americans unemployed today than we had three months ago,Premise
1976_b66394ab4025e8ba58b7328e11fdabad,T12,1976,We've got two and a half million more Americans out of work now than we had when Mr. Ford took office,Premise
1976_1b21e47bcc2a1ad48a0140a06efe8087,T13,1976,This kind of deterioration in our economic strength is bound to weaken us around the world,Claim
1976_e00ede00817dd30a1576eea9d8eb1d31,T14,1976,we not only have uh problems at home but we export those problems overseas,Claim
1976_d4793f6c49872fcae73a969fbbb23b20,T15,1976,as far as the respect of our own people toward our own government,Premise
1976_2680c068a0eaf809e33cae16f48a20f4,T16,1976,as far as participating in the shaping of uh - concepts and commitments,Premise
1976_bc9a2accd4830d29b144b13176595e7b,T17,1976,as far as the trust of our country among the nations of the world,Premise
1976_d37a70cfd549d4bf99ac1d6a628b1c79,T18,1976,as far as dependence of our country in meeting the needs and obligations that we've expressed to our allies,Premise
1976_544f2907eb7a362776a5e407d77ddd75,T19,1976,as far as the respect of our country - even among our potential adversaries,Premise
1976_ec106a10ce2340d27d40199f72df94ef,T20,1976,we are weak,Claim
1976_09ba99db0bd088575eb97c050919466f,T21,1976,Potentially we're strong,Claim
1976_384d661f20b4bad57e80c9d1e4ffaea3,T22,1976,Under this administration that strength has not been realized,Claim
1976_00aa5cd0109ca3e96916e4b69a01bacc,T23,1976,"I must remind him that we're at peace and during the period that he brags about unemployment being low, the United States was at war",Premise
1976_4649b11fd56d034ac4c2041d96e0c179,T24,1976,"I have recommended to the Congress that we develop the uranium enrichment plant at Portsmouth, Ohio, which is a publicly owned - U.S. government facility and have indicated that the private program which would follow on in Alabama is one that may or may not uhh - be constructed",Premise
1976_b89b208d76863bed99140424e77ebb16,T25,1976,"I am committed to the one at Portsmouth, Ohio",Premise
1976_a1813ff9002ac70d89f50f68614e3fd1,T26,1976,The foreign policy of the United States meets the highest standards of morality,Claim
1976_e4cef5c283296a5d876411a522900583,T27,1976,"What is more moral than peace, and the United States is at peace today?",Premise
1976_e4df4e25d4ca1266d508c878f36799d9,T28,1976,What is more moral in foreign policy than for the administration to take the lead in the World Food Conference in Rome in 1974 when the United States committed six million metric tons of food - over 60 percent of the food committed for the disadvantaged and underdeveloped nations of the world?,Premise
1976_2ddca3f7473d898f675755c94b381372,T29,1976,The Ford administration wants to eradicate hunger and disease in our underdeveloped countries throughout the world,Claim
1976_fc1ce8db6546879513c63a67ceaf687c,T30,1976,"What is more moral than for the United States under the Ford administration to take the lead in southern Africa, in the Middle East?",Premise
1976_6f0e861a19410f143989ba154f7636a3,T31,1976,Those are initiatives in foreign policy which are of the highest moral standard and that is indicative of the foreign policy of this country,Premise
1976_8afd250b1e8926cff97519d639b22ea5,T32,1976,brags about the unemployment during Democratic administrations and condemns the unemployment at the present time.,Claim
1976_15f2da2b751270e9ebf4ba0c103b2fc8,T1,1976,"when those rich corporations don't pay that tax, the average American taxpayer pays it for 'em",Premise
